,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Max Baseline [m],65000,65000,150000,150000,150000,150000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,40000,40000,40000,40000,25000,25000,25000,25000,15000,15000,15000,15000,150000,150000,150000,50000,50000,50000,20000,20000,150000,150000,150000,150000,150000,150000,95000,95000,95000,150000,150000,150000,150000,150000,150000
Dump time [s],0.9,0.9,0.14,0.14,0.14,0.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.28476339651597127,0.28476339651597127,0.28476339651597127,0.1562587293059796,0.4468866669484593,0.4468866669484593,0.4468866669484593,0.2641923185657977,0.7601696575533425,0.7601696575533425,0.7601696575533425,0.455336081013013,0.14,0.14,0.14,0.22573535985065513,0.22573535985065513,0.22573535985065513,0.5444051941858186,0.5444051941858186,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,21600.0,21600.0,21600.0,442.8,442.8,442.8,7920.000000000001,7920.000000000001,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],32.047247151314224,55.67768412138149,78.18520831495238,209.16454865862474,200.49529041044477,1408.0989624131914,34.93864762805907,28.11300951607532,22.423939041083283,564.3346462536529,34.9386497387478,28.11300951607532,22.423939041083283,564.3346462536529,34.9386497387478,28.11300951607532,22.423939041083283,564.3346462536529,304.94673749104464,298.1386933988645,73.36988639776932,2907.8488995552243,349.53134502807205,342.52840507490293,97.38860226082458,815.1360113032966,311.66030896596834,229.8986803852107,88.71602384870751,1128.4884859134418,886.6306144030017,298.0145743057987,289.6602914473079,89.88953868544598,74.9008126761403,59.03163050985183,40.58022688260398,26.522265221197593,192.80970931688003,222.2729453611441,59.126941323614346,239.05794114730986,222.2729453611441,59.126941323614346,159.23470224219705,180.6621679960996,48.37658771610871,652.4834300582555,226.6081925029711,174.8785695084176,534.2558884665389,226.6081925029711,174.8785695084176
Facets,2.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,6.0,4.0,2.0,2.0,6.0,4.0,2.0,2.0,6.0,6.0,3.0,1.0,5.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,7.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0
Stations/antennas,512,512,197,197,197,197,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [m],4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Max Baseline [per bin]1 [m],8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
Max Baseline [per bin]2 [m],16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Max Baseline [per bin]3 [m],32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Max Baseline [per bin]4 [m],65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,,,,,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,20000.0,20000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
Max Baseline [per bin]5 [m],,,35000.0,35000.0,35000.0,35000.0,,,,,,,,,,,,,35000.0,35000.0,35000.0,35000.0,,,,,,,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Max Baseline [per bin]6 [m],,,55000.0,55000.0,55000.0,55000.0,,,,,,,,,,,,,40000.0,40000.0,40000.0,40000.0,,,,,,,,,55000.0,55000.0,55000.0,50000.0,50000.0,50000.0,,,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0
Max Baseline [per bin]7 [m],,,75000.0,75000.0,75000.0,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,75000.0,75000.0,75000.0,,,,,,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
Max Baseline [per bin]8 [m],,,90000.0,90000.0,90000.0,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,90000.0,90000.0,90000.0,,,,,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
Max Baseline [per bin]9 [m],,,110000.0,110000.0,110000.0,110000.0,,,,,,,,,,,,,,,,,,,,,,,,,110000.0,110000.0,110000.0,,,,,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,95000.0,95000.0,95000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0
Max Baseline [per bin]10 [m],,,130000.0,130000.0,130000.0,130000.0,,,,,,,,,,,,,,,,,,,,,,,,,130000.0,130000.0,130000.0,,,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0
Max Baseline [per bin]11 [m],,,150000.0,150000.0,150000.0,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,150000.0,150000.0,,,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
Baseline fraction [per bin]0,0.493626883,0.493626883,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115
Baseline fraction [per bin]1,0.1332914111,0.1332914111,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095
Baseline fraction [per bin]2,0.1365062318,0.1365062318,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053
Baseline fraction [per bin]3,0.1710107961,0.1710107961,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095
Baseline fraction [per bin]4,0.065564678,0.065564678,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,,,,,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0356976322567,0.0356976322567,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134
Baseline fraction [per bin]5,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,,,,,,,,,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,,,,,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607
Baseline fraction [per bin]6,,,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,,,,,,,,,,,,,0.0143386353027,0.0143386353027,0.0143386353027,0.0143386353027,,,,,,,,,0.0573545412107,0.0573545412107,0.0573545412107,0.043015905908,0.043015905908,0.043015905908,,,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107
Baseline fraction [per bin]7,,,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,,,,,,,,,,,,,,,,,,,,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103
Baseline fraction [per bin]8,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,,,,,,,,,,,,,,,,,,,,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032
Baseline fraction [per bin]9,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,,,,,,,,,,,,,,,,,,,,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.00379514015071,0.00379514015071,0.00379514015071,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028
Baseline fraction [per bin]10,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,,,,,,,,,,,,,,,,,,,,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302
Baseline fraction [per bin]11,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,,,,,,,,,,,,,,,,,,,,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],9.428910882205546,15.714851470342577,2.711622997511917,6.779057493779791,0.3338544469521037,0.3338544469521037,11.133845896288854,10.309116570637828,10.309116570637828,3.436372190212609,9.278204913574044,10.309116570637828,10.309116570637828,3.436372190212609,9.278204913574044,10.309116570637828,10.309116570637828,3.436372190212609,2.1296048962916845,1.5774851083642105,3.943712770910526,0.9464910650185263,1.404748229832944,1.040554244320699,2.6013856108017475,2.3880487372046404,1.7253597803694514,1.4377998169745427,2.3963330282909046,2.192475334391248,0.20186709430322577,0.31152329367781756,0.31152329367781756,2.861080204290725,2.861080204290725,2.861080204290725,6.779057493779791,6.779057493779791,1.5190752959839942,1.1252409599881439,2.8131023999703597,1.3020645394148522,1.1252409599881439,2.8131023999703597,1.5190752959839942,1.1252409599881439,2.8131023999703597,0.21923387953976553,0.4059886658143807,0.4059886658143807,0.2630806554477187,0.4059886658143807,0.4059886658143807
Total FoV size [deg],15.714851470342577,15.714851470342577,6.77905749377979,6.77905749377979,0.3338544469521037,0.3338544469521037,46.391024567870225,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,10.64802448145842,3.9437127709105257,3.9437127709105257,3.9437127709105257,4.682494099443145,2.6013856108017475,2.6013856108017475,2.3880487372046404,4.313399450923628,2.396333028290904,2.396333028290904,2.1924753343912475,0.8411128929301074,0.3115232936778175,0.3115232936778175,2.8610802042907246,2.8610802042907246,2.8610802042907246,6.77905749377979,6.77905749377979,5.063584319946647,2.8131023999703593,2.8131023999703593,7.59537647991997,2.8131023999703593,2.8131023999703593,5.063584319946647,2.8131023999703593,2.8131023999703593,0.7307795984658851,0.40598866581438064,0.40598866581438064,1.0961693976988278,0.40598866581438064,0.40598866581438064
PSF size [arcs],14.192259379479477,14.192259379479477,1.026706652111203,1.026706652111203,0.052802819899117066,0.052802819899117066,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,2.4513052924299807,2.4513052924299807,2.4513052924299807,2.4513052924299807,2.488876478592876,2.488876478592876,2.488876478592876,2.6519609530423187,3.98036867634397,3.98036867634397,3.98036867634397,4.339439761605704,0.05174479279247161,0.05174479279247161,0.05174479279247161,1.3968926428394057,1.3968926428394057,1.3968926428394057,7.700299890834023,7.700299890834023,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.6790255353991008,0.6790255353991008,0.6790255353991008,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733
