,max_LOW_continuum [blcoal] [!otf] [spbf],max_LOW_spectral [blcoal] [!otf] [spbf],max_MID_continuum [blcoal] [!otf] [spbf],max_MID_spectral [blcoal] [!otf] [spbf],max_Band5_MID_continuum [blcoal] [!otf] [spbf],max_Band5_MID_spectral [blcoal] [!otf] [spbf],01ICAL [blcoal] [!otf] [spbf],01DPrepA [blcoal] [!otf] [spbf],01DPrepB [blcoal] [!otf] [spbf],01DPrepC [blcoal] [!otf] [spbf],02AICAL [blcoal] [!otf] [spbf],02ADPrepA [blcoal] [!otf] [spbf],02ADPrepB [blcoal] [!otf] [spbf],02ADPrepC [blcoal] [!otf] [spbf],02BICAL [blcoal] [!otf] [spbf],02BDPrepA [blcoal] [!otf] [spbf],02BDPrepB [blcoal] [!otf] [spbf],02BDPrepC [blcoal] [!otf] [spbf],13ICAL [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepA [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepB [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepC [blcoal] [!otf] [Bmax=40000] [spbf],14ICAL [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepA [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepB [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepC [blcoal] [!otf] [Bmax=25000] [spbf],15ICAL [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepA [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepB [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepC [blcoal] [!otf] [Bmax=15000] [spbf],22ICAL [blcoal] [!otf] [spbf],22DPrepA [blcoal] [!otf] [spbf],22DPrepB [blcoal] [!otf] [spbf],27ICAL [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepA [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepB [blcoal] [!otf] [Bmax=50000] [spbf],32ICAL [blcoal] [!otf] [Bmax=20000] [spbf],32DPrepB [blcoal] [!otf] [Bmax=20000] [spbf],37aICAL [blcoal] [!otf] [spbf],37aDPrepA [blcoal] [!otf] [spbf],37aDPrepB [blcoal] [!otf] [spbf],37bICAL [blcoal] [!otf] [spbf],37bDPrepA [blcoal] [!otf] [spbf],37bDPrepB [blcoal] [!otf] [spbf],37cICAL [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepA [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepB [blcoal] [!otf] [Bmax=95000] [spbf],38aICAL [blcoal] [!otf] [spbf],38aDPrepA [blcoal] [!otf] [spbf],38aDPrepB [blcoal] [!otf] [spbf],38bICAL [blcoal] [!otf] [spbf],38bDPrepA [blcoal] [!otf] [spbf],38bDPrepB [blcoal] [!otf] [spbf]
Max Baseline [m],65000,65000,150000,150000,150000,150000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,40000,40000,40000,40000,25000,25000,25000,25000,15000,15000,15000,15000,150000,150000,150000,50000,50000,50000,20000,20000,150000,150000,150000,150000,150000,150000,95000,95000,95000,150000,150000,150000,150000,150000,150000
Dump time [s],0.9,0.9,0.14,0.14,0.14,0.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.28476339651597127,0.28476339651597127,0.28476339651597127,0.1562587293059796,0.4468866669484593,0.4468866669484593,0.4468866669484593,0.2641923185657977,0.7601696575533425,0.7601696575533425,0.7601696575533425,0.455336081013013,0.14,0.14,0.14,0.22573535985065513,0.22573535985065513,0.22573535985065513,0.5444051941858186,0.5444051941858186,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,21600.0,21600.0,21600.0,442.8,442.8,442.8,7920.000000000001,7920.000000000001,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],48.99994359814112,54.00836323957868,342.40423010992896,202.03936792874262,1736.7177320555688,1398.718497360746,33.85669516218681,29.205464623914636,29.96327700956326,29.2501759343577,34.938645747705266,29.205464623914636,29.96327700956326,29.2501759343577,34.938645747705266,29.205464623914636,29.96327700956326,29.2501759343577,162.7546739990104,92.74722219078151,160.64470006727916,199.6106167538533,759.2777783312519,109.24638002686515,195.8407104255854,788.6103840069402,829.9743442783088,142.31520682382947,229.5313945742133,1090.4529487424243,789.2000910228745,297.7932595334178,672.2862740035778,89.63561274099823,74.84470274754632,133.04827308294142,116.30685893628335,75.39141617105226,692.428999783862,182.85080511383993,461.3771189073169,193.44713560790512,182.85080511383993,461.3771189073169,132.87785364917295,56.11361520199346,284.55217345046316,409.7881005185095,225.8397116613279,502.52430819154193,479.80337985274264,225.8397116613279,502.52430819154193
Facets,2.0,1.0,5.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,4.0,7.0,3.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0
Stations/antennas,512,512,197,197,197,197,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [m],4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Max Baseline [per bin]1 [m],8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
Max Baseline [per bin]2 [m],16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Max Baseline [per bin]3 [m],32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Max Baseline [per bin]4 [m],65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,,,,,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,20000.0,20000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
Max Baseline [per bin]5 [m],,,35000.0,35000.0,35000.0,35000.0,,,,,,,,,,,,,35000.0,35000.0,35000.0,35000.0,,,,,,,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Max Baseline [per bin]6 [m],,,55000.0,55000.0,55000.0,55000.0,,,,,,,,,,,,,40000.0,40000.0,40000.0,40000.0,,,,,,,,,55000.0,55000.0,55000.0,50000.0,50000.0,50000.0,,,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0
Max Baseline [per bin]7 [m],,,75000.0,75000.0,75000.0,75000.0,,,,,,,,,,,,,,,,,,,,,,,,,75000.0,75000.0,75000.0,,,,,,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
Max Baseline [per bin]8 [m],,,90000.0,90000.0,90000.0,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,90000.0,90000.0,90000.0,,,,,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
Max Baseline [per bin]9 [m],,,110000.0,110000.0,110000.0,110000.0,,,,,,,,,,,,,,,,,,,,,,,,,110000.0,110000.0,110000.0,,,,,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,95000.0,95000.0,95000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0
Max Baseline [per bin]10 [m],,,130000.0,130000.0,130000.0,130000.0,,,,,,,,,,,,,,,,,,,,,,,,,130000.0,130000.0,130000.0,,,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0
Max Baseline [per bin]11 [m],,,150000.0,150000.0,150000.0,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,150000.0,150000.0,,,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
Baseline fraction [per bin]0,0.493626883,0.493626883,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115
Baseline fraction [per bin]1,0.1332914111,0.1332914111,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095
Baseline fraction [per bin]2,0.1365062318,0.1365062318,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053
Baseline fraction [per bin]3,0.1710107961,0.1710107961,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095
Baseline fraction [per bin]4,0.065564678,0.065564678,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,,,,,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0356976322567,0.0356976322567,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134
Baseline fraction [per bin]5,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,,,,,,,,,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,,,,,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607
Baseline fraction [per bin]6,,,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,,,,,,,,,,,,,0.0143386353027,0.0143386353027,0.0143386353027,0.0143386353027,,,,,,,,,0.0573545412107,0.0573545412107,0.0573545412107,0.043015905908,0.043015905908,0.043015905908,,,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107
Baseline fraction [per bin]7,,,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,,,,,,,,,,,,,,,,,,,,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103
Baseline fraction [per bin]8,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,,,,,,,,,,,,,,,,,,,,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032
Baseline fraction [per bin]9,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,,,,,,,,,,,,,,,,,,,,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.00379514015071,0.00379514015071,0.00379514015071,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028
Baseline fraction [per bin]10,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,,,,,,,,,,,,,,,,,,,,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302
Baseline fraction [per bin]11,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,,,,,,,,,,,,,,,,,,,,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],9.428910882205546,15.714851470342577,1.6269737985071502,6.779057493779791,0.13354177878084147,0.3338544469521037,11.133845896288854,10.309116570637828,17.181860951063044,17.181860951063044,9.278204913574044,10.309116570637828,17.181860951063044,17.181860951063044,9.278204913574044,10.309116570637828,17.181860951063044,17.181860951063044,2.555525875550021,3.943712770910526,3.943712770910526,3.943712770910526,1.1237985838663551,2.6013856108017475,2.6013856108017475,2.3880487372046404,1.2940198352770884,2.3963330282909046,2.3963330282909046,2.192475334391248,0.20186709430322577,0.31152329367781756,0.31152329367781756,2.861080204290725,2.861080204290725,2.861080204290725,6.779057493779791,6.779057493779791,0.868043026276568,1.1252409599881439,0.8439307199911079,1.3020645394148522,1.1252409599881439,0.8439307199911079,1.5190752959839942,2.8131023999703597,1.1252409599881439,0.2923118393863541,0.4059886658143807,0.4059886658143807,0.2630806554477187,0.4059886658143807,0.4059886658143807
Total FoV size [deg],15.714851470342577,15.714851470342577,6.77905749377979,6.77905749377979,0.3338544469521037,0.3338544469521037,46.391024567870225,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,10.64802448145842,3.9437127709105257,3.9437127709105257,3.9437127709105257,4.682494099443145,2.6013856108017475,2.6013856108017475,2.3880487372046404,4.313399450923628,2.396333028290904,2.396333028290904,2.1924753343912475,0.8411128929301074,0.3115232936778175,0.3115232936778175,2.8610802042907246,2.8610802042907246,2.8610802042907246,6.77905749377979,6.77905749377979,5.063584319946647,2.8131023999703593,2.8131023999703593,7.59537647991997,2.8131023999703593,2.8131023999703593,5.063584319946647,2.8131023999703593,2.8131023999703593,0.7307795984658851,0.40598866581438064,0.40598866581438064,1.0961693976988278,0.40598866581438064,0.40598866581438064
