,Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) []
Max Baseline [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0
Pointing Time [s],(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
Total Time [s],(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined)
Snapshot Time [s],600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,1.0,(undefined),(undefined),9.0,1.0,9.0,3.0,3.0,3.0,4.0,(undefined),(undefined),5.0,1.0,5.0,1.0,1.0,1.0,1.0,(undefined),(undefined),5.0,1.0,5.0,1.0,1.0,1.0,1.0,(undefined),(undefined),7.0,1.0,7.0,3.0,3.0,1.0,3.0,(undefined)
w-stacking planes,(undefined),192.89974656536043,1.5606143732599829,192.89974656519482,96.58356492467844,83.31040049381657,128.04866349927403,22.14544377732825,(undefined),(undefined),10.759727343587384,1.0000000364952417,10.759727570917846,14.772978649173426,11.97593478214514,18.095689917612866,1.0000000299527985,(undefined),(undefined),1.0000000150926553,1.0000000241513058,1.0000000150926553,5.550668364740453,3.6306320484780215,5.744123366574314,1.000000022033049,(undefined),(undefined),2.6750864769897538,1.0000000239603344,2.6750865165311764,8.033217658149322,5.346169854089558,8.410961771337996,1.0000000180667128,(undefined),(undefined),6.264834416909175,1.000000022142514,6.264834466591676,6.7774121772857185,5.295188298929279,22.582189610859842,1.0000000156169346,(undefined)
w-stacking planes predict,(undefined),192.89974656536043,1.5606143732599829,192.89974656519482,96.58356492467844,83.31040049381657,128.04866349927403,22.14544377732825,(undefined),(undefined),10.759727343587384,1.0000000364952417,10.759727570917846,14.772978649173426,11.97593478214514,18.095689917612866,1.0000000299527985,(undefined),(undefined),1.0000000150926553,1.0000000241513058,1.0000000150926553,5.550668364740453,3.6306320484780215,5.744123366574314,1.000000022033049,(undefined),(undefined),2.6750864769897538,1.0000000239603344,2.6750865165311764,8.033217658149322,5.346169854089558,8.410961771337996,1.0000000180667128,(undefined),(undefined),6.264834416909175,1.000000022142514,6.264834466591676,6.7774121772857185,5.295188298929279,22.582189610859842,1.0000000156169346,(undefined)
Stations/antennas,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Max Baseline [per bin]3 [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Max Baseline [per bin]4 [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Max Baseline [per bin]5 [km],,,,,,,,,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Max Baseline [per bin]6 [km],,,,,,,,,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Max Baseline [per bin]7 [km],,,,,,,,,,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Max Baseline [per bin]8 [km],,,,,,,,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Max Baseline [per bin]9 [km],,,,,,,,,,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Max Baseline [per bin]10 [km],,,,,,,,,,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
Max Baseline [per bin]11 [km],,,,,,,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Baseline fraction [per bin]0 [%],46.56232318,46.56232318,46.56232318,46.56232318,46.56232318,46.56232318,46.56232318,46.56232318,46.56232318,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917,61.36987720533917
Baseline fraction [per bin]1 [%],13.09849678,13.09849678,13.09849678,13.09849678,13.09849678,13.09849678,13.09849678,13.09849678,13.09849678,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015,5.1655354604494015
Baseline fraction [per bin]2 [%],14.815805969999998,14.815805969999998,14.815805969999998,14.815805969999998,14.815805969999998,14.815805969999998,14.815805969999998,14.815805969999998,14.815805969999998,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175,2.8703176002497175
Baseline fraction [per bin]3 [%],18.61437769,18.61437769,18.61437769,18.61437769,18.61437769,18.61437769,18.61437769,18.61437769,18.61437769,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625,4.984197710433625
Baseline fraction [per bin]4 [%],6.9089963800000005,6.9089963800000005,6.9089963800000005,6.9089963800000005,6.9089963800000005,6.9089963800000005,6.9089963800000005,6.9089963800000005,6.9089963800000005,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037,6.32609709055037
Baseline fraction [per bin]5 [%],,,,,,,,,,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679,4.662970830405679
Baseline fraction [per bin]6 [%],,,,,,,,,,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181,5.714729810497181
Baseline fraction [per bin]7 [%],,,,,,,,,,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249,5.497124500478249
Baseline fraction [per bin]8 [%],,,,,,,,,,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193,1.8496451001609193
Baseline fraction [per bin]9 [%],,,,,,,,,,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543,1.4040723301221543
Baseline fraction [per bin]10 [%],,,,,,,,,,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583,0.10880265300946583
Baseline fraction [per bin]11 [%],,,,,,,,,,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786,0.046629708304056786
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),42.43009896992496,15.714851470342577,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,(undefined),(undefined),2.440460697760725,6.779057493779791,2.440460697760725,2.711622997511917,2.711622997511917,2.711622997511917,2.0337172481339376,(undefined),(undefined),0.20659673076546664,0.31882211537880656,0.20659673076546664,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,(undefined),(undefined),0.37305385133426067,0.5757003878615135,0.37305385133426067,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,(undefined),(undefined),1.2896443698627305,2.7862687003207136,1.2896443698627305,1.1145074801282855,1.1145074801282855,2.7862687003207136,1.1145074801282855,(undefined)
Total FoV size [deg],15.714851470342577,42.43009896992496,15.714851470342577,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,6.77905749377979,18.303455233205437,6.77905749377979,18.303455233205437,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,0.31882211537880656,0.8608197115227776,0.31882211537880656,0.8608197115227776,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.31882211537880656,0.5757003878615135,1.554391047226086,0.5757003878615135,1.554391047226086,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,0.5757003878615135,2.7862687003207136,7.522925490865928,2.7862687003207136,7.522925490865928,2.7862687003207136,2.7862687003207136,2.7862687003207136,2.7862687003207136,2.7862687003207136
PSF size [arcs],14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.05171600099774931,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.0935118960875749,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646,0.4521862453469646
Pixel size [arcs],2.838451875895895,2.838451875895895,4.730753126493159,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,0.20534133042224062,0.20534133042224062,0.34223555070373435,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.010343200199549863,0.010343200199549863,0.01723866699924977,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.010343200199549863,0.01870237921751498,0.01870237921751498,0.031170632029191632,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.01870237921751498,0.09043724906939292,0.09043724906939292,0.1507287484489882,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292,0.09043724906939292
Facet side length [pixels],(undefined),53813.967250552094,11958.659389011576,53813.967250552094,19931.098981685962,19931.098981685962,19931.098981685962,19931.098981685962,(undefined),(undefined),42785.63158168294,71309.38596947156,42785.63158168294,47539.59064631437,47539.59064631437,47539.59064631437,35654.69298473578,(undefined),(undefined),71906.9742832637,66580.53174376268,71906.9742832637,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,(undefined),(undefined),71808.71744626,66489.55319098149,71808.71744626,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,(undefined),(undefined),51336.366146469685,66547.14130097922,51336.366146469685,44364.76086731948,44364.76086731948,110911.9021682987,44364.76086731948,(undefined)
Image side length [pixels],19931.09898168596,53813.9672505521,11958.659389011576,53813.9672505521,19931.09898168596,19931.09898168596,19931.09898168596,19931.09898168596,19931.09898168596,118848.97661578593,320892.236862622,71309.38596947156,320892.236862622,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,110967.55290627113,299612.39284693205,66580.5317437627,299612.39284693205,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,110967.55290627113,110815.92198496914,299202.98935941665,66489.55319098149,299202.98935941665,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,110815.92198496914,110911.90216829868,299462.1358544065,66547.14130097922,299462.1358544065,110911.90216829868,110911.90216829868,110911.90216829868,110911.90216829868,110911.90216829868
