,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Baseline fraction [per bin]6,0.060915910793908408,0.060915910793908408,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.014338635302681322,0.014338635302681322,0.014338635302681322,0.014338635302681322,,,,,,,,,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.043015905908043967,0.043015905908043967,0.043015905908043967,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286
Baseline fraction [per bin]7,0.0054251080994574897,0.0054251080994574897,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,,,,,,,,,,,,,0.054815812710250551,0.054815812710250551,0.054815812710250551,,,,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551
Baseline fraction [per bin]8,,,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,,,,,,,,,,,,,,,,,,,,,,,,,0.017356613603245682,0.017356613603245682,0.017356613603245682,,,,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682
Baseline fraction [per bin]9,,,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,,,,,,,,,,,,,,,,,,,,,,,,,0.015180560602838761,0.015180560602838761,0.015180560602838761,,,,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761
Baseline fraction [per bin]10,,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,,,,,,,,,,,,,,,,,,,,,,,,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,,,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607
Baseline fraction [per bin]11,,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,,,,,,,,,,,,,,,,,,,,,,,,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,,,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],12.72902969097749,15.714851470342577,2.1964146279846526,1.0168586240669688,0.21633768162496322,0.3338544469521037,11.133845896288854,11.133845896288854,13.917307370361067,3.436372190212609,11.133845896288854,11.133845896288854,13.917307370361067,3.436372190212609,11.133845896288854,11.133845896288854,13.917307370361067,3.436372190212609,1.5972036722187632,1.8253756253928721,2.1296048962916845,0.7887425541821053,1.4047482298329437,1.2040699112853803,0.936498819888629,0.7164146211613921,1.5528238023325063,1.109159858808933,1.5528238023325063,0.6577426003173743,0.20186709430322577,0.20186709430322577,0.2523338678790322,1.85397997238039,1.85397997238039,7.724916551584958,1.1393064719879957,1.3020645394148522,1.5190752959839944,1.1393064719879957,1.3020645394148522,1.5190752959839944,1.1393064719879957,1.3020645394148522,1.5190752959839944,0.2630806554477187,0.2630806554477187,0.3288508193096483,0.2630806554477187,0.2630806554477187,0.3288508193096483
Total FoV size [deg],42.43009896992496,15.714851470342577,18.303455233205437,6.77905749377979,0.9014070067706801,0.3338544469521037,46.391024567870225,46.391024567870225,46.391024567870225,17.181860951063047,46.391024567870225,46.391024567870225,46.391024567870225,17.181860951063047,46.391024567870225,46.391024567870225,46.391024567870225,17.181860951063047,10.64802448145842,10.64802448145842,10.64802448145842,3.9437127709105257,7.023741149164717,7.023741149164717,7.023741149164717,2.3880487372046404,6.470099176385442,6.470099176385442,6.470099176385442,2.1924753343912475,0.8411128929301074,0.8411128929301074,0.8411128929301074,7.724916551584957,7.724916551584957,7.724916551584957,7.59537647991997,7.59537647991997,7.59537647991997,7.59537647991997,7.59537647991997,7.59537647991997,7.59537647991997,7.59537647991997,7.59537647991997,1.0961693976988278,1.0961693976988278,1.0961693976988278,1.0961693976988278,1.0961693976988278,1.0961693976988278
PSF size [arcs],11.531210745827075,11.531210745827075,1.026706652111203,1.026706652111203,0.052802819899117066,0.052802819899117066,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,2.4513052924299807,2.4513052924299807,2.4513052924299807,2.4513052924299807,2.488876478592876,2.488876478592876,2.488876478592876,2.6519609530423187,3.98036867634397,3.98036867634397,3.98036867634397,4.339439761605704,0.05174479279247161,0.05174479279247161,0.05174479279247161,1.3968926428394057,1.3968926428394057,1.3968926428394057,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733
