,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
"Channels backward, no-smear1",1861.5105341316757,3617.208237988821,1507.2335084877068,6864.942273636082,1552.3826770323226,2828.8470245059593,1431.683593715042,1325.6842841487744,1325.6842841487744,2576.0131800688873,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,652.8904418135188,604.5350169007022,604.5350169007022,1101.6190674725092,1342.225873765601,745.7306245903046,745.7306245903046,418.90275499589205,1074.522829922399,596.9976404288616,596.9976404288616,38.494609457539404,483.585407325264,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,1811.1060218133737,1811.1060218133737,1173.6900811103947,1811.1060218133737,1811.1060218133737,1304.070614995905,1811.1060218133737,1811.1060218133737,2722.601066020032,1512.656581147074,1512.656581147074,1225.2947645381312,1512.656581147074,1512.656581147074
"Channels backward, no-smear2",3722.048367432926,7233.443651746777,2009.4616148571042,9153.073271346264,2069.7664721575957,3771.7189324319356,2862.67420802834,2650.675602311196,2650.675602311196,5151.333306208186,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,870.4898534441417,806.0159537629055,806.0159537629055,1468.7946866230889,1789.5973095663412,994.2703121075014,994.2703121075014,558.5246559695574,1432.6667211420954,795.9664696855765,795.9664696855765,51.32497229224026,644.7501595153672,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,2414.7195985996987,2414.7195985996987,1564.8316817669963,2414.7195985996987,2414.7195985996987,1738.6723924468527,2414.7195985996987,2414.7195985996987,3630.0594274868595,2016.800117240791,2016.800117240791,1633.6510299688712,2016.800117240791,2016.800117240791
"Channels backward, no-smear3",7443.123906952532,14465.914413852615,3013.917810920462,13729.335263104213,3104.5340595364714,5657.462746707873,5724.655352792174,5300.658148066288,5300.658148066288,10301.97351186012,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,1305.6886756205524,1208.9778263156445,1208.9778263156445,2203.1459242849523,2684.3401803962356,1491.3496857510963,1491.3496857510963,837.7684576434344,2148.954502933313,1193.9041270392163,1193.9041270392163,76.98569793480485,967.0796624647984,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,3621.9467489340564,3621.9467489340564,2347.114878082577,3621.9467489340564,3621.9467489340564,2607.875942853118,3621.9467489340564,3621.9467489340564,5444.976148857445,3025.0871866158723,3025.0871866158723,2450.3635573561846,3025.0871866158723,3025.0871866158723
"Channels backward, no-smear4",14885.274922420835,28930.855905350065,5022.83018303477,22881.859242246133,5174.069230853,9428.950373368421,11448.617600355936,10600.623194271158,10600.623194271158,20603.253899857915,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,2176.0863186701217,2014.9015700148148,2014.9015700148148,3671.8483988277135,4473.825921121464,2485.5084313703824,2485.5084313703824,1396.2560606678828,,,,,1611.7386666437208,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,6036.401045713372,6036.401045713372,3911.681264714464,6036.401045713372,6036.401045713372,4346.283038268417,6036.401045713372,6036.401045713372,9074.809589730918,5041.661321982965,5041.661321982965,4083.788607959765,5041.661321982965,5041.661321982965
"Channels backward, no-smear5",,,7031.742547520076,32034.383219760202,7243.604400849842,13200.437999296486,,,,,,,,,,,,,3046.4839612251194,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,2256.3976701657107,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,8450.855341013887,8450.855341013887,5476.2476490649415,8450.855341013887,8450.855341013887,6084.6901316340445,8450.855341013887,8450.855341013887,12704.643029896244,7058.235456070325,7058.235456070325,5717.21365697514,7058.235456070325,7058.235456070325
"Channels backward, no-smear6",,,11049.567270263373,50339.43117338024,11382.674739763022,20743.413250674002,,,,,,,,,,,,,3481.6827824286233,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,3545.715676687566,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,13279.763930416846,13279.763930416846,8605.380415891032,13279.763930416846,13279.763930416846,9561.504316662818,13279.763930416846,13279.763930416846,19964.30990966161,11091.383723198613,11091.383723198613,8984.063753727927,11091.383723198613,11091.383723198613
"Channels backward, no-smear7",,,15067.391990198219,68644.47912648872,15521.745078190484,28286.38850162736,,,,,,,,,,,,,,,,,,,,,,,,,4835.0336829480575,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,18108.672519208772,18108.672519208772,11734.513181907203,18108.672519208772,18108.672519208772,13038.318500950394,18108.672519208772,18108.672519208772,27223.97678919299,15124.531989867131,15124.531989867131,12250.91384989669,15124.531989867131,15124.531989867131
"Channels backward, no-smear8",,,18080.76052947859,82373.26509018058,18626.047831869946,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,21730.353960832246,21730.353960832246,14081.36275621053,21730.353960832246,21730.353960832246,15645.929138975218,21730.353960832246,21730.353960832246,32668.72694857374,18149.39318963302,18149.39318963302,14701.051421855485,18149.39318963302,18149.39318963302
"Channels backward, no-smear9",,,22098.585247986757,100678.31304361316,22765.118170239723,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,26559.262549210896,26559.262549210896,17210.49552174649,26559.262549210896,26559.262549210896,16515.132684962446,22937.581107860868,22937.581107860868,39928.39382804045,22182.5414561377,22182.5414561377,17967.901517736373,22182.5414561377,22182.5414561377
"Channels backward, no-smear10",,,26116.409966266117,118983.36099533516,26904.188508167405,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,31388.171137799913,31388.171137799913,20339.628287199474,31388.171137799913,31388.171137799913,,,,47188.060706940756,26215.689722525978,26215.689722525978,21234.75161354068,26215.689722525978,26215.689722525978
"Channels backward, no-smear11",,,30134.234684264968,137288.40894903094,31043.258846574812,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,36217.0797262356,36217.0797262356,23468.76105257296,36217.0797262356,36217.0797262356,,,,54447.72758676212,30248.837988860792,30248.837988860792,24501.601709168484,30248.837988860792,30248.837988860792
Frequencies predict ifft,200,200,200,200,200,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,40,200,40,200,200,40,200,200,40,200,200,40,200,200,40,200,200,40
Frequencies predict kernels0,294.1185891045441,579.6098273055826,248.78984155905908,554.7890161858172,104.67947792205598,199.61230223166032,209.92817245599073,209.6117596461662,209.32230357287247,416.3149200439334,213.67120505169186,209.6117596461662,209.32230357287247,416.3149200439334,213.67120505169186,209.6117596461662,209.32230357287247,416.3149200439334,43.25993599310628,42.75008591115347,42.426621942896446,102.9139379995089,53.70984871142355,51.218060605912264,51.063902124101965,40.0,44.067772039444044,41.757579516547885,41.58138929555284,40.0,41.40566003183756,41.32112645310079,41.307038771901205,93.10805935274057,92.7266653123902,92.35915711165521,252.2480140478845,250.19036205027,120.59718093227129,121.32537229955388,121.09911192270589,120.85130423602997,121.32537229955388,121.09911192270589,120.69292326764828,120.91541931049312,120.72565251481437,103.38550098781795,102.42926642344266,102.28668243708316,102.45307082822164,102.42926642344266,102.28668243708316
Frequencies predict kernels1,296.4143065899242,599.8193700278472,249.54507296704998,628.9340187940973,104.92624042595672,207.31810034751624,212.2757312804554,211.3875507923053,210.57310918430306,436.56360949019285,222.6185899646764,211.3875507923053,210.57310918430306,436.56360949019285,222.6185899646764,211.3875507923053,210.57310918430306,436.56360949019285,44.59620959471748,43.6816559345954,43.097267585388934,121.18423237758527,56.38091481641565,51.93630456055845,51.65620814272135,45.949946228978185,46.388352867667315,42.2704469669492,41.949644240859406,40.0,41.62864793090114,41.47386690120838,41.44804934971931,94.44719662857327,93.75417664854113,93.08433373170236,255.85254221607877,252.10750353937826,121.32098066106984,122.64947126721799,122.23734068269258,121.78528801713074,122.64947126721799,122.23734068269258,121.49599823769587,121.90231492266385,121.55580331020582,104.54735884175525,102.8012013484645,102.53978093588125,102.84481935929966,102.8012013484645,102.53978093588125
Frequencies predict kernels2,302.8290661537129,653.8176715439209,250.43731500894305,707.0238698380891,105.21796160243888,216.1075290052619,218.79713345339306,216.3437876223178,214.07925209089666,489.5489669387536,246.26665770604396,216.3437876223178,214.07925209089666,489.5489669387536,246.26665770604396,216.3437876223178,214.07925209089666,489.5489669387536,46.131674366161256,44.76169018008081,43.87945567259661,139.8414794356093,59.39592771168177,52.77551322532701,52.34996470718586,52.497148588894504,49.00071649996801,42.87074426609199,42.38217307874307,40.0,41.8914745496941,41.65419944192028,41.614579548550964,96.01130122082486,94.9583117360536,93.93694619371898,260.06300477746663,254.36197651684859,122.17356492524476,124.20143872513596,123.5734973462552,122.8835384410147,124.20143872513596,123.5734973462552,122.4413415044735,123.06227449199876,122.53279961056573,105.90871763563237,103.24035353491124,102.8389587149226,103.30727776372385,103.24035353491124,102.8389587149226
Frequencies predict kernels3,320.3363034786613,787.426130931136,252.55820696441276,866.1713343123106,105.91224817051109,235.83238349960624,236.33470453479393,230.8785695154977,230.8785695154977,615.9050419239013,317.82154323662206,230.8785695154977,230.8785695154977,615.9050419239013,317.82154323662206,230.8785695154977,230.8785695154977,615.9050419239013,49.61581521919217,47.24706361963882,45.69721831730094,176.7860524337724,66.06186237477709,54.73170496445427,53.97389395951929,65.60182750024144,54.75506400253589,44.27423834694009,43.3995346977162,40.0,42.51355264536577,42.082340391030336,42.01015526755373,99.65498513108278,97.77947758470292,95.94600094659603,269.87310891451773,259.6761095842559,124.18926885278577,127.83860773497061,126.71327229770343,125.47197536289073,127.83860773497061,126.71327229770343,124.67371206467021,125.79402852582812,124.83899014012266,109.09736598889404,104.28310172374529,103.55084079430473,104.40497986892974,104.28310172374529,103.55084079430473
Frequencies predict kernels4,471.0493394801615,1081.2261166977396,257.85095600842646,1178.1132252036427,107.65011034231613,279.7333041499281,378.4414255051298,350.05415280954406,350.05415280954406,882.0288885784023,715.4248706730018,350.05415280954406,350.05415280954406,882.0288885784023,715.4248706730018,350.05415280954406,350.05415280954406,882.0288885784023,57.51835116273988,53.03177308164556,50.01132398248613,247.16180986259158,80.54957331151944,59.40350018019545,57.886738135528105,90.8224307058245,,,,,44.050168715621844,43.147664299538526,42.99567499173643,108.34574273391942,104.59034911595847,100.85804628163154,281.07176188966605,265.8426605954124,129.15535484627705,136.62506286184416,134.34266005591238,131.8037496844245,136.62506286184416,134.34266005591238,130.1586321811748,132.46468018617747,130.50006635066367,116.79084192997546,106.87847011000989,105.33181282091888,107.13481739764435,106.87847011000989,105.33181282091888
Frequencies predict kernels5,,,264.21085488439235,1475.3126906642988,109.74802495146989,325.8018147028427,,,,,,,,,,,,,65.96464860556348,59.38537913336979,54.8573575434435,313.1105795349653,,,,,,,,,45.86902613326593,44.4221921320638,44.17692063682942,118.16716017183332,112.40524817530577,106.58961320073722,,,135.01180141085092,146.71505696485588,143.17132474061788,139.19696354045058,146.71505696485588,143.17132474061788,136.60220315912215,140.23500304105843,137.1420471212023,125.61170225404088,109.98483353050666,107.48003908699006,110.39802014087313,109.98483353050666,107.48003908699006
Frequencies predict kernels6,,,279.20102764961126,2031.2615703971842,114.73166703178272,418.1207658027691,,,,,,,,,,,,,70.26078242599121,62.66802084199963,57.396230302075594,344.73363616868465,,,,,,,,,50.054137503845,47.40460528957169,46.94947843744017,133.97238075888313,125.18701572697078,116.14601325416106,,,148.41172184403123,168.96190905352998,162.83581666191398,155.8702607954027,168.96190905352998,162.83581666191398,151.26210556158048,157.6999379883648,152.22505188371375,145.02043161310462,117.25883429533559,112.57614003158102,118.02367650137684,117.25883429533559,112.57614003158102
Frequencies predict kernels7,,,296.2774881923988,2548.9759543477817,120.4687042114987,507.931504695521,,,,,,,,,,,,,,,,,,,,,,,,,54.680760141805436,50.770512053584305,50.0907700431135,,,,,,163.1280518493916,192.43749297327602,183.80312201812168,173.88589005918084,192.43749297327602,183.80312201812168,167.2579268548661,176.50210259090105,168.6477571565547,165.45914039348168,125.47545551020433,118.43163139066266,126.61517348844298,125.47545551020433,118.43163139066266
Frequencies predict kernels8,,,310.0094853524253,2918.6621771031446,125.12274519958534,573.2874807853785,,,,,,,,,,,,,,,,,,,,,,,,,58.31534195856407,53.456866785879555,52.605683109014066,,,,,,174.63349685187922,210.30329861036503,199.86662224025542,187.81085803075538,210.30329861036503,199.86662224025542,179.70587189794176,190.99905526611911,182.35225668898025,180.9937465995656,132.03783166439445,123.17419041071233,133.4628378372862,132.03783166439445,123.17419041071233
Frequencies predict kernels9,,,329.1634440794265,3392.251086351801,131.66713925699602,657.9064706007368,,,,,,,,,,,,,,,,,,,,,,,,,63.28372492575488,57.178784855962775,56.099682250281404,,,,,,190.2996639251883,234.13331243235896,221.39781419456438,206.6013811935269,234.13331243235896,221.39781419456438,183.90532691214818,195.86832722350508,191.32864756791398,201.69501714507126,141.13558613413662,129.83308750462135,142.93897292593618,141.13558613413662,129.83308750462135
Frequencies predict kernels10,,,348.9793682400819,3847.9420413995867,138.49396943047356,739.9352461955265,,,,,,,,,,,,,,,,,,,,,,,,,68.32443581902061,61.00369932074619,59.70012899455872,,,,,,206.13651905037125,267.9907262821344,267.9907262821344,225.4430479908106,267.9907262821344,267.9907262821344,,,,222.22875030658773,150.49079904629488,136.7686036652543,152.66606450073587,150.49079904629488,136.7686036652543
Frequencies predict kernels11,,,389.9023918392926,4288.969305403719,145.51977258322526,819.685443948023,,,,,,,,,,,,,,,,,,,,,,,,,73.39162650977737,64.88946144545918,63.366255091216544,,,,,,222.0108299732959,320.9461603322812,320.9461603322812,244.21034310339738,320.9461603322812,320.9461603322812,,,,242.51563729200106,159.9997131176497,143.89644008403636,162.5382935533472,159.9997131176497,143.89644008403636
Frequencies predict de-grid0,931.2414905129898,65536.0,1005.0053854489457,65536.0,1034.9988790363216,65536.0,716.1882027630096,663.1885345814411,663.1885345814411,1500.0,1193.1851449561725,663.1885345814411,663.1885345814411,1500.0,1193.1851449561725,663.1885345814411,663.1885345814411,1500.0,435.2910290982149,403.0540788670101,500.0,3200.0,894.8544371933378,497.1909356825173,100.0,5000.0,716.3789380602059,398.02881001253394,398.02881001253394,2500.0,322.42065370364355,398.02881001253394,500.0,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,652.167937578682,1207.4924417886202,1207.4924417886202,782.5484754593473,1207.4924417886202,1207.4924417886202,869.4688330477134,1207.4924417886202,1207.4924417886202,1815.142702990266,1008.5130422414231,1008.5130422414231,816.9384956364858,1008.5130422414231,1008.5130422414231
Frequencies predict de-grid1,1861.5105341316757,65536.0,1507.2335084877068,65536.0,1552.3826770323226,65536.0,1431.683593715042,1325.6842841487744,1325.6842841487744,2576.0131800688873,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,2385.6773440448724,1325.6842841487744,1325.6842841487744,2576.0131800688873,652.8904418135188,604.5350169007022,604.5350169007022,3200.0,1342.225873765601,745.7306245903046,100.0,5000.0,1074.522829922399,596.9976404288616,596.9976404288616,2500.0,483.585407325264,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,978.1192792840136,1811.1060218133737,1811.1060218133737,1173.6900811103947,1811.1060218133737,1811.1060218133737,1304.070614995905,1811.1060218133737,1811.1060218133737,2722.601066020032,1512.656581147074,1512.656581147074,1225.2947645381312,1512.656581147074,1512.656581147074
Frequencies predict de-grid2,3722.048367432926,65536.0,2009.4616148571042,65536.0,2069.7664721575957,65536.0,2862.67420802834,2650.675602311196,2650.675602311196,5151.333306208186,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,4770.661641597791,2650.675602311196,2650.675602311196,5151.333306208186,870.4898534441417,806.0159537629055,806.0159537629055,3200.0,1789.5973095663412,994.2703121075014,100.0,5000.0,1432.6667211420954,795.9664696855765,795.9664696855765,2500.0,644.7501595153672,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,1304.070614995905,2414.7195985996987,2414.7195985996987,1564.8316817669963,2414.7195985996987,2414.7195985996987,1738.6723924468527,2414.7195985996987,2414.7195985996987,3630.0594274868595,2016.800117240791,2016.800117240791,1633.6510299688712,2016.800117240791,2016.800117240791
Frequencies predict de-grid3,7443.123906952532,65536.0,3013.917810920462,65536.0,3104.5340595364714,65536.0,5724.655352792174,5300.658148066288,5300.658148066288,10301.97351186012,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,9540.630186376056,5300.658148066288,5300.658148066288,10301.97351186012,1305.6886756205524,1208.9778263156445,1208.9778263156445,3200.0,2684.3401803962356,1491.3496857510963,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,967.0796624647984,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1955.9732804231985,3621.9467489340564,3621.9467489340564,2347.114878082577,3621.9467489340564,3621.9467489340564,2607.875942853118,3621.9467489340564,3621.9467489340564,5444.976148857445,3025.0871866158723,3025.0871866158723,2450.3635573561846,3025.0871866158723,3025.0871866158723
Frequencies predict de-grid4,14885.274922420835,65536.0,5022.83018303477,65536.0,5174.069230853,65536.0,11448.617600355936,10600.623194271158,10600.623194271158,20603.253899857915,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,19080.56725075056,10600.623194271158,10600.623194271158,20603.253899857915,2176.0863186701217,2014.9015700148148,2014.9015700148148,3671.8483988277135,4473.825921121464,2485.5084313703824,100.0,5000.0,,,,,1611.7386666437208,1989.779440352671,1989.779440352671,4470.461877672626,4470.461877672626,4470.461877672626,10045.11108995104,10045.11108995104,3259.7786040836563,6036.401045713372,6036.401045713372,3911.681264714464,6036.401045713372,6036.401045713372,4346.283038268417,6036.401045713372,6036.401045713372,9074.809589730918,5041.661321982965,5041.661321982965,4083.788607959765,5041.661321982965,5041.661321982965
Frequencies predict de-grid5,,,7031.742547520076,65536.0,7243.604400849842,65536.0,,,,,,,,,,,,,3046.4839612251194,2820.825313173438,2820.825313173438,5140.550873089399,,,,,,,,,2256.3976701657107,2785.654753143743,2785.654753143743,6258.565537827592,6258.565537827592,6258.565537827592,,,4563.583925007532,8450.855341013887,8450.855341013887,5476.2476490649415,8450.855341013887,8450.855341013887,6084.6901316340445,8450.855341013887,8450.855341013887,12704.643029896244,7058.235456070325,7058.235456070325,5717.21365697514,7058.235456070325,7058.235456070325
Frequencies predict de-grid6,,,11049.567270263373,65536.0,11382.674739763022,65536.0,,,,,,,,,,,,,3481.6827824286233,3223.787184677295,3223.787184677295,5874.902110160061,,,,,,,,,3545.715676687566,4377.4053782844685,4377.4053782844685,8940.721027388057,8940.721027388057,8940.721027388057,,,7171.194564597031,13279.763930416846,13279.763930416846,8605.380415891032,13279.763930416846,13279.763930416846,9561.504316662818,13279.763930416846,13279.763930416846,19964.30990966161,11091.383723198613,11091.383723198613,8984.063753727927,11091.383723198613,11091.383723198613
Frequencies predict de-grid7,,,15067.391990198219,65536.0,15521.745078190484,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4835.0336829480575,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,18108.672519208772,18108.672519208772,11734.513181907203,18108.672519208772,18108.672519208772,13038.318500950394,18108.672519208772,18108.672519208772,27223.97678919299,15124.531989867131,15124.531989867131,12250.91384989669,15124.531989867131,15124.531989867131
Frequencies predict de-grid8,,,18080.76052947859,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5802.02218761939,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,21730.353960832246,21730.353960832246,14081.36275621053,21730.353960832246,21730.353960832246,15645.929138975218,21730.353960832246,21730.353960832246,32668.72694857374,18149.39318963302,18149.39318963302,14701.051421855485,18149.39318963302,18149.39318963302
Frequencies predict de-grid9,,,22098.585247986757,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7091.340193737987,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,26559.262549210896,26559.262549210896,17210.49552174649,26559.262549210896,26559.262549210896,16515.132684962446,22937.581107860868,22937.581107860868,39928.39382804045,22182.5414561377,22182.5414561377,17967.901517736373,22182.5414561377,22182.5414561377
Frequencies predict de-grid10,,,26116.409966266117,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,8380.658199914396,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,31388.171137799913,31388.171137799913,20339.628287199474,31388.171137799913,31388.171137799913,,,,47188.060706940756,26215.689722525978,26215.689722525978,21234.75161354068,26215.689722525978,26215.689722525978
Frequencies predict de-grid11,,,30134.234684264968,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,9669.976205977098,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,36217.0797262356,36217.0797262356,23468.76105257296,36217.0797262356,36217.0797262356,,,,54447.72758676212,30248.837988860792,30248.837988860792,24501.601709168484,30248.837988860792,30248.837988860792
Frequencies total,14885.274922420835,65536.0,65536.0,65536.0,31043.258846574816,65536.0,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,41287.433744201386,22937.581107860868,22937.581107860868,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies backward kernels0,294.1185891045441,579.6098273055826,248.78984155905908,554.7890161858172,104.67947792205598,199.61230223166032,209.92817245599073,209.6117596461662,209.32230357287247,416.3149200439334,213.67120505169186,209.6117596461662,209.32230357287247,416.3149200439334,213.67120505169186,209.6117596461662,209.32230357287247,416.3149200439334,43.25993599310628,42.75008591115347,42.426621942896446,102.9139379995089,53.70984871142355,51.218060605912264,51.063902124101965,40.0,44.067772039444044,41.757579516547885,41.58138929555284,40.0,41.40566003183756,41.32112645310079,41.307038771901205,93.10805935274057,92.7266653123902,92.35915711165521,252.2480140478845,250.19036205027,120.59718093227129,121.32537229955388,121.09911192270589,120.85130423602997,121.32537229955388,121.09911192270589,120.69292326764828,120.91541931049312,120.72565251481437,103.38550098781795,102.42926642344266,102.28668243708316,102.45307082822164,102.42926642344266,102.28668243708316
Frequencies backward kernels1,296.4143065899242,599.8193700278472,249.54507296704998,628.9340187940973,104.92624042595672,207.31810034751624,212.2757312804554,211.3875507923053,210.57310918430306,436.56360949019285,222.6185899646764,211.3875507923053,210.57310918430306,436.56360949019285,222.6185899646764,211.3875507923053,210.57310918430306,436.56360949019285,44.59620959471748,43.6816559345954,43.097267585388934,121.18423237758527,56.38091481641565,51.93630456055845,51.65620814272135,45.949946228978185,46.388352867667315,42.2704469669492,41.949644240859406,40.0,41.62864793090114,41.47386690120838,41.44804934971931,94.44719662857327,93.75417664854113,93.08433373170236,255.85254221607877,252.10750353937826,121.32098066106984,122.64947126721799,122.23734068269258,121.78528801713074,122.64947126721799,122.23734068269258,121.49599823769587,121.90231492266385,121.55580331020582,104.54735884175525,102.8012013484645,102.53978093588125,102.84481935929966,102.8012013484645,102.53978093588125
Frequencies backward kernels2,302.8290661537129,653.8176715439209,250.43731500894305,707.0238698380891,105.21796160243888,216.1075290052619,218.79713345339306,216.3437876223178,214.07925209089666,489.5489669387536,246.26665770604396,216.3437876223178,214.07925209089666,489.5489669387536,246.26665770604396,216.3437876223178,214.07925209089666,489.5489669387536,46.131674366161256,44.76169018008081,43.87945567259661,139.8414794356093,59.39592771168177,52.77551322532701,52.34996470718586,52.497148588894504,49.00071649996801,42.87074426609199,42.38217307874307,40.0,41.8914745496941,41.65419944192028,41.614579548550964,96.01130122082486,94.9583117360536,93.93694619371898,260.06300477746663,254.36197651684859,122.17356492524476,124.20143872513596,123.5734973462552,122.8835384410147,124.20143872513596,123.5734973462552,122.4413415044735,123.06227449199876,122.53279961056573,105.90871763563237,103.24035353491124,102.8389587149226,103.30727776372385,103.24035353491124,102.8389587149226
