,Ingest (Low) [],ICAL (Low) [],RCAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Fast_Img (Low) [],Ingest (Mid1) [],ICAL (Mid1) [],RCAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Fast_Img (Mid1) [],Ingest (Mid2) [],ICAL (Mid2) [],RCAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],Fast_Img (Mid2) [],Ingest (Mid5A) [],ICAL (Mid5A) [],RCAL (Mid5A) [],DPrepA (Mid5A) [],DPrepA_Image (Mid5A) [],DPrepB (Mid5A) [],DPrepC (Mid5A) [],DPrepD (Mid5A) [],Fast_Img (Mid5A) [],Ingest (Mid5B) [],ICAL (Mid5B) [],RCAL (Mid5B) [],DPrepA (Mid5B) [],DPrepA_Image (Mid5B) [],DPrepB (Mid5B) [],DPrepC (Mid5B) [],DPrepD (Mid5B) [],Fast_Img (Mid5B) [],Ingest (Mid5C) [],ICAL (Mid5C) [],RCAL (Mid5C) [],DPrepA (Mid5C) [],DPrepA_Image (Mid5C) [],DPrepB (Mid5C) [],DPrepC (Mid5C) [],DPrepD (Mid5C) [],Fast_Img (Mid5C) []
Max Baseline [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0
Snapshot Time [s],(undefined),31.74819982297227,31.74819981741341,33.076578529114904,27.3801237888785,21.801303590180435,54.46982783373497,(undefined),1.0,(undefined),86.03836690366722,86.03836690774135,74.74334800539398,80.86918240317543,65.10362918327692,541.3865901725881,(undefined),1.0,(undefined),154.39193069021653,154.39192511025792,159.6064131894842,116.92563670265267,59.126937122645494,990.3561960908389,(undefined),1.0,(undefined),377.8334119783112,377.8334102295676,141.09037456013908,177.54615688433205,137.24875607287802,952.7565382826839,(undefined),1.0,(undefined),832.7095000308043,832.7094686228826,310.87002127508754,391.1689521681723,302.41528723677453,1575.0971252816578,(undefined),1.0,(undefined),314.6423414787524,314.6423414775672,122.14787882094022,154.24659773879182,119.07585426784799,1000.4748636147896,(undefined),1.0
Facets,(undefined),5.0,5.0,2.0,2.0,2.0,1.0,(undefined),1.0,(undefined),7.0,7.0,3.0,3.0,3.0,4.0,(undefined),1.0,(undefined),6.0,6.0,3.0,2.0,1.0,4.0,(undefined),1.0,(undefined),5.0,5.0,1.0,1.0,1.0,1.0,(undefined),1.0,(undefined),5.0,5.0,1.0,1.0,1.0,1.0,(undefined),1.0,(undefined),5.0,5.0,1.0,1.0,1.0,1.0,(undefined),1.0
Stations/antennas,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Max Baseline [per bin]3 [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Max Baseline [per bin]4 [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Max Baseline [per bin]5 [km],,,,,,,,,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Max Baseline [per bin]6 [km],,,,,,,,,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Max Baseline [per bin]7 [km],,,,,,,,,,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Max Baseline [per bin]8 [km],,,,,,,,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Max Baseline [per bin]9 [km],,,,,,,,,,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Max Baseline [per bin]10 [km],,,,,,,,,,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
Max Baseline [per bin]11 [km],,,,,,,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Baseline fraction [per bin]0 [%],49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115
Baseline fraction [per bin]1 [%],13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095
Baseline fraction [per bin]2 [%],13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053
Baseline fraction [per bin]3 [%],17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095
Baseline fraction [per bin]4 [%],6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134
Baseline fraction [per bin]5 [%],,,,,,,,,,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607
Baseline fraction [per bin]6 [%],,,,,,,,,,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107
Baseline fraction [per bin]7 [%],,,,,,,,,,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103
Baseline fraction [per bin]8 [%],,,,,,,,,,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032
Baseline fraction [per bin]9 [%],,,,,,,,,,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028
Baseline fraction [per bin]10 [%],,,,,,,,,,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302
Baseline fraction [per bin]11 [%],,,,,,,,,,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),10.183223752781991,10.183223752781991,9.428910882205546,9.428910882205546,9.428910882205546,15.714851470342577,(undefined),14.14336632330832,(undefined),3.137735182835218,3.137735182835218,2.711622997511917,2.711622997511917,2.711622997511917,2.0337172481339376,(undefined),6.101151744401812,(undefined),1.504667593626715,1.504667593626715,1.1145685878716407,1.6718528818074612,2.786421469679102,0.8359264409037306,(undefined),2.507779322711192,(undefined),0.4013546367079286,0.4013546367079286,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,(undefined),0.5574369954276785,(undefined),0.17879278406903892,0.17879278406903892,0.2759147902299983,0.2759147902299983,0.2759147902299983,0.2759147902299983,(undefined),0.24832331120699846,(undefined),0.3653801815148637,0.3653801815148637,0.5638583048068884,0.5638583048068884,0.5638583048068884,0.5638583048068884,(undefined),0.5074724743261995
Total FoV size [deg],15.714851470342577,42.43009896992496,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,14.14336632330832,6.77905749377979,18.303455233205437,18.303455233205437,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.101151744401811,2.786421469679102,7.523337968133577,7.523337968133577,2.786421469679102,2.786421469679102,2.786421469679102,2.786421469679102,2.786421469679102,2.507779322711192,0.6193744393640873,1.6723109862830359,1.6723109862830359,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.5574369954276785,0.27591479022999826,0.7449699336209955,0.7449699336209955,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.24832331120699846,0.5638583048068883,1.5224174229785985,1.5224174229785985,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5074724743261995
PSF size [arcs],14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341
Pixel size [arcs],2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,4.730753126493159,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.34223555070373435,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.15056961524770163,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.03312372251543507,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.015011028719424249,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.029315792011904467
