Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Predict rate10 [M/s],,,,,,,,,,,0.8816592368683188,0.8816592368683188,0.9796190849624582,0.9796190849624582,0.9796190849624582,4.916473315821396,,9.832946631642791,,0.8243662501078881,0.8243662501078881,0.5343130373429814,0.5343130373429814,5.343060612787654,4.916473315821396,,6.227250709839248,,1.218337665790999,1.218337665790999,3.7602837501467,1.1280916372519167,3.7602837501467,9.832946631642791,,4.382549908974306,,0.6952838658179243,0.6952838658179243,0.5150270294193726,1.7167467689179623,1.7167467689179623,9.832946631642791,,2.0008405790862587,,1.1635896939601087,1.1635896939601087,6.46434017339774,6.46434017339774,6.46434017339774,9.832946631642791,,7.534084076798374
Predict rate11 [M/s],,,,,,,,,,,0.5813119696057458,0.5813119696057458,0.6459008802550613,0.6459008802550613,0.6459008802550613,2.107059986685117,,4.214119973370234,,0.4076526169060863,0.4076526169060863,0.3522932872334912,0.3522932872334912,2.6421697567654814,4.214119973370234,,3.0794066167926535,,0.6024735947939166,0.6024735947939166,1.8594788233242268,0.5578464379488498,1.8594788233242268,4.214119973370234,,2.1671928570391423,,0.6876423932801229,0.6876423932801229,0.2546832008660547,0.8489397189711713,0.8489397189711713,4.214119973370234,,0.9894256686536959,,0.8631004236319119,0.8631004236319119,3.196648086230857,3.196648086230857,3.196648086230857,4.214119973370234,,3.7256423227427637
Backward rate0 [M/s],(undefined),16.38946982053602,16.38946982053602,6.013426209746044,6.013426209746044,6.013426209746044,423.19409529833393,(undefined),10.514494658907426,(undefined),1.0738096213339792,1.0738096213339792,1.1930493754058973,1.1930493754058973,1.1930493754058973,77.79827352036892,(undefined),6.894754097365011,(undefined),0.7529367268852246,0.7529367268852246,0.6507360136811625,0.6507360136811625,2.70147546150297,94.18677181642727,(undefined),3.6589847084382385,(undefined),0.802756203018727,0.802756203018727,1.9012142263311913,0.6868216079996661,1.9012142263311913,241.60954509431343,(undefined),2.5750798170330342,(undefined),0.5704508268074974,0.5704508268074974,0.3135674261278501,0.8679955239481956,0.8679955239481956,241.60954509431343,(undefined),1.1756471780002387,(undefined),1.062687706894632,1.062687706894632,3.3462045722176956,3.3462045722176956,3.3462045722176956,241.60954509431343,(undefined),4.549800775197803
Backward rate1 [M/s],,19.468696239167222,19.468696239167222,3.2458506229901842,3.2458506229901842,3.2458506229901842,158.71225614297404,,7.884234488190667,,0.13257074183666756,0.13257074183666756,0.1524791524060275,0.1524791524060275,0.1524791524060275,8.969924213647179,,1.2770007793841718,,0.10709675379863418,0.10709675379863418,0.08033989992703366,0.08033989992703366,0.5122559181162916,11.729900894769385,,0.6965162597907599,,0.1486732862575111,0.1486732862575111,0.36050988903182196,0.12619108344913432,0.36050988903182196,30.497742326400406,,0.4901866790763638,,0.10665807855228844,0.10665807855228844,0.057612297268791586,0.1589144412948062,0.1589144412948062,30.497742326400406,,0.22379355493236341,,0.18022834102739185,0.18022834102739185,0.6197548102962133,0.6197548102962133,0.6197548102962133,30.497742326400406,,0.8426832444894243
Backward rate2 [M/s],,99.68163174383051,99.68163174383051,10.550057015961476,10.550057015961476,10.550057015961476,325.080391118371,,32.29274365489805,,0.12208784642993407,0.12208784642993407,0.15130085607865887,0.15130085607865887,0.15130085607865887,6.752449553681197,,1.2733302243926343,,0.10794425224011182,0.10794425224011182,0.0794681846728361,0.0794681846728361,0.5107802253009371,8.848037346202949,,0.6945134728711676,,0.14824200122568137,0.14824200122568137,0.3594714121263833,0.1258244343593667,0.3594714121263833,23.326643912716865,,0.48877726115698367,,0.10737245842475189,0.10737245842475189,0.05744487340731679,0.1641157898017099,0.1641157898017099,23.326643912716865,,0.22315002669417372,,0.1797036133208266,0.1797036133208266,0.6179698828480857,0.6179698828480857,0.6179698828480857,23.326643912716865,,0.840260683431814
Backward rate3 [M/s],,499.48810943285,499.48810943285,61.670274123115625,61.670274123115625,61.670274123115625,814.5013710890815,,161.80932091224793,,0.5008354418681944,0.5008354418681944,0.6219399163912926,0.6219399163912926,0.6219399163912926,18.392292493707203,,5.133823233071992,,0.4305092313697515,0.4305092313697515,0.3203802990006304,0.3203802990006304,2.059354644442218,24.200384860141057,,2.8001420823265595,,0.5976674076396401,0.5976674076396401,1.449310740372245,0.5072841345924568,1.449310740372245,65.68675890609714,,1.9706543650647235,,0.44138667981953084,0.44138667981953084,0.23159934993454534,0.6616790430236666,0.6616790430236666,65.68675890609714,,0.8996970342032573,,0.7245035354924511,0.7245035354924511,2.49152179809195,2.49152179809195,2.49152179809195,65.68675890609714,,3.3877683391659583
Backward rate4 [M/s],,382.99317944599767,382.99317944599767,141.85516357533254,141.85516357533254,141.85516357533254,624.5514475564054,,248.13824319236474,,1.9350942332781091,1.9350942332781091,2.4725903662639124,2.4725903662639124,2.4725903662639124,43.01523944031776,,20.582576085731382,,1.7339230901780167,1.7339230901780167,1.2844072080433269,1.2844072080433269,8.428350123614008,58.6571446913424,,11.226348272266819,,2.365403666539753,2.365403666539753,5.9316156627068555,2.0337578431356405,5.9316156627068555,161.3071479011916,,7.900761653677601,,1.7548435032967684,1.7548435032967684,0.9285068452899445,2.70806297870814,2.70806297870814,161.3071479011916,,3.6070710201770013,,2.9368737503340365,2.9368737503340365,10.197092675637535,10.197092675637535,10.197092675637535,161.3071479011916,,13.582270090794326
Backward rate5 [M/s],,,,,,,,,,,2.0488573405577437,2.0488573405577437,2.60170102609267,2.60170102609267,2.60170102609267,33.947077585853755,,21.22462043976623,,1.768331467269567,1.768331467269567,1.3244438651345602,1.3244438651345602,8.277372767488988,42.43384698231719,,11.576534036921307,,2.516600692859284,2.516600692859284,5.825362795526034,2.097175570733486,5.825362795526034,113.15692528617919,,8.147212186223568,,1.8465038617738756,1.8465038617738756,0.9574598668212341,2.659553226843692,2.659553226843692,113.15692528617919,,3.719586979887753,,2.9497857656630093,2.9497857656630093,10.014434241460204,10.014434241460204,10.014434241460204,113.15692528617919,,14.005947573302892
Backward rate6 [M/s],,,,,,,,,,,7.8654260965192675,7.8654260965192675,9.710348953550884,9.710348953550884,9.710348953550884,86.38945944053368,,84.87674320832208,,6.894618964532432,6.894618964532432,5.296314934202968,5.296314934202968,39.721136228879466,103.66735132864042,,46.29426369027542,,9.057367551571685,9.057367551571685,27.95452733054797,8.386472626860785,27.95452733054797,259.16837832160104,,32.58049497077837,,7.753293126450337,7.753293126450337,3.8288208810341455,12.762560631366808,12.762560631366808,259.16837832160104,,14.874532741629935,,11.121928686064653,11.121928686064653,48.05689042812123,48.05689042812123,48.05689042812123,259.16837832160104,,56.00943711645918
Backward rate7 [M/s],,,,,,,,,,,14.643821927998713,14.643821927998713,18.982655237143156,18.982655237143156,18.982655237143156,99.07864302706426,,165.92606400443833,,11.98065273017369,11.98065273017369,8.874603033736832,8.874603033736832,77.65101925391872,165.13107171177376,,90.50092476332246,,17.706234609823387,17.706234609823387,54.64842669824035,16.394692054382592,54.64842669824035,495.39321513532127,,63.69180025453467,,13.472823173543917,13.472823173543917,7.484950723687904,24.949583947947147,24.949583947947147,495.39321513532127,,29.07830991831865,,20.29272804031996,20.29272804031996,93.9466306707288,93.9466306707288,93.9466306707288,495.39321513532127,,109.49318352648537
