,Ingest (Low) [],ICAL (Low) [],RCAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Fast_Img (Low) [],Ingest (Mid1) [],ICAL (Mid1) [],RCAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Fast_Img (Mid1) [],Ingest (Mid2) [],ICAL (Mid2) [],RCAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],Fast_Img (Mid2) [],Ingest (Mid5A) [],ICAL (Mid5A) [],RCAL (Mid5A) [],DPrepA (Mid5A) [],DPrepA_Image (Mid5A) [],DPrepB (Mid5A) [],DPrepC (Mid5A) [],DPrepD (Mid5A) [],Fast_Img (Mid5A) [],Ingest (Mid5B) [],ICAL (Mid5B) [],RCAL (Mid5B) [],DPrepA (Mid5B) [],DPrepA_Image (Mid5B) [],DPrepB (Mid5B) [],DPrepC (Mid5B) [],DPrepD (Mid5B) [],Fast_Img (Mid5B) [],Ingest (Mid5C) [],ICAL (Mid5C) [],RCAL (Mid5C) [],DPrepA (Mid5C) [],DPrepA_Image (Mid5C) [],DPrepB (Mid5C) [],DPrepC (Mid5C) [],DPrepD (Mid5C) [],Fast_Img (Mid5C) []
Max Baseline [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0
Snapshot Time [s],3600.0,31.748199822972268,31.748199817413408,33.07657852906763,27.380123789146296,21.80130359091931,54.46983197316435,3600.0,1.0,3600.0,86.03836690366725,86.03836690249852,74.74334356281412,80.86918237938735,65.10363778290713,541.3865900535484,3600.0,1.0,3600.0,154.39192507588092,154.391919445722,159.60641318948421,116.9256366942835,59.1269371226463,990.3562201835762,3600.0,1.0,3600.0,377.8334064389802,377.8334118691141,141.0903691341016,177.54613911639365,137.2487442216086,952.756555741541,3600.0,1.0,3600.0,832.7095156831001,832.7094479796538,310.8700131633344,391.1690083070796,302.41527257569703,1575.097125281648,3600.0,1.0,3600.0,314.64233347981383,314.6423414766722,122.14789033319357,154.24660335965945,119.0758543563372,1000.474845016711,3600.0,1.0
Facets,1.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,7.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,6.0,6.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
Stations/antennas,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Max Baseline [per bin]1 [km],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Max Baseline [per bin]2 [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Baseline fraction [per bin]0 [%],49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115
Baseline fraction [per bin]1 [%],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Baseline fraction [per bin]2 [%],6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],15.714851470342577,10.183223752781991,10.183223752781991,9.428910882205546,9.428910882205546,9.428910882205546,15.714851470342577,15.714851470342577,14.14336632330832,6.779057493779791,3.137735182835218,3.137735182835218,2.711622997511917,2.711622997511917,2.711622997511917,2.0337172481339376,6.779057493779791,6.101151744401812,2.786421469679102,1.5046675936267153,1.5046675936267153,1.114568587871641,1.6718528818074612,2.786421469679102,0.8359264409037306,2.786421469679102,2.507779322711192,0.6193744393640873,0.40135463670792865,0.40135463670792865,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.5574369954276787,0.2759147902299983,0.17879278406903895,0.17879278406903895,0.2759147902299983,0.2759147902299983,0.2759147902299983,0.2759147902299983,0.2759147902299983,0.2483233112069985,0.5638583048068884,0.36538018151486373,0.36538018151486373,0.5638583048068884,0.5638583048068884,0.5638583048068884,0.5638583048068884,0.5638583048068884,0.5074724743261995
Total FoV size [deg],15.714851470342577,42.43009896992496,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,14.14336632330832,6.77905749377979,18.303455233205437,18.303455233205437,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.101151744401811,2.786421469679102,7.523337968133577,7.523337968133577,2.786421469679102,2.786421469679102,2.786421469679102,2.786421469679102,2.786421469679102,2.507779322711192,0.6193744393640873,1.6723109862830359,1.6723109862830359,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.5574369954276785,0.27591479022999826,0.7449699336209955,0.7449699336209955,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.24832331120699846,0.5638583048068883,1.5224174229785985,1.5224174229785985,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5074724743261995
PSF size [arcs],14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,14.192259379479477,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,1.026706652111203,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.4517088457431048,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.0993711675463052,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.04503308615827274,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341,0.08794737603571341
Pixel size [arcs],2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,2.838451875895895,4.730753126493159,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.20534133042224062,0.34223555070373435,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.09034176914862097,0.15056961524770163,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.01987423350926104,0.03312372251543507,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.00900661723165455,0.015011028719424249,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.01758947520714268,0.029315792011904467
Facet side length [pixels],19931.098981685962,12915.352140132505,12915.352140132505,11958.659389011576,11958.659389011576,11958.659389011576,19931.098981685962,19931.098981685962,10762.79345011042,118848.97661578593,55010.09774787806,55010.09774787806,47539.59064631437,47539.59064631437,47539.59064631437,35654.69298473578,118848.97661578593,64178.4473725244,111035.20979695015,59959.013290353076,59959.013290353076,44414.08391878005,66621.12587817007,111035.20979695015,33310.56293908504,111035.20979695015,59959.01329035308,112192.90447964653,72701.00210281096,72701.00210281096,112192.90447964653,112192.90447964653,112192.90447964653,112192.90447964653,112192.90447964653,60584.16841900912,110284.8293959887,71464.5694486007,71464.5694486007,110284.8293959887,110284.8293959887,110284.8293959887,110284.8293959887,110284.8293959887,59553.807873833895,115403.66460055082,74781.57466115695,74781.57466115695,115403.66460055082,115403.66460055082,115403.66460055082,115403.66460055082,115403.66460055082,62317.97888429744
Image side length [pixels],19931.09898168596,53813.9672505521,53813.9672505521,19931.09898168596,19931.09898168596,19931.09898168596,19931.09898168596,19931.09898168596,10762.79345011042,118848.97661578593,320892.236862622,320892.236862622,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,118848.97661578593,64178.4473725244,111035.20979695015,299795.0664517654,299795.0664517654,111035.20979695015,111035.20979695015,111035.20979695015,111035.20979695015,111035.20979695015,59959.01329035308,112192.90447964653,302920.84209504566,302920.84209504566,112192.90447964653,112192.90447964653,112192.90447964653,112192.90447964653,112192.90447964653,60584.168419009126,110284.82939598868,297769.0393691695,297769.0393691695,110284.82939598868,110284.82939598868,110284.82939598868,110284.82939598868,110284.82939598868,59553.807873833895,115403.6646005508,311589.8944214872,311589.8944214872,115403.6646005508,115403.6646005508,115403.6646005508,115403.6646005508,115403.6646005508,62317.97888429744
Grid side dimension [lambda],72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,72668.06529245574,43600.83917547343,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,1004497.2720443411,602698.3632266046,2283161.0249714144,2283161.0249714144,2283161.0249714144,2283161.0249714144,2283161.0249714144,2283161.0249714144,2283161.0249714144,2283161.0249714144,1369896.6149828488,10378503.711903185,10378503.711903185,10378503.711903185,10378503.711903185,10378503.711903185,10378503.711903185,10378503.711903185,10378503.711903185,6227102.22714191,22901473.54349206,22901473.54349206,22901473.54349206,22901473.54349206,22901473.54349206,22901473.54349206,22901473.54349206,22901473.54349206,13740884.126095237,11726603.768333973,11726603.768333973,11726603.768333973,11726603.768333973,11726603.768333973,11726603.768333973,11726603.768333973,11726603.768333973,7035962.261000384
Baselines dimension [lambda],43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,43600.83917547344,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,602698.3632266046,1369896.614982849,1369896.614982849,1369896.614982849,1369896.614982849,1369896.614982849,1369896.614982849,1369896.614982849,1369896.614982849,1369896.614982849,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,6227102.227141909,13740884.126095237,13740884.126095237,13740884.126095237,13740884.126095237,13740884.126095237,13740884.126095237,13740884.126095237,13740884.126095237,13740884.126095237,7035962.261000384,7035962.261000384,7035962.261000384,7035962.261000384,7035962.261000384,7035962.261000384,7035962.261000384,7035962.261000384,7035962.261000384
Epsilon (approx),0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.6666666666666672,0.342997170285018,0.342997170285018,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.342997170285018,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.24373333911071637,0.342997170285018
Qbw,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,2.2049999999999983,4.285749642711291,4.285749642711291,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,4.285749642711291,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,6.031181476294671,4.285749642711291
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Station/antenna diameter,35,35,35,35,35,35,35,35,35,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
-- Time Coalescing --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time full0 [s],27.900000000000002,9.9,9.9,27.900000000000002,27.900000000000002,27.900000000000002,14.4,14.4,15.3,5.74,2.1,2.1,5.74,5.74,5.74,3.22,3.22,5.040000000000001,6.0200000000000005,2.24,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,5.180000000000001,6.0200000000000005,2.24,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,5.180000000000001,6.0200000000000005,2.24,2.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,5.180000000000001,5.880000000000001,2.1,2.1,5.880000000000001,5.880000000000001,5.880000000000001,3.22,3.22,5.040000000000001
Coalesce time full1 [s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Coalesce time full2 [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Coalesce time pred0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.74,10.0,10.0,10.0,10.0,10.0,10.0,3.22,5.040000000000001,6.0200000000000005,10.0,10.0,10.0,10.0,6.0200000000000005,10.0,3.22,5.180000000000001,6.0200000000000005,9.24,9.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,5.180000000000001,6.0200000000000005,9.38,9.38,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,5.180000000000001,5.880000000000001,9.100000000000001,9.100000000000001,5.880000000000001,5.880000000000001,5.880000000000001,3.22,3.22,5.040000000000001
Coalesce time pred1 [s],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Coalesce time pred2 [s],0.9,2.7,2.7,2.7,2.7,2.7,0.9,0.9,0.9,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.28,0.14,0.14,0.14,0.28,0.28,0.42000000000000004,0.28,0.14,0.28,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.28,0.28,0.14,0.14,0.14,0.14,0.14,0.14
Coalesce time bw0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.74,10.0,10.0,10.0,10.0,10.0,10.0,3.22,5.040000000000001,6.0200000000000005,10.0,10.0,10.0,10.0,6.0200000000000005,10.0,3.22,5.180000000000001,6.0200000000000005,9.24,9.24,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,5.180000000000001,6.0200000000000005,9.38,9.38,6.0200000000000005,6.0200000000000005,6.0200000000000005,3.22,3.22,5.180000000000001,5.880000000000001,9.100000000000001,9.100000000000001,5.880000000000001,5.880000000000001,5.880000000000001,3.22,3.22,5.040000000000001
