,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [blcoal] [spbf],37cDPrepA [blcoal] [spbf],37cDPrepB [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
Max Baseline [m],80000,80000,150000,150000,150000,150000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,40000,40000,40000,40000,25000,25000,25000,25000,15000,15000,15000,15000,150000,150000,150000,50000,50000,50000,20000,20000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
Dump time [s],0.9,0.9,0.14,0.14,0.14,0.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.5250000000000001,0.8400000000000002,0.8400000000000002,0.8400000000000002,0.8400000000000002,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,0.14,0.14,0.14,0.4200000000000001,0.4200000000000001,0.4200000000000001,1.0500000000000003,1.0500000000000003,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,21600.0,21600.0,21600.0,442.8,442.8,442.8,7920.000000000001,7920.000000000001,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],17.30806859869322,73.15231224385477,59.12694099011029,1063.1140545551625,152.13941148264698,1407.2649204110721,29.262807969733903,25.263325915229373,21.435771674729587,763.4585553592989,28.502160483031645,25.263325915229373,21.435771674729587,763.4585553592989,28.502160483031645,25.263325915229373,21.435771674729587,763.4585553592989,272.16752102433077,214.34230506773278,53.50314100408708,3404.858166369604,289.6011716765652,79.54685539716772,252.24361568439812,2716.1068071437826,243.84575997022858,85.14801830245392,67.22644355187161,1268.2156534035896,550.2672877192543,226.21123286406436,220.24128972112467,68.1025464093841,57.183792296465285,44.48644672460182,30.527391531060992,19.85969670056943,139.62165050272858,59.12694310820606,49.56129042006469,158.54377067315602,59.12694310820606,49.56129042006469,139.62165050272858,59.12694310820606,49.56129042006469,335.7134923148845,173.95595279213535,132.87702172569357,331.5717091664676,173.95595279213535,132.87702172569357
Facets,1.0,1.0,3.0,8.0,1.0,1.0,4.0,2.0,2.0,6.0,3.0,2.0,2.0,6.0,3.0,2.0,2.0,6.0,6.0,3.0,1.0,6.0,4.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0
Stations/antennas,512,512,197,197,197,197,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [m],4900,4900,5000.0,5000.0,5000.0,5000.0,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Max Baseline [per bin]1 [m],7100,7100,7500.0,7500.0,7500.0,7500.0,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
Max Baseline [per bin]2 [m],10400,10400,10000.0,10000.0,10000.0,10000.0,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Max Baseline [per bin]3 [m],15100,15100,15000.0,15000.0,15000.0,15000.0,15100,15100,15100,15100,15100,15100,15100,15100,15100,15100,15100,15100,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Max Baseline [per bin]4 [m],22100,22100,25000.0,25000.0,25000.0,25000.0,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,22100,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,,,,,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,20000.0,20000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
Max Baseline [per bin]5 [m],32200,32200,35000.0,35000.0,35000.0,35000.0,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,35000.0,35000.0,35000.0,35000.0,,,,,,,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Max Baseline [per bin]6 [m],47000,47000,55000.0,55000.0,55000.0,55000.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,40000.0,40000.0,40000.0,40000.0,,,,,,,,,55000.0,55000.0,55000.0,50000.0,50000.0,50000.0,,,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0
Max Baseline [per bin]7 [m],80000,80000,75000.0,75000.0,75000.0,75000.0,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,,,,,,,,,,,,,75000.0,75000.0,75000.0,,,,,,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
Max Baseline [per bin]8 [m],,,90000.0,90000.0,90000.0,90000.0,,,,,,,,,,,,,,,,,,,,,,,,,90000.0,90000.0,90000.0,,,,,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
Max Baseline [per bin]9 [m],,,110000.0,110000.0,110000.0,110000.0,,,,,,,,,,,,,,,,,,,,,,,,,110000.0,110000.0,110000.0,,,,,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0
Max Baseline [per bin]10 [m],,,130000.0,130000.0,130000.0,130000.0,,,,,,,,,,,,,,,,,,,,,,,,,130000.0,130000.0,130000.0,,,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0
Max Baseline [per bin]11 [m],,,150000.0,150000.0,150000.0,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,150000.0,150000.0,,,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
Baseline fraction [per bin]0,0.524239919748,0.524239919748,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.524239919748,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115
Baseline fraction [per bin]1,0.0791161594921,0.0791161594921,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0791161594921,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095
Baseline fraction [per bin]2,0.0591534570941,0.0591534570941,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0591534570941,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053
Baseline fraction [per bin]3,0.0915027831908,0.0915027831908,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0915027831908,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095
Baseline fraction [per bin]4,0.0739594811926,0.0739594811926,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0739594811926,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,,,,,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0356976322567,0.0356976322567,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134
Baseline fraction [per bin]5,0.105687180389,0.105687180389,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.105687180389,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,,,,,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607
Baseline fraction [per bin]6,0.0609159107939,0.0609159107939,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0609159107939,0.0143386353027,0.0143386353027,0.0143386353027,0.0143386353027,,,,,,,,,0.0573545412107,0.0573545412107,0.0573545412107,0.043015905908,0.043015905908,0.043015905908,,,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107
Baseline fraction [per bin]7,0.00542510809946,0.00542510809946,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,0.00542510809946,,,,,,,,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103
Baseline fraction [per bin]8,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,,,,,,,,,,,,,,,,,,,,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032
Baseline fraction [per bin]9,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,,,,,,,,,,,,,,,,,,,,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028
Baseline fraction [per bin]10,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,,,,,,,,,,,,,,,,,,,,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302
Baseline fraction [per bin]11,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,,,,,,,,,,,,,,,,,,,,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],15.714851470342577,15.714851470342577,2.711622997511917,1.0168586240669688,0.3338544469521037,0.3338544469521037,13.917307370361067,10.309116570637828,10.309116570637828,3.436372190212609,12.370939884765392,10.309116570637828,10.309116570637828,3.436372190212609,12.370939884765392,10.309116570637828,10.309116570637828,3.436372190212609,2.1296048962916845,1.5774851083642105,3.943712770910526,0.7887425541821053,1.404748229832944,2.6013856108017475,1.040554244320699,0.7164146211613921,1.7253597803694514,2.3963330282909046,2.3963330282909046,2.192475334391248,0.2523338678790322,0.31152329367781756,0.31152329367781756,2.861080204290725,2.861080204290725,2.861080204290725,6.779057493779791,6.779057493779791,1.5190752959839942,2.8131023999703597,2.8131023999703597,1.5190752959839944,2.8131023999703597,2.8131023999703597,1.5190752959839942,2.8131023999703597,2.8131023999703597,0.2923118393863541,0.4059886658143807,0.4059886658143807,0.3288508193096483,0.4059886658143807,0.4059886658143807
Total FoV size [deg],15.714851470342577,15.714851470342577,6.77905749377979,6.77905749377979,0.3338544469521037,0.3338544469521037,46.391024567870225,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,10.64802448145842,3.9437127709105257,3.9437127709105257,3.9437127709105257,4.682494099443145,2.6013856108017475,2.6013856108017475,2.3880487372046404,4.313399450923628,2.396333028290904,2.396333028290904,2.1924753343912475,0.8411128929301074,0.3115232936778175,0.3115232936778175,2.8610802042907246,2.8610802042907246,2.8610802042907246,6.77905749377979,6.77905749377979,5.063584319946647,2.8131023999703593,2.8131023999703593,7.59537647991997,2.8131023999703593,2.8131023999703593,5.063584319946647,2.8131023999703593,2.8131023999703593,0.7307795984658851,0.40598866581438064,0.40598866581438064,1.0961693976988278,0.40598866581438064,0.40598866581438064
