Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Frequencies predict kernels8,,,,,,,,,,15598.826171491737,363.4809315695816,363.48094740109536,313.99123630158886,321.287994827928,608.3587544370397,3036.1502764918787,28426.59834025773,692.1474329256977,4231.545704343195,202.7827690318511,202.78278077064604,169.6797088410911,236.310870918004,229.20040545734304,1341.1607891319388,7711.24596695844,249.96349582703067,930.2882700105453,253.8983584952155,130.2621187540578,125.86312108490971,135.64385734376756,124.75536575500998,636.117115948368,1695.1639377638774,132.63528170340362,232.37595802553636,114.81505318690913,59.4589751622735,57.49576130982084,61.854517526249396,57.00228917696696,236.23820848133337,423.3960455988922,59.175069456976196,1484.2025927121103,388.9243633729641,204.5149076336155,200.92232575268952,213.7798704276647,199.59649450418027,1054.9470389219205,2704.4844692194742,223.71625308711026
Frequencies predict kernels9,,,,,,,,,,18332.355043670676,396.38189672494445,396.3819163899712,334.2342217374214,343.4951451286303,792.8537967478344,3529.9230703529515,33408.137415783196,890.8904083609574,4955.331951641294,220.78277001068807,220.7827846148841,179.0214136779045,262.0901661337351,253.3888049189903,1555.6880845422877,9030.262388146228,295.31337461164065,1083.9574207010946,289.7818180485651,139.91291112370988,134.35023080418043,146.6751582578958,132.94391999915226,733.2543468460868,1975.208124790044,137.31605111753885,269.47371673799046,130.94101425814887,63.76581706772778,61.27953040727669,66.78044690679349,60.65212770475143,270.69271458331883,491.002402239371,59.83323634343185,1728.798315029152,441.8165255796933,216.48609146748507,211.8829430512778,228.283373189166,210.179775342858,1215.4329382886608,3150.2317763552037,230.7992898252916
Frequencies predict kernels10,,,,,,,,,,20984.231793182873,429.6199630628072,429.61998642611036,355.12861482468713,366.3265648240321,1001.8405729214155,4004.9978065597234,38240.87497561911,1117.9350945725434,5654.479484285406,238.99259364089738,238.99261101308343,188.74268807377717,305.8570293840345,305.8570293840345,1762.25891013935,10304.377612220242,350.6504186691082,1231.7964345645505,324.70610124617787,149.79376729863603,143.08839096142566,157.90227171167095,141.38756253641085,827.1299744819297,2244.627565012232,143.79737652531196,305.199528373227,146.64502903886628,68.18141669731189,65.18059694262229,71.80073929858366,64.42083493188514,304.12949667802906,556.1085452495962,60.769008241548065,1964.101566517467,493.47904588457607,228.90588394561513,223.2939529595376,243.2106811526695,221.2127820620341,1370.581815702422,3579.0446355201443,240.64489972425974
Frequencies predict kernels11,,,,,,,,,,23570.993753474908,462.91974862186333,462.91977555249196,389.9023918392926,389.9023918392926,1232.1685520772814,4464.774204786868,42954.9483909275,1369.302866892395,6333.876974677991,257.25636447704915,257.2563845214695,198.7258174353676,365.6193648027837,365.6193648027837,1962.2515178269944,11542.500677047814,414.5082373488821,1374.9061185830358,358.75098344015237,159.80052524896564,151.97946409312271,169.2169773667151,149.99010402233756,918.2165938421579,2505.4283510725713,152.1903066598548,339.78972696741937,161.95962957875616,72.65841187047589,69.154578844344,76.86587836305642,68.26496963594319,336.6612550964904,619.1451657356973,62.021216213055126,2191.858115983332,570.9693834431505,241.62625590191413,235.0169103511522,258.39472159914453,232.5609325120816,1521.1532969970324,3994.104507166983,253.45240403612777
Frequencies predict de-grid0,65536.0,603.7866629970722,603.7866629970722,559.1337152950158,931.2414905129898,931.2414905129898,65536.0,65536.0,1628.2786778496668,65536.0,1162.8485129365304,1162.8485129365304,1005.0053854489457,1005.0053854489457,2511.6897145573553,65536.0,65536.0,2927.246459022404,65536.0,739.9202789596652,739.9202789596652,548.1694318247697,1369.9587468457216,1369.9587468457216,65536.0,65536.0,1596.6154427183094,65536.0,2602.7936212227987,624.8353800384707,964.1342651844309,964.1342651844309,964.1342651844309,65536.0,65536.0,1123.6483696216517,65536.0,1188.2987327509875,285.2676338925193,440.17355597011345,440.17355597011345,440.17355597011345,65536.0,65536.0,512.9992577598294,65536.0,4474.4830112811205,1074.1554517174807,1657.447518022577,1657.447518022577,1657.447518022577,65536.0,65536.0,1931.6697913193286
Frequencies predict de-grid1,65536.0,1206.6011546294023,1206.6011546294023,1117.2953217949262,1861.5105341316757,1861.5105341316757,65536.0,65536.0,3255.584691283069,65536.0,1743.998188401229,1743.998188401229,1507.2335084877068,1507.2335084877068,3767.259952131288,65536.0,65536.0,4390.595064095621,65536.0,1109.7254693717287,1109.7254693717287,822.0992112836918,2054.7831546141115,2054.7831546141115,65536.0,65536.0,2394.7681956579695,65536.0,3904.0819272403155,937.1445813732993,1446.0929017246065,1446.0929017246065,1446.0929017246065,65536.0,65536.0,1685.3640564542193,65536.0,1782.3981349931155,427.85149409557937,660.2103737905189,660.2103737905189,660.2103737905189,65536.0,65536.0,769.4489255803708,65536.0,6711.540598618702,1611.049285867178,2485.9873730119093,2485.9873730119093,2485.9873730119093,65536.0,65536.0,2897.3207797379746
Frequencies predict de-grid2,65536.0,2412.2297464079625,2412.2297464079625,2233.6181120846836,3722.048367432926,3722.048367432926,65536.0,65536.0,6510.1965728741225,65536.0,2325.1478494585263,2325.1478494585263,2009.4616148571042,2009.4616148571042,5022.83018303477,65536.0,65536.0,5853.943663441757,65536.0,1479.5306525735034,1479.5306525735034,1096.0289810115794,2739.607558487833,2739.607558487833,65536.0,65536.0,3192.9209452546934,65536.0,5205.370232252657,1249.4537785218913,1928.0515355533043,1928.0515355533043,1928.0515355533043,65536.0,65536.0,2247.0797409596876,65536.0,2376.4975367707475,570.4353523546921,880.2471903509299,880.2471903509299,880.2471903509299,65536.0,65536.0,1025.8985923202388,65536.0,8948.598184297494,2147.943113021092,3314.5272234667896,3314.5272234667896,3314.5272234667896,65536.0,65536.0,3862.9717642657424
Frequencies predict de-grid3,65536.0,4823.48673394533,4823.48673394533,4466.26348098825,7443.123906952532,7443.123906952532,65536.0,65536.0,13019.420263376436,65536.0,3487.4471571609083,3487.4471571609083,3013.917810920462,3013.917810920462,7533.970638170312,65536.0,65536.0,8780.640856407961,65536.0,2219.14101176475,2219.14101176475,1643.8885107326514,4109.256362339347,4109.256362339347,65536.0,65536.0,4789.226441112072,65536.0,7807.946841272109,1874.0721686334662,2891.968800495013,2891.968800495013,2891.968800495013,65536.0,65536.0,3370.5111076432245,65536.0,3564.696339861489,855.6030669285161,1320.3208222098451,1320.3208222098451,1320.3208222098451,65536.0,65536.0,1538.7979247168228,65536.0,13422.713353947864,3221.730760331539,4971.606919841428,4971.606919841428,4971.606919841428,65536.0,65536.0,5794.273729429907
Frequencies predict de-grid4,65536.0,9646.000610935875,9646.000610935875,8931.554112875032,14885.274922420835,14885.274922420835,65536.0,65536.0,26037.867607994198,65536.0,5812.045755267206,5812.045755267206,5022.83018303477,5022.83018303477,12556.251540408359,65536.0,65536.0,14634.035235477146,65536.0,3698.3617214896512,3698.3617214896512,2739.607558487833,6848.5539653768465,6848.5539653768465,65536.0,65536.0,7981.837428793979,65536.0,13013.100058070033,3123.308943830835,4819.803327119454,4819.803327119454,4819.803327119454,65536.0,65536.0,5617.3738382134225,65536.0,5941.093945476425,1425.9384937424293,2200.4680844190366,2200.4680844190366,2200.4680844190366,65536.0,65536.0,2564.5965882148244,65536.0,22370.943691172077,5369.306046552494,8285.76630714385,8285.76630714385,8285.76630714385,65536.0,65536.0,9656.87765508817
Frequencies predict de-grid5,,,,,,,,,,65536.0,8136.644346788232,8136.644346788232,7031.742547520076,7031.742547520076,17578.532439633425,65536.0,65536.0,20487.429611910986,65536.0,5177.5824279175995,5177.5824279175995,3835.3266017939427,9587.851566631676,9587.851566631676,65536.0,65536.0,11174.448414962055,65536.0,18218.253274526207,4372.54571711229,6747.637852514593,6747.637852514593,6747.637852514593,65536.0,65536.0,7864.236567728094,65536.0,8317.49155085596,1996.2739196668836,3080.6153460537075,3080.6153460537075,3080.6153460537075,65536.0,65536.0,3590.395251217516,65536.0,31319.17402783364,7516.881329584529,11599.925692369377,11599.925692369377,11599.925692369377,65536.0,65536.0,13519.481578975125
Frequencies predict de-grid6,,,,,,,,,,65536.0,12785.841524431838,12785.841524431838,11049.567270263373,11049.567270263373,27623.094235464625,65536.0,65536.0,32194.218362539585,65536.0,8136.023838057545,8136.023838057545,6026.764684762012,15066.446767662303,15066.446767662303,65536.0,65536.0,17559.670386028447,65536.0,28628.559707000168,6871.019262117228,10603.30690224929,10603.30690224929,10603.30690224929,65536.0,65536.0,12357.962025880577,65536.0,13070.28676143725,3136.944770783244,4840.909868830683,4840.909868830683,4840.909868830683,65536.0,65536.0,5641.992576805486,65536.0,49215.63470041959,11812.031892985902,18228.244461150298,18228.244461150298,18228.244461150298,65536.0,65536.0,21244.689425282002
Frequencies predict de-grid7,,,,,,,,,,65536.0,17435.03869966,17435.03869966,15067.391990198219,15067.391990198219,37667.65603029708,65536.0,65536.0,43901.00711260044,65536.0,11094.465247025146,11094.465247025146,8218.202766101153,20545.041968064605,20545.041968064605,65536.0,65536.0,23944.89235654539,65536.0,39038.86613920652,9369.492806415708,14458.975951528024,14458.975951528024,14458.975951528024,65536.0,65536.0,16851.68748361234,65536.0,17823.081972056993,4277.615621592935,6601.204391408641,6601.204391408641,6601.204391408641,65536.0,65536.0,7693.589902261288,65536.0,65536.0,16107.182455237864,24856.56322909094,24856.56322909094,24856.56322909094,65536.0,65536.0,28969.89727092497
Frequencies predict de-grid8,,,,,,,,,,65536.0,20921.93658050782,20921.93658050782,18080.76052947859,18080.76052947859,45201.07737624433,65536.0,65536.0,52681.09867435777,65536.0,13313.296303445573,13313.296303445573,9861.781326708258,24653.988368231738,24653.988368231738,65536.0,65536.0,28733.8088344391,65536.0,46846.5959631601,11243.34796445438,17350.727738383684,17350.727738383684,17350.727738383684,65536.0,65536.0,20221.98157672374,65536.0,21387.67837986553,5133.118759595582,7921.425283300245,7921.425283300245,7921.425283300245,65536.0,65536.0,9232.287896301332,65536.0,65536.0,19328.54537663272,29827.802305074,29827.802305074,29827.802305074,65536.0,65536.0,34763.803155122936
Frequencies predict de-grid9,,,,,,,,,,65536.0,25571.133754518924,25571.133754518924,22098.585247986757,22098.585247986757,55245.639170555,65536.0,65536.0,64387.887423621025,65536.0,16271.737711798904,16271.737711798904,12053.219407200913,30132.583568244918,30132.583568244918,65536.0,65536.0,35119.03080474535,65536.0,57256.90239558261,13741.821508373107,21206.396787594203,21206.396787594203,21206.396787594203,65536.0,65536.0,24715.707034426418,65536.0,26140.473590702884,6273.789610246891,9681.719805811686,9681.719805811686,9681.719805811686,65536.0,65536.0,11283.885221562772,65536.0,65536.0,23623.695938386394,36456.12107261481,36456.12107261481,36456.12107261481,65536.0,65536.0,42489.01100007879
Frequencies predict de-grid10,,,,,,,,,,65536.0,30220.330928199935,30220.330928199935,26116.409966266117,26116.409966266117,65290.200964363954,65536.0,65536.0,65536.0,65536.0,19230.1791200106,19230.1791200106,14244.657487563067,35611.17876840851,35611.17876840851,65536.0,65536.0,41504.25277471908,65536.0,65536.0,16240.295052214517,25062.065836560167,25062.065836560167,25062.065836560167,65536.0,65536.0,29209.432492013344,65536.0,30893.26880043359,7414.460460822171,11442.014328212696,11442.014328212696,11442.014328212696,65536.0,65536.0,13335.48254691276,65536.0,65536.0,27918.846499861975,43084.43984028982,43084.43984028982,43084.43984028982,65536.0,65536.0,50214.21884546187
Frequencies predict de-grid11,,,,,,,,,,65536.0,34869.52810182881,34869.52810182881,30134.234684264968,30134.234684264968,65536.0,65536.0,65536.0,65536.0,65536.0,22188.620528023996,22188.620528023996,16436.095567779656,41089.773967896894,41089.773967896894,65536.0,65536.0,47889.47474523953,65536.0,65536.0,18738.76859601465,28917.734885444417,28917.734885444417,28917.734885444417,65536.0,65536.0,33703.157949091255,65536.0,35646.06401075511,8555.131311379297,13202.3088507373,13202.3088507373,13202.3088507373,65536.0,65536.0,15387.079872106855,65536.0,65536.0,32213.99706127872,49712.75860750632,49712.75860750632,49712.75860750632,65536.0,65536.0,57939.42669078791
Frequencies total,65536.0,40188.588316266854,40188.588316266854,14885.274922420835,14885.274922420835,14885.274922420835,65536.0,65536.0,26037.867607994198,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,41089.773967896894,41089.773967896894,41089.773967896894,65536.0,65536.0,47889.47474523953,65536.0,65536.0,65536.0,28917.73488544442,28917.73488544442,28917.73488544442,65536.0,65536.0,33703.15794909126,65536.0,35646.06401075511,35646.06401075511,13202.3088507373,13202.3088507373,13202.3088507373,65536.0,65536.0,15387.079872106855,65536.0,65536.0,65536.0,49712.75860750633,49712.75860750633,49712.75860750633,65536.0,65536.0,57939.42669078791
Frequencies backward kernels0,1542.0248846599302,293.68034326450345,293.6803431137184,293.5586709519856,294.11858889520704,294.11858875308957,581.5247790746704,2996.239803783305,568.3766995122635,1653.6895352808203,249.72013811674407,249.72013841298937,248.85425581636883,248.9743332220141,253.87473575365632,562.5124790788361,3013.2055638820098,320.9447391063214,477.6494769664614,140.8723080247451,140.8723082420349,140.30735143561694,141.5414784835756,141.39148586120294,294.42949235116095,870.2058997004478,181.06580428946253,142.05961516019846,101.45531847828732,98.4205527437796,98.34674788453322,98.51413142714179,98.32854378161892,191.1232944492107,258.7088267152041,126.76079324381075,51.85481874048063,46.65191613566768,45.3117573700948,45.27908195319938,45.35304463825306,45.27103337206914,85.83101055283193,94.41728663017996,58.37042676227166,233.51921025218118,170.71005749148986,166.55757698930725,166.50110993819243,166.70760327086157,166.48051210886263,322.9923071484496,425.2593842891853,214.8627280819143
Frequencies backward kernels1,2589.0440271258344,295.1803650828095,295.18036465773866,294.8372538925699,296.4143060012112,296.4143056015513,605.0570623450412,5031.279103104012,568.9292759033625,2244.38063605269,251.24838044007896,251.2483809817185,249.66316396317958,249.88324231333442,258.79694044251465,641.4655431230295,4089.6715105142057,321.1775679609643,637.1551995094678,141.69879577696062,141.69879617433492,140.66405233705083,142.92035947179932,142.64693267101964,324.15803395871865,1160.8865431233971,181.0986895150543,170.65343496759726,104.32155879352402,98.82628976609853,98.69106368778286,98.99763669394454,98.65769834740328,201.2791651382687,310.81772073171675,126.76322321000433,56.92631317749319,47.91937352712779,45.49118808313148,45.43131172313373,45.566799252209094,45.416558117309684,88.84430998549709,103.65948929180907,58.37075511939606,278.0293070628458,174.56672477958492,167.02222083805145,166.91865449230832,167.2972596874081,166.88086964225053,339.48073054594306,506.37382987994,214.8663821777743
Frequencies backward kernels2,4398.317559003407,299.39140349684806,299.39140230855014,298.4312974687412,302.8290645192212,302.8290634096181,667.3926523132541,8547.874674455388,573.3418467740167,2794.006289684675,253.04832653908227,253.04832736798534,250.6186190565687,250.9563916763249,264.51725740277345,724.2098833618494,5091.300455542433,321.63094464022424,786.549486713369,142.67247135461065,142.67247196289514,141.085666772274,144.53845419710396,144.12146635153692,356.26820502387693,1433.1402785373002,181.16275284055416,199.4030734849952,107.62352184651637,99.30511947405786,99.09765758998958,99.56779725566426,99.04644756086985,212.70752357949652,363.21058294614414,126.76795654369104,62.417750948535634,49.38105556175928,45.702977078764576,45.611100680774285,45.81891276647264,45.5884531335906,92.29283846006915,113.66699066569934,58.37139467467777,323.08880488479275,179.03448000018386,167.57129010635614,167.41220157694005,167.99354540355216,167.35414829944796,358.07059221578476,588.489505601063,214.87349993375022
Frequencies backward kernels3,7532.618127481135,311.02774167564917,311.02773842925853,308.39807786205904,320.3363013573616,320.3363013573616,819.2124673281857,14639.85991138596,607.656367027984,3814.4821658632754,257.3028997760062,257.30290127636874,252.8888817442551,253.50444866474513,277.7321533612513,892.0250836581347,6950.999276454101,323.4898038917681,1064.4966425658906,144.97502607941226,144.97502718116365,142.08875874750393,148.33843442827998,147.58961100039747,423.47337512291864,1939.6666939783506,181.42596454196993,255.59137742441712,115.14579437216103,100.44106139065666,100.06332666685552,100.91847011939255,99.96999367991684,237.86769259836817,465.6072228139999,126.78740920165475,73.94326101923939,52.71644941969531,46.20555945506726,46.038211496613116,46.41636519363927,45.99692073610408,100.07025209593706,134.6708843708672,58.37402281394203,411.65304648565717,189.30252859565888,168.87703194219898,168.58650698669226,169.64712995934212,168.48043868372605,399.10476437143615,749.887517634557,214.9027516495355
Frequencies backward kernels4,13002.718680303446,350.073787451184,350.073787451184,339.0278924205873,471.0493394801615,471.0493394801615,1146.673375504272,25271.824280687648,834.6428404131265,5668.007878000282,267.77968726741705,267.77969037838216,258.54899463314746,259.8459414601199,308.72325439369223,1219.2934484643092,10328.834728887183,332.9430346251011,1568.4788802640078,150.65104950022814,150.65105178801966,144.59751238357003,157.55969987161464,156.03421152835244,559.1669573883961,2858.115810418163,182.78034482061048,361.35875968351434,132.32848377760098,103.26230727150639,102.46822496329963,104.26163507586105,102.27154845027096,292.20063913553633,658.3559772006284,126.88779493556193,97.29173778525347,60.35816244712615,47.45466879412271,47.102539284032225,47.8964117201193,47.015455441634714,117.52463634370241,177.22075936159686,58.38758544413698,579.2096129832075,213.14304030270804,172.13911594842986,171.52392215024244,173.76455625085083,171.29904601136826,488.06867515040926,1055.2398706827228,215.05370784657586
Frequencies backward kernels5,,,,,,,,,,7374.03936970878,280.126183256616,280.1261881942721,265.34056417349905,267.43502513004864,343.05298397128485,1530.141321350035,13437.87909063414,353.1415823259769,2030.3825852105663,157.35010714414588,157.35011078087507,147.62218930223125,168.21157135075268,165.83298881275948,690.930396359927,3699.881691550796,185.76512484910464,459.8426322203661,150.8261732956719,106.62827012634651,105.34907926260358,108.23052430779586,105.03140577179711,347.705790958838,837.8313915905277,127.11108348482301,120.0149962673106,68.61031402806852,48.94651476786574,48.378680916527756,49.655611793534234,48.237888381108874,135.9863016468962,218.63125210765725,58.417768034248624,735.6452585736696,239.2575801335268,176.06542471369855,175.06625166371282,178.69569679495856,174.70050326042903,579.2578640625861,1340.3256555048386,215.3895132367963
Frequencies backward kernels6,,,,,,,,,,10532.224216675766,308.3461886266385,308.3461974964004,281.30992326539626,285.2022660219353,415.56479386758383,2110.6078317542806,19193.304384496867,433.4849908184258,2880.277013114936,172.6964954027797,172.6965019543917,154.7917279360552,191.88046087408006,187.73963162775743,940.2443643458481,5248.715629467695,198.78195176314279,641.8216909715854,188.76875680390543,114.46963095442437,112.10446497187942,117.40428593593072,111.51388381669051,456.5190631166311,1169.4670907209324,128.12012201168568,163.07141116363067,85.588268897503,52.42778063410473,51.375663542347816,53.72958984441736,51.11340052323874,173.24057661292986,297.09656118204333,58.5545405954349,1025.0898507348354,293.76232874573,185.34552416088235,183.46620359018257,190.25435112059594,182.77618958982805,758.4954374960984,1867.8048055535462,216.90772303582705
Frequencies backward kernels7,,,,,,,,,,13480.283788952602,339.3010423869792,339.3010552622696,299.44506625616117,305.26659053681396,489.0892432329518,2650.649682459019,24565.800757938705,565.3823411269022,3668.1814722725726,189.57416750449718,189.5741770374159,163.02077818282123,217.05505812294737,211.18910893318875,1173.9029109533624,6684.580047661451,223.42910514562718,810.2506060619802,226.3295032930961,123.26968107751888,119.74894954122936,127.60103708694574,118.86535576305586,560.7790889557674,1476.409231705999,130.18767983115583,203.4573500174508,102.43501223549922,56.342916689247474,54.77370088125937,58.268310300345746,54.38058404242696,209.6663177024585,370.6952418082759,58.83693660152683,1293.1397002569497,348.47478817025814,195.95626222815417,193.11275744279172,203.3277507438141,192.0655912277707,930.5340330803057,2356.2945309566867,220.02242511280556
Frequencies backward kernels8,,,,,,,,,,15598.826171491737,363.4809315695816,363.48094740109536,313.99123630158886,321.287994827928,608.3587544370397,3036.1502764918787,28426.59834025773,692.1474329256977,4231.545704343195,202.7827690318511,202.78278077064604,169.6797088410911,236.310870918004,229.20040545734304,1341.1607891319388,7711.24596695844,249.96349582703067,930.2882700105453,253.8983584952155,130.2621187540578,125.86312108490971,135.64385734376756,124.75536575500998,636.117115948368,1695.1639377638774,132.63528170340362,232.37595802553636,114.81505318690913,59.4589751622735,57.49576130982084,61.854517526249396,57.00228917696696,236.23820848133337,423.3960455988922,59.175069456976196,1484.2025927121103,388.9243633729641,204.5149076336155,200.92232575268952,213.7798704276647,199.59649450418027,1054.9470389219205,2704.4844692194742,223.71625308711026
Frequencies backward kernels9,,,,,,,,,,18332.355043670676,396.38189672494445,396.3819163899712,334.2342217374214,343.4951451286303,792.8537967478344,3529.9230703529515,33408.137415783196,890.8904083609574,4955.331951641294,220.78277001068807,220.7827846148841,179.0214136779045,262.0901661337351,253.3888049189903,1555.6880845422877,9030.262388146228,295.31337461164065,1083.9574207010946,289.7818180485651,139.91291112370988,134.35023080418043,146.6751582578958,132.94391999915226,733.2543468460868,1975.208124790044,137.31605111753885,269.47371673799046,130.94101425814887,63.76581706772778,61.27953040727669,66.78044690679349,60.65212770475143,270.69271458331883,491.002402239371,59.83323634343185,1728.798315029152,441.8165255796933,216.48609146748507,211.8829430512778,228.283373189166,210.179775342858,1215.4329382886608,3150.2317763552037,230.7992898252916
Frequencies backward kernels10,,,,,,,,,,20984.231793182873,429.6199630628072,429.61998642611036,355.12861482468713,366.3265648240321,1001.8405729214155,4004.9978065597234,38240.87497561911,1117.9350945725434,5654.479484285406,238.99259364089738,238.99261101308343,188.74268807377717,305.8570293840345,305.8570293840345,1762.25891013935,10304.377612220242,350.6504186691082,1231.7964345645505,324.70610124617787,149.79376729863603,143.08839096142566,157.90227171167095,141.38756253641085,827.1299744819297,2244.627565012232,143.79737652531196,305.199528373227,146.64502903886628,68.18141669731189,65.18059694262229,71.80073929858366,64.42083493188514,304.12949667802906,556.1085452495962,60.769008241548065,1964.101566517467,493.47904588457607,228.90588394561513,223.2939529595376,243.2106811526695,221.2127820620341,1370.581815702422,3579.0446355201443,240.64489972425974
Frequencies backward kernels11,,,,,,,,,,23570.993753474908,462.91974862186333,462.91977555249196,389.9023918392926,389.9023918392926,1232.1685520772814,4464.774204786868,42954.9483909275,1369.302866892395,6333.876974677991,257.25636447704915,257.2563845214695,198.7258174353676,365.6193648027837,365.6193648027837,1962.2515178269944,11542.500677047814,414.5082373488821,1374.9061185830358,358.75098344015237,159.80052524896564,151.97946409312271,169.2169773667151,149.99010402233756,918.2165938421579,2505.4283510725713,152.1903066598548,339.78972696741937,161.95962957875616,72.65841187047589,69.154578844344,76.86587836305642,68.26496963594319,336.6612550964904,619.1451657356973,62.021216213055126,2191.858115983332,570.9693834431505,241.62625590191413,235.0169103511522,258.39472159914453,232.5609325120816,1521.1532969970324,3994.104507166983,253.45240403612777
Frequencies backward grid0,65536.0,603.7866629970722,603.7866629970722,559.1337152950158,931.2414905129898,931.2414905129898,65536.0,65536.0,1628.2786778496668,65536.0,1162.8485129365304,1162.8485129365304,1005.0053854489457,1005.0053854489457,2511.6897145573553,65536.0,65536.0,2927.246459022404,65536.0,739.9202789596652,739.9202789596652,548.1694318247697,1369.9587468457216,1369.9587468457216,65536.0,65536.0,1596.6154427183094,65536.0,2602.7936212227987,624.8353800384707,964.1342651844309,964.1342651844309,964.1342651844309,65536.0,65536.0,1123.6483696216517,65536.0,1188.2987327509875,285.2676338925193,440.17355597011345,440.17355597011345,440.17355597011345,65536.0,65536.0,512.9992577598294,65536.0,4474.4830112811205,1074.1554517174807,1657.447518022577,1657.447518022577,1657.447518022577,65536.0,65536.0,1931.6697913193286
Frequencies backward grid1,65536.0,1206.6011546294023,1206.6011546294023,1117.2953217949262,1861.5105341316757,1861.5105341316757,65536.0,65536.0,3255.584691283069,65536.0,1743.998188401229,1743.998188401229,1507.2335084877068,1507.2335084877068,3767.259952131288,65536.0,65536.0,4390.595064095621,65536.0,1109.7254693717287,1109.7254693717287,822.0992112836918,2054.7831546141115,2054.7831546141115,65536.0,65536.0,2394.7681956579695,65536.0,3904.0819272403155,937.1445813732993,1446.0929017246065,1446.0929017246065,1446.0929017246065,65536.0,65536.0,1685.3640564542193,65536.0,1782.3981349931155,427.85149409557937,660.2103737905189,660.2103737905189,660.2103737905189,65536.0,65536.0,769.4489255803708,65536.0,6711.540598618702,1611.049285867178,2485.9873730119093,2485.9873730119093,2485.9873730119093,65536.0,65536.0,2897.3207797379746
Frequencies backward grid2,65536.0,2412.2297464079625,2412.2297464079625,2233.6181120846836,3722.048367432926,3722.048367432926,65536.0,65536.0,6510.1965728741225,65536.0,2325.1478494585263,2325.1478494585263,2009.4616148571042,2009.4616148571042,5022.83018303477,65536.0,65536.0,5853.943663441757,65536.0,1479.5306525735034,1479.5306525735034,1096.0289810115794,2739.607558487833,2739.607558487833,65536.0,65536.0,3192.9209452546934,65536.0,5205.370232252657,1249.4537785218913,1928.0515355533043,1928.0515355533043,1928.0515355533043,65536.0,65536.0,2247.0797409596876,65536.0,2376.4975367707475,570.4353523546921,880.2471903509299,880.2471903509299,880.2471903509299,65536.0,65536.0,1025.8985923202388,65536.0,8948.598184297494,2147.943113021092,3314.5272234667896,3314.5272234667896,3314.5272234667896,65536.0,65536.0,3862.9717642657424
Frequencies backward grid3,65536.0,4823.48673394533,4823.48673394533,4466.26348098825,7443.123906952532,7443.123906952532,65536.0,65536.0,13019.420263376436,65536.0,3487.4471571609083,3487.4471571609083,3013.917810920462,3013.917810920462,7533.970638170312,65536.0,65536.0,8780.640856407961,65536.0,2219.14101176475,2219.14101176475,1643.8885107326514,4109.256362339347,4109.256362339347,65536.0,65536.0,4789.226441112072,65536.0,7807.946841272109,1874.0721686334662,2891.968800495013,2891.968800495013,2891.968800495013,65536.0,65536.0,3370.5111076432245,65536.0,3564.696339861489,855.6030669285161,1320.3208222098451,1320.3208222098451,1320.3208222098451,65536.0,65536.0,1538.7979247168228,65536.0,13422.713353947864,3221.730760331539,4971.606919841428,4971.606919841428,4971.606919841428,65536.0,65536.0,5794.273729429907
