,max_LOW_continuum [blcoal] [spbf],max_LOW_spectral [blcoal] [spbf],max_MID_continuum [blcoal] [spbf],max_MID_spectral [blcoal] [spbf],max_Band5_MID_continuum [blcoal] [spbf],max_Band5_MID_spectral [blcoal] [spbf],01ICAL [blcoal] [spbf],01DPrepA [blcoal] [spbf],01DPrepB [blcoal] [spbf],01DPrepC [blcoal] [spbf],02AICAL [blcoal] [spbf],02ADPrepA [blcoal] [spbf],02ADPrepB [blcoal] [spbf],02ADPrepC [blcoal] [spbf],02BICAL [blcoal] [spbf],02BDPrepA [blcoal] [spbf],02BDPrepB [blcoal] [spbf],02BDPrepC [blcoal] [spbf],13ICAL [Bmax=40000] [blcoal] [spbf],13DPrepA [Bmax=40000] [blcoal] [spbf],13DPrepB [Bmax=40000] [blcoal] [spbf],13DPrepC [Bmax=40000] [blcoal] [spbf],14ICAL [Bmax=25000] [blcoal] [spbf],14DPrepA [Bmax=25000] [blcoal] [spbf],14DPrepB [Bmax=25000] [blcoal] [spbf],14DPrepC [Bmax=25000] [blcoal] [spbf],15ICAL [Bmax=15000] [blcoal] [spbf],15DPrepA [Bmax=15000] [blcoal] [spbf],15DPrepB [Bmax=15000] [blcoal] [spbf],15DPrepC [Bmax=15000] [blcoal] [spbf],22ICAL [blcoal] [spbf],22DPrepA [blcoal] [spbf],22DPrepB [blcoal] [spbf],27ICAL [Bmax=50000] [blcoal] [spbf],27DPrepA [Bmax=50000] [blcoal] [spbf],27DPrepB [Bmax=50000] [blcoal] [spbf],32ICAL [Bmax=20000] [blcoal] [spbf],32DPrepB [Bmax=20000] [blcoal] [spbf],37aICAL [blcoal] [spbf],37aDPrepA [blcoal] [spbf],37aDPrepB [blcoal] [spbf],37bICAL [blcoal] [spbf],37bDPrepA [blcoal] [spbf],37bDPrepB [blcoal] [spbf],37cICAL [Bmax=95000] [blcoal] [spbf],37cDPrepA [Bmax=95000] [blcoal] [spbf],37cDPrepB [Bmax=95000] [blcoal] [spbf],38aICAL [blcoal] [spbf],38aDPrepA [blcoal] [spbf],38aDPrepB [blcoal] [spbf],38bICAL [blcoal] [spbf],38bDPrepA [blcoal] [spbf],38bDPrepB [blcoal] [spbf]
"Channels predict, no-smear8",,,18080.76052947859,12356.456665854836,18626.047831869946,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,8692.300770509128,8692.300770509128,10058.192057312433,8692.300770509128,8692.300770509128,11734.513181907203,8692.300770509128,21730.353960832246,9800.776277769013,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
"Channels predict, no-smear9",,,22098.585247986757,15102.21386022389,22765.118170239723,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,10623.864206351685,10623.864206351685,12293.286890062791,10623.864206351685,10623.864206351685,12386.41584142446,9175.19162948914,22937.581107860868,11978.676341888648,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
"Channels predict, no-smear10",,,26116.409966266117,17847.97105410027,26904.188508167405,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,12555.427642058461,12555.427642058461,14528.381722726019,12555.427642058461,12555.427642058461,,,,14156.576405879654,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
"Channels predict, no-smear11",,,30134.234684264968,20593.728247660394,31043.258846574812,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,14486.991077609053,14486.991077609053,16763.476555282203,14486.991077609053,14486.991077609053,,,,16334.476469786141,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
"Channels backward, no-smear0",559.1337152950158,1809.0904657256951,1005.0053854489457,686.9884579530388,1034.9988790363216,1885.9751150023908,429.9899422466631,398.1901223156782,398.1901223156782,258.2245364860781,358.44033998018244,398.1901223156782,398.1901223156782,258.2245364860781,358.44033998018244,398.1901223156782,398.1901223156782,258.2245364860781,217.69161204396846,161.27694549614694,403.0540788670101,176.3364953292907,268.53441733997994,198.9432998193914,198.9432998193914,83.81018894576124,286.6062635725801,238.85374289707516,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,357.823426121423,894.2545468709208,894.2545468709208,1507.2335084877068,2511.6897145573553,652.167937578682,483.15612439994436,483.15612439994436,559.0389802377872,483.15612439994436,483.15612439994436,652.167937578682,483.15612439994436,1207.4924417886202,544.700977250144,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels backward, no-smear1",1117.2953217949262,3617.208237988821,1507.2335084877068,1030.2081558361895,1552.3826770323226,2828.8470245059593,859.2872958419088,795.6877005716108,795.6877005716108,515.7568556757159,716.1882027630096,795.6877005716108,795.6877005716108,515.7568556757159,716.1882027630096,795.6877005716108,795.6877005716108,515.7568556757159,326.49132165556017,241.8693256283889,604.5350169007022,264.4586491276017,402.7458529975174,298.3591812197435,298.3591812197435,125.69676097570242,429.86382302328974,358.2350436199255,596.9976404288616,38.494609457539404,386.88655543856316,596.9976404288616,596.9976404288616,536.6338048065327,1341.280466795748,1341.280466795748,2260.575665262745,3767.259952131288,978.1192792840136,724.6015700009231,724.6015700009231,838.4258482659727,724.6015700009231,724.6015700009231,978.1192792840136,724.6015700009231,1811.1060218133737,816.9384956364858,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
"Channels backward, no-smear2",2233.6181120846836,7233.443651746777,2009.4616148571042,1373.4278293411337,2069.7664721575957,3771.7189324319356,1717.881724030251,1590.6825558293533,1590.6825558293533,1030.8210298411964,1431.683593715042,1590.6825558293533,1590.6825558293533,1030.8210298411964,1431.683593715042,1590.6825558293533,1590.6825558293533,1030.8210298411964,435.2910290982149,322.4617028333052,806.0159537629055,352.58080024853393,536.9572860809892,397.7750591462314,397.7750591462314,167.5833320959154,573.1213808637368,477.6163424109698,795.9664696855765,51.32497229224026,515.818357835032,795.9664696855765,795.9664696855765,715.4441771146105,1788.3063841681017,1788.3063841681017,3013.917810920462,5022.83018303477,1304.070614995905,966.0470075132783,966.0470075132783,1117.8127093029952,966.0470075132783,966.0470075132783,1304.070614995905,966.0470075132783,2414.7195985996987,1089.1760088165274,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
"Channels backward, no-smear3",4466.26348098825,14465.914413852615,3013.917810920462,2059.86715195982,3104.5340595364714,5657.462746707873,3435.07044070933,3180.6721154882,3180.6721154882,2060.949145519562,2862.67420802834,3180.6721154882,3180.6721154882,2060.949145519562,2862.67420802834,3180.6721154882,3180.6721154882,2060.949145519562,652.8904418135188,483.6464543146965,1208.9778263156445,528.8250998120863,805.3801496725802,596.6068115237296,596.6068115237296,251.35647342651336,859.6364949340269,716.3789380602059,1193.9041270392163,76.98569793480485,773.6819608386259,1193.9041270392163,1193.9041270392163,1073.0649153513252,2682.3582163564483,2682.3582163564483,4520.602091119545,7533.970638170312,1955.9732804231985,1448.937874446404,1448.937874446404,1676.58642438262,1448.937874446404,1448.937874446404,1955.9732804231985,1448.937874446404,3621.9467489340564,1633.6510299688712,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
"Channels backward, no-smear4",8931.554112875032,28930.855905350065,5022.83018303477,3432.745767915875,5174.069230853,9428.950373368421,6869.447804173029,6360.65115931682,6360.65115931682,4121.205260413133,5724.655352792174,6360.65115931682,6360.65115931682,4121.205260413133,5724.655352792174,6360.65115931682,6360.65115931682,4121.205260413133,1088.0892646396737,806.0159537629055,2014.9015700148148,881.3136957236542,1342.225873765601,994.2703121075014,994.2703121075014,418.90275499589205,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,1788.3063841681017,4470.461877672626,4470.461877672626,6027.28636575605,10045.11108995104,3259.7786040836563,2414.7195985996987,2414.7195985996987,2794.133846147517,2414.7195985996987,2414.7195985996987,3259.7786040836563,2414.7195985996987,6036.401045713372,2722.601066020032,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
"Channels backward, no-smear5",,,7031.742547520076,4805.624372714222,7243.604400849842,13200.437999296486,,,,,,,,,,,,,1523.288086473978,1128.3854518718204,2820.825313173438,1233.802290410372,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,2503.547850066781,6258.565537827592,6258.565537827592,,,4563.583925007532,3380.5013190529257,3380.5013190529257,3911.681264714464,3380.5013190529257,3380.5013190529257,4563.583925007532,3380.5013190529257,8450.855341013887,3811.551099692947,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
"Channels backward, no-smear6",,,11049.567270263373,7551.381573183239,11382.674739763022,20743.413250674002,,,,,,,,,,,,,1740.887497252959,1289.570200737334,3223.787184677295,1410.0465875824484,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,3576.4100472733885,8940.721027388057,8940.721027388057,,,7171.194564597031,5312.06475692582,5312.06475692582,6146.776099231232,5312.06475692582,5312.06475692582,7171.194564597031,5312.06475692582,13279.763930416846,5989.451165093498,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
"Channels backward, no-smear7",,,15067.391990198219,10297.138769598103,15521.745078190484,28286.38850162736,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,7243.628193459831,7243.628193459831,8381.87093257496,7243.628193459831,7243.628193459831,9778.805203194423,7243.628193459831,18108.672519208772,8167.351229610696,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
"Channels backward, no-smear8",,,18080.76052947859,12356.456665854836,18626.047831869946,33943.619939647484,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,8692.300770509128,8692.300770509128,10058.192057312433,8692.300770509128,8692.300770509128,11734.513181907203,8692.300770509128,21730.353960832246,9800.776277769013,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
"Channels backward, no-smear9",,,22098.585247986757,15102.21386022389,22765.118170239723,41486.595190876724,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,10623.864206351685,10623.864206351685,12293.286890062791,10623.864206351685,10623.864206351685,12386.41584142446,9175.19162948914,22937.581107860868,11978.676341888648,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
"Channels backward, no-smear10",,,26116.409966266117,17847.97105410027,26904.188508167405,49029.57044203559,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,12555.427642058461,12555.427642058461,14528.381722726019,12555.427642058461,12555.427642058461,,,,14156.576405879654,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
"Channels backward, no-smear11",,,30134.234684264968,20593.728247660394,31043.258846574812,56572.54569243952,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,14486.991077609053,14486.991077609053,16763.476555282203,14486.991077609053,14486.991077609053,,,,16334.476469786141,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies predict ifft,200,200,200,200,200,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,200,40,200,200,40,200,40,200,200,40,200,200,40,200,200,40,200,200,40,200,200,40
Frequencies predict kernels0,293.53493646024,582.1367436454107,248.92863006025703,456.745772064951,104.68244950243287,199.95715529708355,209.4260950912369,209.08901928141788,208.95887034926022,407.789988421676,209.0935484093082,209.08901928141788,208.95887034926022,407.789988421676,209.0935484093082,209.08901928141788,208.95887034926022,407.789988421676,42.97470517479416,42.15270061678312,42.63717371411527,82.0345966448745,51.468344496243496,50.79263549086467,50.774082560828255,40.0,42.69312037642156,41.71382503261249,41.77666109259015,40.0,41.396307066156865,41.32314860200226,41.315436061946386,91.96357878254226,92.94619800649178,92.509858560415,251.8104521746622,251.09564522484317,120.99977654393284,120.36917609308668,120.17042341550922,120.83428627867374,120.36917609308668,120.17042341550922,120.68349088910392,120.1981766024002,120.74390775715754,102.34351616625688,102.45120129304195,102.30082328981473,102.44419965566179,102.45120129304195,102.30082328981473
Frequencies predict kernels1,294.7702972723716,606.725150001468,249.7994866355258,461.2727110404859,104.93169193164131,207.9292426646281,210.86535805752152,209.91539246541686,209.54795154484532,413.1020327491759,209.92817287153053,209.91539246541686,209.54795154484532,413.1020327491759,209.92817287153053,209.91539246541686,209.54795154484532,413.1020327491759,44.08554274958129,42.599759029798975,43.478038075486566,86.96246359736678,52.389701101061505,51.16176749558463,51.12787742713221,40.0,43.95706674408745,42.19087621220143,42.305128382723,40.0,41.61153434567287,41.47757222230931,41.463439287392674,92.36105849352039,94.15334667530242,93.3592566780193,255.05810502608136,253.75804471152404,122.05621707944539,120.90376252927737,120.53958818766651,121.75421781710281,120.90376252927737,120.53958818766651,121.47876047532495,120.59046713469569,121.5891551551987,102.64401463646152,102.84139398844485,102.56571934668082,102.8285651433649,102.84139398844485,102.56571934668082
Frequencies predict kernels2,298.24372134081756,671.6834062145967,250.82786199775015,466.5841431647545,105.22633816068826,217.01151022600823,214.89350059241409,212.23990027815438,211.20817206999018,427.81245741644125,212.27573244545317,212.23990027815438,211.20817206999018,427.81245741644125,212.27573244545317,212.23990027815438,211.20817206999018,427.81245741644125,45.3682642133152,43.12391646325582,44.45492003535197,92.47311941955012,53.462043661738655,51.596023755583914,51.54421658279757,40.0,45.41123584020358,42.7497291402871,42.9234550732257,40.0,41.86526126306508,41.65988467666641,41.638198566667754,92.83005012045084,95.56527452389919,94.35657709730211,258.8570323172781,256.8796056881783,123.2972023251718,121.53445332888089,120.97570960258165,122.83607053134699,121.53445332888089,120.97570960258165,122.41497619646387,121.05382151722588,122.58379396939401,102.99906270039084,103.3020226330837,102.87880772736045,103.2823401310212,103.3020226330837,102.87880772736045
Frequencies predict kernels3,307.8827420656912,829.1397665055792,253.27028680424178,479.0541427534319,105.92755627738117,237.35778118749914,225.9337525817688,218.69848286569578,215.8462630421374,467.0720871798249,218.79713666044967,218.69848286569578,215.8462630421374,467.0720871798249,218.79713666044967,218.69848286569578,215.8462630421374,467.0720871798249,48.30124788594744,44.35298880485823,46.7104546473454,104.50337314941258,55.94540532548975,52.62035915694195,52.52681867440818,40.0,48.71724240745992,44.058251398095,44.368181032137855,40.0,42.466005013829026,42.09269426294046,42.053194035161965,93.94224765959058,98.86233246333694,96.7010408724368,267.7294668325302,264.1992415052395,126.21680585805376,123.02979007307115,122.01231745799971,125.38638769459843,123.02979007307115,122.01231745799971,124.6260489911826,122.1547742738432,124.93110436110894,103.8431777129003,104.3954117356571,103.62363424033943,104.35957207155809,104.3954117356571,103.62363424033943
Frequencies predict kernels4,339.0278924205873,1166.8741863419887,259.35296176189985,509.2958288527277,107.68258314233955,282.5108004768207,254.70433123912477,245.87976264831133,245.87976264831133,564.002532873752,236.33470779788615,245.87976264831133,245.87976264831133,564.002532873752,236.33470779788615,245.87976264831133,245.87976264831133,564.002532873752,55.04611101256845,47.325598730792294,51.994405135297654,130.1636084779699,61.797628266220514,55.13078191204369,54.93792913578449,47.8217903588931,,,,,43.951102005353654,43.16944311375487,43.08632722745641,96.70212146088268,106.76588232120851,102.40276321399608,277.89118799393907,272.62959873879635,133.32994989879234,126.73849085767932,124.59878538111234,131.6278372840934,126.73849085767932,124.59878538111234,130.06008871788288,124.89945830212982,130.69017068659036,105.95062289287185,107.11470365973128,105.48606871971398,107.03934635691083,107.11470365973128,105.48606871971398
Frequencies predict kernels5,,,266.63959126354115,544.2007171663538,109.80087404031028,329.7653862598773,,,,,,,,,,,,,62.358369777607095,50.744421420064945,57.84046455574399,156.11140857995971,,,,,,,,,45.710984365600105,44.45729829480644,44.32326772253123,99.99065829282273,115.75328498211822,109.00825467431234,,,141.59028086580014,131.154261184832,127.70599101677209,138.9202610476234,131.154261184832,127.70599101677209,136.44626457147993,128.19251616246325,137.44231967322224,108.48467571224009,110.36562005609737,107.73078860273853,110.24420144958512,110.36562005609737,107.73078860273853
Frequencies predict kernels6,,,283.72667120830397,621.6760877151866,114.83151017761003,424.2415769146899,,,,,,,,,,,,,66.10754113204125,52.56398580133758,60.8742371371741,168.94555930605935,,,,,,,,,49.76748916527159,47.469599246937655,47.221261284055736,105.61969175127965,130.31047787112306,119.92972882488722,,,160.07754596325364,141.4079985582733,135.02663335654373,155.38123852048997,141.4079985582733,135.02663335654373,150.98352496371842,135.93452421499433,152.75968555060606,114.4640966941328,117.96377569509893,113.04863232253547,117.73918655976144,117.96377569509893,113.04863232253547
Frequencies predict kernels7,,,303.0633424950394,703.9872787956153,120.6204380592764,515.998352103561,,,,,,,,,,,,,,,,,,,,,,,,,54.26128338217915,50.867374867864925,50.496991219398275,,,,,,179.8896011101567,152.86925448196948,143.36167561594524,173.18521356759862,152.86925448196948,143.36167561594524,166.8553543478676,144.72485379574593,169.41827248523484,121.28578282222371,126.52601554867184,119.14782956797335,126.19157718200786,126.52601554867184,119.14782956797335
Frequencies predict kernels8,,,318.5295485577735,766.9005568178846,125.31504835651941,582.7177151344482,,,,,,,,,,,,,,,,,,,,,,,,,57.79696531811066,53.57798656426379,53.11461797770366,,,,,,195.11862438402045,161.94805929807674,150.06133788848547,186.95597321670138,161.94805929807674,150.06133788848547,179.21221107321443,151.7744840712335,182.35225668898025,126.7780980131565,133.35144742030784,124.0802111948793,132.93348550285947,133.35144742030784,124.0802111948793
Frequencies predict kernels9,,,339.99881537582974,851.0823126028189,131.91447405528473,669.0608615913212,,,,,,,,,,,,,,,,,,,,,,,,,62.63631318290132,57.33208113049885,56.745274740483964,,,,,,215.58228736200707,174.44514447455725,159.40258910322032,205.5481987180756,174.44514447455725,159.40258910322032,183.38181400732873,154.18908504151332,191.32864756791398,134.4474717878729,142.7981296093621,130.99576052789536,142.26946703451506,142.7981296093621,130.99576052789536
Frequencies predict kernels10,,,362.10371146734695,934.8742096972317,138.79652738774072,752.7313831695541,,,,,,,,,,,,,,,,,,,,,,,,,67.55194344779801,61.18862279404397,60.480403716559834,,,,,,236.02571837791243,187.2075281903284,169.06281313553,224.19973416535137,187.2075281903284,169.06281313553,,,,142.3907419995358,152.49630389381844,138.1880138436481,151.85890977711927,152.49630389381844,138.1880138436481
Frequencies predict kernels11,,,389.9023918392926,1017.8725133981302,145.87716304461495,834.0587817668596,,,,,,,,,,,,,,,,,,,,,,,,,72.49810908604582,65.1052863618096,64.27838137018627,,,,,,256.33109883440244,200.10533488981957,178.92931657753806,242.7843016556704,200.10533488981957,178.92931657753806,,,,150.51424498128827,162.3403027111747,145.57012110033594,161.59672898699338,162.3403027111747,145.57012110033594
Frequencies predict de-grid0,559.1337152950158,65536.0,1005.0053854489457,65536.0,1034.9988790363216,65536.0,429.9899422466631,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,358.44033998018244,398.1901223156782,500.0,1500.0,217.69161204396846,161.27694549614694,500.0,3200.0,500.0,198.9432998193914,100.0,5000.0,500.0,238.85374289707516,398.02881001253394,2500.0,257.9547512531722,398.02881001253394,500.0,357.823426121423,894.2545468709208,894.2545468709208,1507.2335084877068,2511.6897145573553,652.167937578682,483.15612439994436,700.0,559.0389802377872,483.15612439994436,700.0,652.167937578682,483.15612439994436,1207.4924417886202,544.700977250144,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
Frequencies predict de-grid1,1117.2953217949262,65536.0,1507.2335084877068,65536.0,1552.3826770323226,65536.0,859.2872958419088,795.6877005716108,795.6877005716108,1500.0,716.1882027630096,795.6877005716108,795.6877005716108,1500.0,716.1882027630096,795.6877005716108,795.6877005716108,1500.0,326.49132165556017,241.8693256283889,604.5350169007022,3200.0,500.0,298.3591812197435,100.0,5000.0,500.0,358.2350436199255,596.9976404288616,2500.0,386.88655543856316,596.9976404288616,596.9976404288616,536.6338048065327,1341.280466795748,1341.280466795748,2260.575665262745,3767.259952131288,978.1192792840136,724.6015700009231,724.6015700009231,838.4258482659727,724.6015700009231,724.6015700009231,978.1192792840136,724.6015700009231,1811.1060218133737,816.9384956364858,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
Frequencies predict de-grid2,2233.6181120846836,65536.0,2009.4616148571042,65536.0,2069.7664721575957,65536.0,1717.881724030251,1590.6825558293533,1590.6825558293533,1500.0,1431.683593715042,1590.6825558293533,1590.6825558293533,1500.0,1431.683593715042,1590.6825558293533,1590.6825558293533,1500.0,435.2910290982149,322.4617028333052,806.0159537629055,3200.0,536.9572860809892,397.7750591462314,100.0,5000.0,573.1213808637368,477.6163424109698,795.9664696855765,2500.0,515.818357835032,795.9664696855765,795.9664696855765,715.4441771146105,1788.3063841681017,1788.3063841681017,3013.917810920462,5022.83018303477,1304.070614995905,966.0470075132783,966.0470075132783,1117.8127093029952,966.0470075132783,966.0470075132783,1304.070614995905,966.0470075132783,2414.7195985996987,1089.1760088165274,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
Frequencies predict de-grid3,4466.26348098825,65536.0,3013.917810920462,65536.0,3104.5340595364714,65536.0,3435.07044070933,3180.6721154882,3180.6721154882,2060.949145519562,2862.67420802834,3180.6721154882,3180.6721154882,2060.949145519562,2862.67420802834,3180.6721154882,3180.6721154882,2060.949145519562,652.8904418135188,483.6464543146965,1208.9778263156445,3200.0,805.3801496725802,596.6068115237296,100.0,5000.0,859.6364949340269,716.3789380602059,1193.9041270392163,2500.0,773.6819608386259,1193.9041270392163,1193.9041270392163,1073.0649153513252,2682.3582163564483,2682.3582163564483,4520.602091119545,7533.970638170312,1955.9732804231985,1448.937874446404,1448.937874446404,1676.58642438262,1448.937874446404,1448.937874446404,1955.9732804231985,1448.937874446404,3621.9467489340564,1633.6510299688712,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
Frequencies predict de-grid4,8931.554112875032,65536.0,5022.83018303477,65536.0,5174.069230853,65536.0,6869.447804173029,6360.65115931682,6360.65115931682,4121.205260413133,5724.655352792174,6360.65115931682,6360.65115931682,4121.205260413133,5724.655352792174,6360.65115931682,6360.65115931682,4121.205260413133,1088.0892646396737,806.0159537629055,2014.9015700148148,3200.0,1342.225873765601,994.2703121075014,100.0,5000.0,,,,,1289.4091646977774,1989.779440352671,1989.779440352671,1788.3063841681017,4470.461877672626,4470.461877672626,6027.28636575605,10045.11108995104,3259.7786040836563,2414.7195985996987,2414.7195985996987,2794.133846147517,2414.7195985996987,2414.7195985996987,3259.7786040836563,2414.7195985996987,6036.401045713372,2722.601066020032,5041.661321982965,5041.661321982965,3267.07608300433,5041.661321982965,5041.661321982965
Frequencies predict de-grid5,,,7031.742547520076,65536.0,7243.604400849842,65536.0,,,,,,,,,,,,,1523.288086473978,1128.3854518718204,2820.825313173438,3200.0,,,,,,,,,1805.136367739783,2785.654753143743,2785.654753143743,2503.547850066781,6258.565537827592,6258.565537827592,,,4563.583925007532,3380.5013190529257,3380.5013190529257,3911.681264714464,3380.5013190529257,3380.5013190529257,4563.583925007532,3380.5013190529257,8450.855341013887,3811.551099692947,7058.235456070325,7058.235456070325,4573.8161227602595,7058.235456070325,7058.235456070325
Frequencies predict de-grid6,,,11049.567270263373,65536.0,11382.674739763022,65536.0,,,,,,,,,,,,,1740.887497252959,1289.570200737334,3223.787184677295,3200.0,,,,,,,,,2836.590773151726,4377.4053782844685,4377.4053782844685,3576.4100472733885,8940.721027388057,8940.721027388057,,,7171.194564597031,5312.06475692582,5312.06475692582,6146.776099231232,5312.06475692582,5312.06475692582,7171.194564597031,5312.06475692582,13279.763930416846,5989.451165093498,11091.383723198613,11091.383723198613,7187.29620064201,11091.383723198613,11091.383723198613
Frequencies predict de-grid7,,,15067.391990198219,65536.0,15521.745078190484,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,3868.045178265424,5969.156003228102,5969.156003228102,,,,,,9778.805203194423,7243.628193459831,7243.628193459831,8381.87093257496,7243.628193459831,7243.628193459831,9778.805203194423,7243.628193459831,18108.672519208772,8167.351229610696,15124.531989867131,15124.531989867131,9800.776277769013,15124.531989867131,15124.531989867131
Frequencies predict de-grid8,,,18080.76052947859,65536.0,18626.047831869946,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,4641.6359820297885,7162.968971877786,7162.968971877786,,,,,,11734.513181907203,8692.300770509128,8692.300770509128,10058.192057312433,8692.300770509128,8692.300770509128,11734.513181907203,8692.300770509128,21730.353960832246,9800.776277769013,18149.39318963302,18149.39318963302,11760.88633545867,18149.39318963302,18149.39318963302
Frequencies predict de-grid9,,,22098.585247986757,65536.0,22765.118170239723,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,5673.090386989883,8754.719596739762,8754.719596739762,,,,,,14342.123819976441,10623.864206351685,10623.864206351685,12293.286890062791,10623.864206351685,10623.864206351685,12386.41584142446,9175.19162948914,22937.581107860868,11978.676341888648,22182.5414561377,22182.5414561377,14374.366412224357,22182.5414561377,22182.5414561377
Frequencies predict de-grid10,,,26116.409966266117,65536.0,26904.188508167405,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,6704.544791911086,10346.470221536132,10346.470221536132,,,,,,16949.734457906787,12555.427642058461,12555.427642058461,14528.381722726019,12555.427642058461,12555.427642058461,,,,14156.576405879654,26215.689722525978,26215.689722525978,16987.846488913263,26215.689722525978,26215.689722525978
Frequencies predict de-grid11,,,30134.234684264968,65536.0,31043.258846574812,65536.0,,,,,,,,,,,,,,,,,,,,,,,,,7735.999196790231,11938.220846287122,11938.220846287122,,,,,,19557.345095862493,14486.991077609053,14486.991077609053,16763.476555282203,14486.991077609053,14486.991077609053,,,,16334.476469786141,30248.837988860792,30248.837988860792,19601.326565676056,30248.837988860792,30248.837988860792
Frequencies total,14885.274922420835,65536.0,65536.0,65536.0,31043.258846574816,65536.0,28620.50430957373,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,19080.56725075056,10600.623194271158,10600.623194271158,20603.25389985791,8704.068635983613,3223.7871846772946,3223.7871846772946,5874.90211016006,4473.825921121464,2485.5084313703824,100.0,5000.0,2148.954502933313,1193.9041270392163,1193.9041270392163,2500.0,32233.041312942332,11938.220846287122,11938.220846287122,8940.721027388057,8940.721027388057,8940.721027388057,10045.111089951039,10045.111089951039,65190.5312565323,36217.0797262356,36217.0797262356,65536.0,36217.0797262356,36217.0797262356,41287.433744201386,22937.581107860868,22937.581107860868,54447.72758676212,30248.837988860792,30248.837988860792,65536.0,30248.837988860792,30248.837988860792
Frequencies backward kernels0,293.53493646024,582.1367436454107,248.92863006025703,456.745772064951,104.68244950243287,199.95715529708355,209.4260950912369,209.08901928141788,208.95887034926022,407.789988421676,209.0935484093082,209.08901928141788,208.95887034926022,407.789988421676,209.0935484093082,209.08901928141788,208.95887034926022,407.789988421676,42.97470517479416,42.15270061678312,42.63717371411527,82.0345966448745,51.468344496243496,50.79263549086467,50.774082560828255,40.0,42.69312037642156,41.71382503261249,41.77666109259015,40.0,41.396307066156865,41.32314860200226,41.315436061946386,91.96357878254226,92.94619800649178,92.509858560415,251.8104521746622,251.09564522484317,120.99977654393284,120.36917609308668,120.17042341550922,120.83428627867374,120.36917609308668,120.17042341550922,120.68349088910392,120.1981766024002,120.74390775715754,102.34351616625688,102.45120129304195,102.30082328981473,102.44419965566179,102.45120129304195,102.30082328981473
