,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04a (PSS) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04b (PSS) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso04c (PSS) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05a (PST) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso05b (PST) [],hpso13 (Ingest) [] [Bmax=35000],hpso13 (RCAL) [] [Bmax=35000],hpso13 (FastImg) [] [Bmax=35000],hpso13 (ICAL) [] [Bmax=35000],hpso13 (DPrepA) [] [Bmax=35000],hpso13 (DPrepB) [] [Bmax=35000],hpso13 (DPrepC) [] [Bmax=35000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso18 (FastImg) [],hpso18 (SinglePulse) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=30000],hpso27and33 (RCAL) [] [Bmax=30000],hpso27and33 (FastImg) [] [Bmax=30000],hpso27and33 (ICAL) [] [Bmax=30000],hpso27and33 (DPrepA) [] [Bmax=30000],hpso27and33 (DPrepB) [] [Bmax=30000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [] [Bmax=120000],hpso37a (RCAL) [] [Bmax=120000],hpso37a (FastImg) [] [Bmax=120000],hpso37a (ICAL) [] [Bmax=120000],hpso37a (DPrepA) [] [Bmax=120000],hpso37a (DPrepB) [] [Bmax=120000],hpso37b (Ingest) [] [Bmax=120000],hpso37b (RCAL) [] [Bmax=120000],hpso37b (FastImg) [] [Bmax=120000],hpso37b (ICAL) [] [Bmax=120000],hpso37b (DPrepA) [] [Bmax=120000],hpso37b (DPrepB) [] [Bmax=120000],hpso37c (Ingest) [] [Bmax=120000],hpso37c (RCAL) [] [Bmax=120000],hpso37c (FastImg) [] [Bmax=120000],hpso37c (ICAL) [] [Bmax=120000],hpso37c (DPrepA) [] [Bmax=120000],hpso37c (DPrepB) [] [Bmax=120000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Visibilities kernel bw3,,534.711131825171,131.128181738449,534.711131825101,65.9845309359229,60.7154005582706,123.555213959921,,,534.711131825171,131.128181738449,207.380768149052,65.9845309359229,60.7154005582706,123.555213959921,,,534.711131825171,131.128181738449,207.380768149052,65.9845309359229,60.7154005582706,123.555213959921,,,571.169667731136,141.444953264378,,,25.1075277787486,208.7946671231,,,29.7170440761744,212.282959806959,,,571.169667731136,141.444953264378,,,28.8961171855042,211.161837439423,,,56.594419204833,212.911275982775,56.5944200567381,123.555566739791,111.94534193075,221.307724800488,,69.2467144249192,237.736614017737,75.4120671035858,154.756630607072,132.032541738045,981.056330139937,,62.0629987020506,273.997165916472,601.308933643729,189.662976684974,179.835167536466,686.306253843892,,25.1075277787486,208.7946671231,,,66.6762942160898,211.568769822535,66.6762942160898,151.230411514735,151.230411514735,,108.571184313637,237.935550635101,153.99374264674,158.665570424967,127.107510871524,,114.216751403814,264.166179469488,182.646852326945,163.450499939646,,37.5944940348779,239.274245333431,37.5944940348779,23.9959223592986,23.9959223592986,,37.5944940348779,239.274245333431,37.5944940348779,23.9959223592986,23.9959223592986,,37.5944940348779,239.274245333431,37.5944940348779,23.9959223592986,23.9959223592986,,67.0446344109599,214.035618145125,47.9354492625588,150.044229619988,150.044229619988,,67.0446344109599,214.035618145125,67.0446344109599,150.044229619988,150.044229619988,,567.543859411526,132.663753715204,567.543859412506,67.258172116861,66.653301479549,62.7643105799372,490.046838341724,,,17.2321086690451,237.973400919362,17.2321086957657,22.1191147030814,20.6594868557708,12.8905410117545,283.470059521881,,,28.8961171855042,211.161837439423,28.8961171855042,22.7975839236783,22.7975839236783,13.7495228351515,745.542777391638,,,64.9314061665018,213.040885136907,64.9314061665018,137.612891725321,55.7780439452221,55.7780439452221,3425.56342644281,,,64.8244144994003,208.549583203318,64.8244144994003,142.736015178746,142.736015178746,142.736015178746,3958.33077517747,,,71.7450061060974,239.874604864442,71.7450061060974,154.127194103026,61.033166938738,154.127194103026,6180.66853230268,,,92.9727789017761,208.894161839998,92.9727789017761,147.573189715711,147.573189715711,147.573189715711,8469.03007600048,
Visibilities kernel bw4,,1069.39414534047,404.465909760768,1069.39414534033,263.919389004797,242.844363538494,494.202805171203,,,1069.39414534047,404.465909760768,829.490357921345,263.919389004797,242.844363538494,494.202805171203,,,1069.39414534047,404.465909760768,829.490357921345,263.919389004797,242.844363538494,494.202805171203,,,1142.30937753608,488.166180796746,,,62.7058342001851,622.692301061338,,,74.2040136174652,641.727630001259,,,1142.30937753608,488.166180796746,,,72.2795467321144,637.193452935511,,,169.775264508702,695.311604417716,169.775267064297,411.839324078849,373.139755423807,507.880259348047,,173.108792237309,783.427868373892,251.363110164667,515.839998974654,440.095302718887,1962.11266027987,,,,,,,,,62.7058342001851,622.692301061338,,,182.522916437215,646.069134918825,182.522916437215,402.848230306661,402.848230306661,,271.418142864638,652.225888982073,427.747863042471,440.724782197056,353.066074097996,,203.047433480816,518.697186529002,365.287046492849,326.895041497107,,103.756509997137,655.895501771601,103.756511286322,64.2061158792889,59.0909011429088,,103.756509997137,655.895501771601,103.756511275131,64.2061155855193,59.0909011429088,,103.756509997137,655.895501771601,103.756511275131,64.2061155855193,59.0909011429088,,182.389964811791,653.514631640476,135.494077657799,393.697308302879,393.697308302879,,182.389964811791,653.514631640476,182.389964811791,393.697308302879,393.697308302879,,1135.05788483941,427.898808815985,1135.05788484137,269.01359905911,266.59428818599,251.039428372153,980.093676683448,,,47.4468908623817,630.439410460888,47.446890935954,62.6662565698217,58.5309458033706,31.1459099625548,437.481042584853,,,72.2795467321144,637.193452935511,72.2795463775634,60.0084357578774,58.0228704547078,37.0243357097083,1217.97932191201,,,172.056397168662,650.071937314763,172.056397168662,366.969306837805,151.395748793141,151.395748793141,5110.64157104881,,,174.997834820137,636.653973069922,174.997834820137,368.116285230661,368.116285230661,368.116285230661,6999.57166004896,,,186.795058883808,665.864425172876,186.795058883808,406.935766455906,162.647056815585,406.935766455906,9790.50182489724,,,278.907793177268,638.070638716231,278.907793177268,429.197406658546,429.197406658546,429.197406658546,16025.095210575,
Visibilities kernel bw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.549423360265,1243.6142859665,,,126.184354019654,1316.89590842925,,,,,,,140.10720508482,1302.72861741904,,,297.100717926167,1398.8817910722,297.100722398368,864.851271851444,783.583240329016,1066.54089182304,,,,,,,,,,,,,,,,121.549423360265,1243.6142859665,,,356.613069536391,1354.97879252437,356.613069536391,719.637300013747,685.300241676269,,434.265101356141,1159.98534436585,769.940513468766,793.298796841726,635.514278074656,,,,,,,198.076003972943,1338.90131631574,198.076006434058,125.840036816654,103.036398549345,,198.076003972943,1338.90131631574,198.076006412693,125.840036240883,103.036398549345,,198.076003972943,1338.90131631574,198.076006412693,125.840036240883,103.036398549345,,353.987029970719,1370.18615739932,252.15484096551,722.649311608204,661.383574269693,,353.987029970719,1370.18615739932,353.987029970719,722.649311608204,661.383574269693,,,,,,,,,,,95.4835530124552,1207.58312863713,95.4835531605143,125.328597213176,117.058234090043,61.559191129779,584.712029073177,,,140.10720508482,1302.72861741904,140.107204397555,117.612730044501,109.47231108915,68.0459508776779,1557.36157915809,,,325.257558970475,1361.08851520637,325.257558970475,685.000560526938,280.406183800263,280.406183800263,5894.14614426619,,,336.937249409972,1334.32510547504,336.937249409972,661.154477541349,610.103225101935,610.103225101935,8285.63497416813,,,363.546758793324,1396.25615403565,363.546758793324,687.109942141169,308.940375750224,687.109942141169,11807.1554757489,,,557.806548882186,1338.99188205577,557.806548882186,754.040838145075,754.040838145075,754.040838145075,20109.0078026439,
Visibilities kernel bw6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.377184837734,2174.89797374892,,,298.83842523038,2513.41841221096,,,,,,,357.764664333128,2453.69846718087,,,,,,,,,,,,,,,,,,,,,,,,310.377184837734,2174.89797374892,,,779.397328854014,2822.48297787119,779.397328854014,2261.6905878481,1809.72280312203,,,,,,,,,,,,,489.116118587832,3762.59346437697,489.11612466515,329.571643125046,255.134179648731,,489.116118587832,3762.59346437697,489.116124612394,329.571641617119,255.134181374827,,489.116118587832,3762.59346437697,489.116124612394,329.571641617119,255.134181374827,,763.756926587528,2850.36452094197,587.851919427357,2271.15710781753,1716.12336835486,,763.756926587528,2850.36452094197,763.756926587528,2271.15710781753,1716.12336835486,,,,,,,,,,,240.065356325523,2855.33351397473,240.065356697774,306.350090956296,286.134222021739,153.159329596838,810.33987909073,,,357.764664333128,2453.69846718087,357.764662578194,308.024283166106,286.704765181573,144.483293363153,2149.2466104284,,,669.941840149134,2814.17604969739,669.941840149134,2152.83372647901,653.548298663227,653.548298663227,6947.30529433938,,,716.283213503623,2771.04200403219,716.283213503623,1558.4169332153,1323.40636564423,1166.30969841657,10078.2375692941,,,946.278815433829,4359.35968239451,946.278815433829,2147.25918653514,754.783857056135,1795.40791513801,14722.9180192916,,,1430.03371306115,2796.56773086571,1430.03371306115,1570.79814576921,1570.79814576921,1570.79814576921,26655.0444486079,
Visibilities kernel bw7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.3154088698,3482.67545178866,,,543.336178564333,4418.2935115091,,,,,,,650.473493774838,4243.12425717705,,,,,,,,,,,,,,,,,,,,,,,,564.3154088698,3482.67545178866,,,1474.3313269106,5705.13048532183,1474.3313269106,4626.15986336871,3179.76930110189,,,,,,,,,,,,,933.757923210721,4310.2209326207,933.757934812758,577.81271760763,447.307214600052,,933.757923210721,4310.2209326207,933.757934712044,577.812714963897,447.307217626284,,933.757923210721,4310.2209326207,933.757934712044,577.812714963897,447.307217626284,,1428.69535981857,5746.2139326774,1055.22527144195,4645.52338848676,2982.91163601076,,1428.69535981857,5746.2139326774,1428.69535981857,4645.52338848676,2982.91163601076,,,,,,,,,,,467.652896795267,2820.74534472328,467.652897520421,626.61687925468,585.266786412693,278.466586448893,1014.66059914007,,,650.473493774838,4243.12425717705,650.473490584087,540.035163654555,502.657300891686,251.933690297515,2663.48897469093,,,1314.64997954505,5605.94560103862,1314.64997179043,4403.49949771736,1195.11559967937,1195.11559967937,11487.6875863941,,,1323.62880154521,5567.53577011893,1323.62880154521,4250.20430011513,3609.26996247144,2675.10943997824,16950.1514120057,,,1481.82733742831,5865.44936999255,1481.82733742831,4392.09764011603,1435.5582025316,3133.95468726556,25125.9592171038,,,2396.83993979867,5682.99453054019,2396.83993979867,4111.36869224183,3809.917766115,3809.917766115,47406.5865973499,
Visibilities kernel bw8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.609736793282,6898.54139210656,,,782.399864681893,9244.92391432919,,,,,,,936.676739696878,8782.57793135949,,,,,,,,,,,,,,,,,,,,,,,,812.609736793282,6898.54139210656,,,2226.35661139182,13502.9396131404,2226.35661139182,5551.37784954132,3451.2873063276,,,,,,,,,,,,,1400.63055134884,8885.3897475604,1400.63056875182,970.719439880661,751.471533213978,,1400.63055134884,8885.3897475604,1400.63056860075,970.719435439217,751.471538298016,,1400.63055134884,8885.3897475604,1400.63056860075,970.719435439217,751.471538298016,,2142.20139083632,13559.15821906,1510.43116438981,5574.61418348478,3219.97294203869,,2142.20139083632,13559.15821906,2142.20139083632,5574.61418348478,3219.97294203869,,,,,,,,,,,654.70963551815,5393.6908242611,654.709636533359,902.322823610353,842.779051706042,429.630681426712,1082.19993253809,,,936.676739696878,8782.57793135949,936.676735102221,756.044473866872,703.715795127542,312.648279727215,3060.37985125191,,,2103.43184729155,13055.0378347945,2103.43183488419,5284.186178685,1325.76940830229,1325.76940830229,10198.7739712428,,,1969.90611731396,13087.9593267323,1969.90611731396,5100.23212530463,4331.11288579592,2873.05180362045,15169.5160914118,,,2228.22149411349,13858.1803632675,2228.22149411349,5270.50428531031,2175.50687564153,3390.20089458961,22649.0689663522,,,2708.97930604369,13533.8736363928,2708.97930604369,4933.62984049242,4213.70526452992,4213.70526452992,43689.9999595121,
Visibilities kernel bw9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241.48091455878,6606.77386514732,,,1195.32724817844,9312.09787921985,,,,,,,1431.02683654223,8751.05666284633,,,,,,,,,,,,,,,,,,,,,,,,1241.48091455878,6606.77386514732,,,2525.76866101088,16075.7507716541,2525.76866101088,13570.0036621368,7492.71304975383,,,,,,,,,,,,,2282.49966369399,8818.78100915055,2282.49969205428,1483.0353585363,1148.0751377832,,2282.49966369399,8818.78100915055,2282.4996918081,1483.0353517508,1148.07514555043,,2282.49966369399,8818.78100915055,2282.4996918081,1483.0353517508,1148.07514555043,,2411.18882644721,16055.2515919982,2314.05585015215,13626.8038203898,6954.54381532387,,2411.18882644721,16055.2515919982,2411.18882644721,13626.8038203898,6954.54381532387,,,,,,,,,,,960.234905408849,4602.76967992336,960.234906897813,1378.5411436543,1287.57199461956,612.617015408413,1165.40225356444,,,1431.02683654223,8751.05666284633,1431.02682952265,1386.07360997469,1290.13824750261,459.770088941364,3682.01096263037,,,2570.85212446421,15111.8499040171,2570.85210929972,12916.8701733261,1960.90871330905,1960.90871330905,8903.44673060049,,,2199.45362150954,15394.261738346,2199.45362150954,6233.60255891193,5293.57011691331,3088.03508705421,13339.4230931078,,,3773.88778672119,16446.8145374459,3773.88778672119,12883.4262910552,2478.06420388702,7336.79156328524,20050.5290812039,,,4599.27775787742,16297.2004086457,4599.27775787742,6029.97803815464,4659.76340802419,4659.76340802419,39527.9710034244,
Visibilities kernel bw10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956.26621081228,6253.30044459686,,,1883.53955398671,9095.94269769552,,,,,,,2254.94366459773,8486.72709315293,,,,,,,,,,,,,,,,,,,,,,,,1956.26621081228,6253.30044459686,,,4171.76389994669,18334.4441468736,4171.76389994669,16037.2516250845,7977.43571033124,,,,,,,,,,,,,2489.99579463606,8690.41825464177,2489.99582557451,1617.85338787244,1252.44299841095,,2489.99579463606,8690.41825464177,2489.99582530594,1617.85338047009,1252.44300688428,,2489.99579463606,8690.41825464177,2489.99582530594,1617.85338047009,1252.44300688428,,3957.11235647566,18186.2769832059,2575.52981362572,16104.3792737386,7377.68500433577,,3957.11235647566,18186.2769832059,3957.11235647566,16104.3792737386,7377.68500433577,,,,,,,,,,,1418.52281022642,3629.73018011679,1418.52281242602,1629.17875778138,1521.67017459323,868.797882962153,1322.20962905101,,,2254.94366459773,8486.72709315293,2254.94365353662,1638.08050913419,1524.70280230006,594.247764633383,3355.51590746355,,,4557.40860243363,16664.2428582202,4557.40857555118,15265.3679891333,3181.84372231234,3181.84372231234,7926.48910480057,,,3586.7588662066,17295.5371445917,3586.7588662066,14733.9459850019,12512.0546960304,6530.52693090691,11934.5057435949,,,4139.47152304182,18683.0490251286,4139.47152304182,15225.8440115537,4106.67894881617,7794.01278746486,18022.3088795235,,,5054.76164871164,18866.1143207483,5054.76164871164,14252.6524714925,10057.79830421,10057.79830421,36094.4521941763,
Visibilities kernel bw11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2257.22453552288,5908.87363395623,,,2173.30944372508,8766.65914329968,,,,,,,2601.85154713216,8141.38428803762,,,,,,,,,,,,,,,,,,,,,,,,2257.22453552288,5908.87363395623,,,4502.91761003648,20229.3007449758,4502.91761003648,18504.4995880655,8388.49922121672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.03775485047,19909.3595283694,4207.67481398991,18581.9547270546,7737.34646406224,,4249.03775485047,19909.3595283694,4249.03775485047,18581.9547270546,7737.34646406224,,,,,,,,,,,2182.33598490298,2945.31236448374,2182.33598828696,2506.42182918795,2341.02447273407,1253.06918428379,1615.54567549759,,,2601.85154713216,8141.38428803762,2601.85153436937,2520.11654435719,2345.68980943133,787.871913385767,4626.61416594518,,,5258.53901815935,17727.6458420284,5258.53898714119,17613.8658048907,3386.13566479503,3386.13568482081,7161.9439004643,,,3831.93298760826,18763.2816558871,3831.93298760826,17000.6868521986,14436.9691582499,6832.75984892087,10821.5683227704,,,4453.96052844888,20519.5511634096,4453.96052844888,17568.2617319649,4444.95857848274,8182.24501549298,16396.7612492946,,,10895.0432171135,21191.5456871846,10895.0432171135,16445.3488667753,10684.1869030373,10684.1869255367,33228.6183989746,
Oversampling used pred0,(undefined),5.78669300796766,3.1984867765049,5.78669300796694,2.92668833173222,2.69798036253311,3.44719075877529,(undefined),(undefined),5.78669300796766,3.1984867765049,4.53668154088757,2.92668833173222,2.69798036253311,3.44719075877529,(undefined),(undefined),5.78669300796766,3.1984867765049,4.53668154088757,2.92668833173222,2.69798036253311,3.44719075877529,(undefined),(undefined),6.16163169395202,3.20705609333847,(undefined),(undefined),4.48854969645881,19.6964742505882,(undefined),(undefined),4.73629125594979,19.9063284773469,(undefined),(undefined),6.16163169395202,3.20705609333847,(undefined),(undefined),4.68818820277308,19.8274974063346,(undefined),(undefined),6.00813481070056,19.9992089119581,6.00813481070056,12.4449370526577,11.3866814190004,49.2423150951225,(undefined),6.87145892394248,20.4607904926546,8.12594181866704,14.156889376142,12.7257090171806,63.7925353122085,(undefined),6.69239554726232,19.3743550939398,34.9307623173988,14.1041222951329,13.456315016723,59.7076510898202,(undefined),4.48854969645881,19.6964742505882,(undefined),(undefined),7.09567039352915,19.806575050249,7.09567039352915,15.5604263916734,17.1300504121794,(undefined),10.060104214004,20.7445298727562,14.2889894326463,14.6685697368254,12.5248143446773,(undefined),10.783678725779,22.0177846424402,15.9999352117402,14.5264655234084,(undefined),5.45270669481364,20.8397665228956,5.45270669481364,4.24352819133273,6.05543196404849,(undefined),5.45270669481364,20.8397665228956,5.45270669481364,4.24352819133273,6.05543196404849,(undefined),5.45270669481364,20.8397665228956,5.45270669481364,4.24352819133273,6.05543196404849,(undefined),7.26765103133822,19.9975427435115,5.68820503511173,15.6582008314684,15.6582008314684,(undefined),7.26765103133822,19.9975427435115,7.26765103133822,15.6582008314684,15.6582008314684,(undefined),6.12445659976983,3.19970310108736,6.12445659977988,2.98184183221998,2.95565435929136,2.78701444076187,48.0454313185599,(undefined),(undefined),3.68001173844042,20.912788349414,3.68001173844042,3.9765756207435,3.9765756207435,3.17459811873173,58.779237189572,(undefined),(undefined),4.68818820277308,19.8274974063346,4.68818820277308,4.12914848088921,4.12914848088921,3.85638710625624,63.2708721823158,(undefined),(undefined),7.19836203804054,19.9235921865189,7.19836203804054,15.3291786161748,6.2259168378739,6.2259168378739,63.9999996799394,(undefined),(undefined),6.88526456717779,19.0941979670268,6.88526456717779,14.9333082875349,14.9333082875349,14.9333082875349,63.9999999943861,(undefined),(undefined),7.50671849223751,20.8247885559008,7.50671849223751,16.2650908185812,6.51765418716703,16.2650908185812,63.9999999999993,(undefined),(undefined),9.61072700185886,19.1180597412613,9.61072700185886,13.9833095410273,13.9833095410273,17.506424052802,64,(undefined)
Oversampling used pred1,,18.9415669123888,8.48122186313531,18.9415669123867,5.71644698187868,5.27935683406138,7.3300289374325,,,18.9415669123888,8.48122186313531,10.6218806886339,5.71644698187868,5.27935683406138,7.3300289374325,,,18.9415669123888,8.48122186313531,10.6218806886339,5.71644698187868,5.27935683406138,7.3300289374325,,,20.0068860257282,8.5117888704141,,,7.05040062281491,36.0101775264984,,,7.75614413831684,36.3154010341078,,,20.0068860257282,8.5117888704141,,,7.64871923888052,36.2029036573678,,,12.1804139679893,36.4406459234771,12.1804141326654,24.6539066744237,22.8134944604327,53.3832437515798,,14.2408127170025,36.2143492242029,16.4420865402162,29.2024549886018,25.9454636788255,63.9828780605571,,13.8756593490624,37.0559123880192,50.7956694840916,28.7853770172788,27.6781984493783,63.1515933912341,,7.05040062281491,36.0101775264984,,,15.005876234712,36.1800733724427,15.005876234712,29.2192085417484,29.2192085417484,,20.8676164532232,38.9963922328294,29.0977405613817,29.7338900598956,25.2002883559724,,23.1804526957569,38.0405932355254,29.4478655733309,27.1352806031514,,10.2424951530438,37.9832810423109,10.2424951530438,6.24204644972325,6.24204644972325,,10.2424951530438,37.9832810423109,10.2424951530438,6.24204644972325,6.24204644972325,,10.2424951530438,37.9832810423109,10.2424951530438,6.24204644972325,6.24204644972325,,15.1291339485241,36.4497473069346,10.9442590008732,30.0504437208356,30.0504437208356,,15.1291339485241,36.4497473069346,15.1291339485241,30.0504437208356,30.0504437208356,,19.9020827454758,8.48574823262295,19.9020827455042,5.82160929053873,5.77168946640209,5.44970739445134,54.7045507910015,,,5.15775070032478,38.0626378070911,5.15775070032478,5.66875010841468,5.66875010841468,4.54662977385296,58.6316707404035,,,7.64871923888052,36.2029036573678,7.64871923888052,5.96780474351014,5.96780474351014,4.65251991196702,63.8371355264203,,,14.9351687494941,36.3451116528239,14.9351687494941,29.2094118901434,12.9757405820353,12.9757405820353,63.999999999968,,,14.4661158389973,35.8490728319049,14.4661158389973,28.5451013767089,28.5451013767089,28.5451013767089,63.9999999999999,,,15.6992267326489,37.9699048544864,15.6992267326489,30.5249102452359,13.8644406235488,30.5249102452359,64,,,19.6192256766353,35.8840572517246,19.6192256766353,27.4797788447643,27.4797788447643,27.4797788447643,64,
Oversampling used pred2,,48.2736289816103,27.5154070016147,48.2736289816074,14.6440059285377,13.6092714776983,24.6537903018505,,,48.2736289816103,27.5154070016147,35.7147039810717,14.6440059285377,13.6092714776983,24.6537903018505,,,48.2736289816103,27.5154070016147,35.7147039810717,14.6440059285377,13.6092714776983,24.6537903018505,,,49.7088497136172,27.776754723802,,,11.4059615705326,49.923998418368,,,12.8951130543304,50.2179575334216,,,49.7088497136172,27.776754723802,,,12.6743080908241,50.1133123004876,,,20.3200962641494,49.667069067017,20.3200965153131,37.0481655986151,34.7664343896508,57.7323945024661,,22.6261468346228,51.925247493847,26.2484602474178,42.3358425902198,38.6008136519583,63.9987665918389,,22.5510800807495,48.8540051611084,61.2755309761161,40.3534241133426,39.1014166894638,63.71212095052,,11.4059615705326,49.923998418368,,,24.0991532983195,50.1045203585059,24.0991532983195,42.7527558138429,42.7527558138429,,31.7045919602793,50.6237228922843,40.7019989881682,41.4054038516455,36.2066574764378,,35.2276961566696,52.0759695739974,43.7473426871591,41.1439735473886,,16.2878854532659,50.7410158078325,16.2878854532659,10.5154834506983,10.5154834506983,,16.2878854532659,50.7410158078325,16.2878854532659,10.5154834506983,10.5154834506983,,16.2878854532659,50.7410158078325,16.2878854532659,10.5154834506983,10.5154834506983,,24.2542723381195,50.3503258355008,18.379262294238,42.7538084687454,42.7538084687454,,24.2542723381195,50.3503258355008,24.2542723381195,42.7538084687454,42.7538084687454,,49.5721904365634,27.5565941559485,49.5721904366005,14.8909133519348,14.7738075160577,14.0141819432991,62.6499160000458,,,7.80702030072565,50.775210671812,7.80702030072565,9.05192582835672,9.05192582835672,5.96741933252304,61.0164686264855,,,12.6743080908241,50.1133123004876,12.6743080908241,9.9217330248896,9.9217330248896,6.06237083573363,63.9791457156521,,,23.8758615737972,50.2545135263458,23.8758615737972,41.458734434792,21.0575784930398,21.0575784930398,64,,,23.1338555601054,48.4845778150104,23.1338555601054,40.7104077358647,40.7104077358647,40.7104077358647,64,,,25.2301441358794,50.741689128388,25.2301441358794,43.304577876944,22.1926078781962,43.304577876944,64,,,30.6148638568079,48.5184247529124,30.6148638568079,40.1235888697297,40.1235888697297,40.1235888697297,64,
