,Ingest (Low) [],ICAL (Low) [],RCAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],Fast_Img (Low) [],Ingest (Mid1) [],ICAL (Mid1) [],RCAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],Fast_Img (Mid1) [],Ingest (Mid2) [],ICAL (Mid2) [],RCAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],Fast_Img (Mid2) [],Ingest (Mid5A) [],ICAL (Mid5A) [],RCAL (Mid5A) [],DPrepA (Mid5A) [],DPrepA_Image (Mid5A) [],DPrepB (Mid5A) [],DPrepC (Mid5A) [],DPrepD (Mid5A) [],Fast_Img (Mid5A) [],Ingest (Mid5B) [],ICAL (Mid5B) [],RCAL (Mid5B) [],DPrepA (Mid5B) [],DPrepA_Image (Mid5B) [],DPrepB (Mid5B) [],DPrepC (Mid5B) [],DPrepD (Mid5B) [],Fast_Img (Mid5B) [],Ingest (Mid5C) [],ICAL (Mid5C) [],RCAL (Mid5C) [],DPrepA (Mid5C) [],DPrepA_Image (Mid5C) [],DPrepB (Mid5C) [],DPrepC (Mid5C) [],DPrepD (Mid5C) [],Fast_Img (Mid5C) []
Max Baseline [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0
Snapshot Time [s],600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0,600,600,600,600,600,600,600,600,1.0
Facets,(undefined),1.0,1.0,1.0,1.0,1.0,1.0,(undefined),1.0,(undefined),9.0,9.0,3.0,3.0,3.0,4.0,(undefined),1.0,(undefined),7.0,7.0,3.0,3.0,1.0,3.0,(undefined),1.0,(undefined),5.0,5.0,1.0,2.0,1.0,1.0,(undefined),1.0,(undefined),4.0,4.0,2.0,1.0,1.0,1.0,(undefined),1.0,(undefined),6.0,6.0,1.0,1.0,1.0,1.0,(undefined),1.0
w-stacking planes,(undefined),188.45215034216545,188.45215034351423,94.32850966442642,81.36664062516367,125.03047533435807,21.94942850331657,(undefined),1.42426440757822,(undefined),10.729553723767028,10.72955372414437,14.757005601013015,11.946652582431136,18.053641425693066,1.0000000299527985,(undefined),1.0000000365952837,(undefined),6.259242066487448,6.25924207286489,6.786066519887852,5.262756843739758,22.667324735210087,1.0000000167539456,(undefined),1.0000000221787808,(undefined),2.4424885934960745,2.442488637967946,7.30699300112857,1.0000000150663089,7.666734716752248,1.0000000179727162,(undefined),1.0000000239439584,(undefined),1.000000026018271,1.000000026018271,1.00000002955569,1.0000000194518444,3.307205431195375,1.000000022670313,(undefined),1.0000000241900981,(undefined),2.321560907276897,2.32156097736122,8.431560662365312,5.579116371077069,8.810904969763472,1.0000000190548595,(undefined),1.000000023975024
w-stacking planes predict,(undefined),188.45215034216545,188.45215034351423,94.32850966442642,81.36664062516367,125.03047533435807,21.94942850331657,(undefined),1.42426440757822,(undefined),10.729553723767028,10.72955372414437,14.757005601013015,11.946652582431136,18.053641425693066,1.0000000299527985,(undefined),1.0000000365952837,(undefined),6.259242066487448,6.25924207286489,6.786066519887852,5.262756843739758,22.667324735210087,1.0000000167539456,(undefined),1.0000000221787808,(undefined),2.4424885934960745,2.442488637967946,7.30699300112857,1.0000000150663089,7.666734716752248,1.0000000179727162,(undefined),1.0000000239439584,(undefined),1.000000026018271,1.000000026018271,1.00000002955569,1.0000000194518444,3.307205431195375,1.000000022670313,(undefined),1.0000000241900981,(undefined),2.321560907276897,2.32156097736122,8.431560662365312,5.579116371077069,8.810904969763472,1.0000000190548595,(undefined),1.000000023975024
Stations/antennas,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [km],4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Max Baseline [per bin]1 [km],8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Max Baseline [per bin]2 [km],16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Max Baseline [per bin]3 [km],32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Max Baseline [per bin]4 [km],65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Max Baseline [per bin]5 [km],,,,,,,,,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Max Baseline [per bin]6 [km],,,,,,,,,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Max Baseline [per bin]7 [km],,,,,,,,,,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Max Baseline [per bin]8 [km],,,,,,,,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Max Baseline [per bin]9 [km],,,,,,,,,,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
Max Baseline [per bin]10 [km],,,,,,,,,,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0
Max Baseline [per bin]11 [km],,,,,,,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
Baseline fraction [per bin]0 [%],49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115
Baseline fraction [per bin]1 [%],13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095
Baseline fraction [per bin]2 [%],13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053
Baseline fraction [per bin]3 [%],17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095
Baseline fraction [per bin]4 [%],6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134
Baseline fraction [per bin]5 [%],,,,,,,,,,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607
Baseline fraction [per bin]6 [%],,,,,,,,,,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107
Baseline fraction [per bin]7 [%],,,,,,,,,,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103
Baseline fraction [per bin]8 [%],,,,,,,,,,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032
Baseline fraction [per bin]9 [%],,,,,,,,,,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028
Baseline fraction [per bin]10 [%],,,,,,,,,,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302
Baseline fraction [per bin]11 [%],,,,,,,,,,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],(undefined),42.43009896992496,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,(undefined),14.14336632330832,(undefined),2.440460697760725,2.440460697760725,2.711622997511917,2.711622997511917,2.711622997511917,2.0337172481339376,(undefined),6.101151744401812,(undefined),1.28971508025147,1.28971508025147,1.1145685878716407,1.1145685878716407,2.786421469679102,1.1145685878716407,(undefined),2.507779322711192,(undefined),0.4013546367079286,0.4013546367079286,0.6193744393640873,0.3716246636184524,0.6193744393640873,0.6193744393640873,(undefined),0.5574369954276785,(undefined),0.22349098008629864,0.22349098008629864,0.16554887413799899,0.2759147902299983,0.2759147902299983,0.2759147902299983,(undefined),0.24832331120699846,(undefined),0.3044834845957197,0.3044834845957197,0.5638583048068884,0.5638583048068884,0.5638583048068884,0.5638583048068884,(undefined),0.5074724743261995
Total FoV size [deg],15.714851470342577,42.43009896992496,42.43009896992496,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,15.714851470342577,14.14336632330832,6.77905749377979,18.303455233205437,18.303455233205437,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.77905749377979,6.101151744401811,2.786421469679102,7.523337968133577,7.523337968133577,2.786421469679102,2.786421469679102,2.786421469679102,2.786421469679102,2.786421469679102,2.507779322711192,0.6193744393640873,1.6723109862830359,1.6723109862830359,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.5574369954276785,0.27591479022999826,0.7449699336209955,0.7449699336209955,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.27591479022999826,0.24832331120699846,0.5638583048068883,1.5224174229785985,1.5224174229785985,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5638583048068883,0.5074724743261995
