,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Max Baseline [km],65.0,65.0,150.0,150.0,150.0,150.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,40.0,40.0,40.0,40.0,25.0,25.0,25.0,25.0,15.0,15.0,15.0,15.0,150.0,150.0,150.0,50.0,50.0,50.0,20.0,20.0,150.0,150.0,150.0,150.0,150.0,150.0,95.0,95.0,95.0,150.0,150.0,150.0,150.0,150.0,150.0
Dump time [s],0.9,0.9,0.14,0.14,0.14,0.14,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.28476339651597127,0.28476339651597127,0.28476339651597127,0.1562587293059796,0.4468866669484593,0.4468866669484593,0.4468866669484593,0.2641923185657977,0.7601696575533425,0.7601696575533425,0.7601696575533425,0.455336081013013,0.14,0.14,0.14,0.22573535985065513,0.22573535985065513,0.22573535985065513,0.5444051941858186,0.5444051941858186,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,15840.000000000002,15840.000000000002,15840.000000000002,15840.000000000002,21600.0,21600.0,21600.0,442.8,442.8,442.8,7920.000000000001,7920.000000000001,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
Snapshot Time [s],600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
Facets,2.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,3.0,4.0,7.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,1.0,5.0,1.0,1.0
w-stacking planes,18.454172508058214,21.94942850331657,1.0000000299527985,1.0000000299527985,1.0000000243638367,1.0000000221398844,176.26134692502066,75.38176280990811,50.05096683021426,49.33289416515484,120.4611934383406,75.38176280990811,50.05096683021426,49.33289416515484,120.4611934383406,75.38176280990811,50.05096683021426,49.33289416515484,5.438750184920321,8.862724369266616,5.545722960344187,4.436167810783762,1.0000000179874966,6.970658753570077,4.080036195796297,1.0000000311315087,1.0050250661831603,5.6040842526946815,4.225976577787016,1.000000025481419,1.0000000160160285,1.0000000277523284,1.0000000235062176,10.4314084927853,10.43140935809193,6.506327156447302,2.524021002559728,13.074422714150243,1.0000000158074671,4.924841490562322,1.0000000299531024,5.5698218326025435,4.924841490562322,1.0000000299531024,6.970560897856632,13.652404725446566,3.0415826346214816,1.0000000246856267,3.7147111752895627,1.000000021066804,1.0000000150852846,3.7147111752895627,1.000000021066804
w-stacking planes predict,18.454172508058214,21.94942850331657,1.0000000299527985,1.0000000299527985,1.0000000243638367,1.0000000221398844,176.26134692502066,75.38176280990811,50.05096683021426,49.33289416515484,120.4611934383406,75.38176280990811,50.05096683021426,49.33289416515484,120.4611934383406,75.38176280990811,50.05096683021426,49.33289416515484,5.438750184920321,8.862724369266616,5.545722960344187,4.436167810783762,1.0000000179874966,6.970658753570077,4.080036195796297,1.0000000311315087,1.0050250661831603,5.6040842526946815,4.225976577787016,1.000000025481419,1.0000000160160285,1.0000000277523284,1.0000000235062176,10.4314084927853,10.43140935809193,6.506327156447302,2.524021002559728,13.074422714150243,1.0000000158074671,4.924841490562322,1.0000000299531024,5.5698218326025435,4.924841490562322,1.0000000299531024,6.970560897856632,13.652404725446566,3.0415826346214816,1.0000000246856267,3.7147111752895627,1.000000021066804,1.0000000150852846,3.7147111752895627,1.000000021066804
Stations/antennas,512,512,197,197,197,197,512,512,512,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [km],4.0625,4.0625,5.0,5.0,5.0,5.0,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Max Baseline [per bin]1 [km],8.125,8.125,7.5,7.5,7.5,7.5,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Max Baseline [per bin]2 [km],16.25,16.25,10.0,10.0,10.0,10.0,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Max Baseline [per bin]3 [km],32.5,32.5,15.0,15.0,15.0,15.0,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Max Baseline [per bin]4 [km],65.0,65.0,25.0,25.0,25.0,25.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,25.0,25.0,25.0,25.0,25.0,25.0,20.0,20.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Max Baseline [per bin]5 [km],,,35.0,35.0,35.0,35.0,,,,,,,,,,,,,35.0,35.0,35.0,35.0,,,,,,,,,35.0,35.0,35.0,35.0,35.0,35.0,,,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Max Baseline [per bin]6 [km],,,55.0,55.0,55.0,55.0,,,,,,,,,,,,,40.0,40.0,40.0,40.0,,,,,,,,,55.0,55.0,55.0,50.0,50.0,50.0,,,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Max Baseline [per bin]7 [km],,,75.0,75.0,75.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,75.0,75.0,75.0,,,,,,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Max Baseline [per bin]8 [km],,,90.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,,,,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Max Baseline [per bin]9 [km],,,110.0,110.0,110.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,110.0,110.0,110.0,,,,,,110.0,110.0,110.0,110.0,110.0,110.0,95.0,95.0,95.0,110.0,110.0,110.0,110.0,110.0,110.0
Max Baseline [per bin]10 [km],,,130.0,130.0,130.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,130.0,130.0,130.0,,,,,,130.0,130.0,130.0,130.0,130.0,130.0,,,,130.0,130.0,130.0,130.0,130.0,130.0
Max Baseline [per bin]11 [km],,,150.0,150.0,150.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,150.0,150.0,150.0,,,,,,150.0,150.0,150.0,150.0,150.0,150.0,,,,150.0,150.0,150.0,150.0,150.0,150.0
Baseline fraction [per bin]0 [%],49.3626883,49.3626883,61.4890420115,61.4890420115,61.4890420115,61.4890420115,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,49.3626883,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115,61.4890420115
Baseline fraction [per bin]1 [%],13.32914111,13.32914111,5.06191389095,5.06191389095,5.06191389095,5.06191389095,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,13.32914111,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095,5.06191389095
Baseline fraction [per bin]2 [%],13.65062318,13.65062318,2.83923113053,2.83923113053,2.83923113053,2.83923113053,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,13.65062318,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053,2.83923113053
Baseline fraction [per bin]3 [%],17.10107961,17.10107961,5.08781928095,5.08781928095,5.08781928095,5.08781928095,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,17.10107961,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095,5.08781928095
Baseline fraction [per bin]4 [%],6.5564678,6.5564678,7.13952645134,7.13952645134,7.13952645134,7.13952645134,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,6.5564678,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,,,,,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,3.56976322567,3.56976322567,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134,7.13952645134
Baseline fraction [per bin]5 [%],,,3.7562820607,3.7562820607,3.7562820607,3.7562820607,,,,,,,,,,,,,3.7562820607,3.7562820607,3.7562820607,3.7562820607,,,,,,,,,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,,,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607,3.7562820607
Baseline fraction [per bin]6 [%],,,5.73545412107,5.73545412107,5.73545412107,5.73545412107,,,,,,,,,,,,,1.43386353027,1.43386353027,1.43386353027,1.43386353027,,,,,,,,,5.73545412107,5.73545412107,5.73545412107,4.3015905908,4.3015905908,4.3015905908,,,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107,5.73545412107
Baseline fraction [per bin]7 [%],,,5.48158127103,5.48158127103,5.48158127103,5.48158127103,,,,,,,,,,,,,,,,,,,,,,,,,5.48158127103,5.48158127103,5.48158127103,,,,,,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103,5.48158127103
Baseline fraction [per bin]8 [%],,,1.73566136032,1.73566136032,1.73566136032,1.73566136032,,,,,,,,,,,,,,,,,,,,,,,,,1.73566136032,1.73566136032,1.73566136032,,,,,,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032,1.73566136032
Baseline fraction [per bin]9 [%],,,1.51805606028,1.51805606028,1.51805606028,1.51805606028,,,,,,,,,,,,,,,,,,,,,,,,,1.51805606028,1.51805606028,1.51805606028,,,,,,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,0.379514015071,0.379514015071,0.379514015071,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028,1.51805606028
Baseline fraction [per bin]10 [%],,,0.10880265302,0.10880265302,0.10880265302,0.10880265302,,,,,,,,,,,,,,,,,,,,,,,,,0.10880265302,0.10880265302,0.10880265302,,,,,,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,,,,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302,0.10880265302
Baseline fraction [per bin]11 [%],,,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,,,,,,,,,,,,,,,,,,,,,,,,,0.0466297083087,0.0466297083087,0.0466297083087,,,,,,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,,,,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087,0.0466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],9.428910882205546,15.714851470342577,1.3558114987559584,2.0337172481339376,0.3338544469521037,0.3338544469521037,46.391024567870225,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,2.5555258755500208,3.9437127709105257,3.9437127709105257,3.9437127709105257,1.123798583866355,2.6013856108017475,2.6013856108017475,2.3880487372046404,1.7253597803694511,2.3963330282909046,2.3963330282909046,2.192475334391248,0.25233386787903217,0.18691397620669054,0.31152329367781756,2.8610802042907246,2.8610802042907246,2.8610802042907246,2.711622997511917,6.779057493779791,0.868043026276568,1.1252409599881437,0.8439307199911078,1.302064539414852,1.1252409599881437,0.8439307199911078,1.5190752959839942,2.8131023999703593,1.1252409599881437,0.21923387953976553,0.40598866581438064,0.40598866581438064,0.2630806554477187,0.40598866581438064,0.40598866581438064
Total FoV size [deg],15.714851470342577,15.714851470342577,6.77905749377979,6.77905749377979,0.3338544469521037,0.3338544469521037,46.391024567870225,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,30.927349711913482,17.181860951063047,17.181860951063047,17.181860951063047,10.64802448145842,3.9437127709105257,3.9437127709105257,3.9437127709105257,4.682494099443145,2.6013856108017475,2.6013856108017475,2.3880487372046404,4.313399450923628,2.396333028290904,2.396333028290904,2.1924753343912475,0.8411128929301074,0.3115232936778175,0.3115232936778175,2.8610802042907246,2.8610802042907246,2.8610802042907246,6.77905749377979,6.77905749377979,5.063584319946647,2.8131023999703593,2.8131023999703593,7.59537647991997,2.8131023999703593,2.8131023999703593,5.063584319946647,2.8131023999703593,2.8131023999703593,0.7307795984658851,0.40598866581438064,0.40598866581438064,1.0961693976988278,0.40598866581438064,0.40598866581438064
PSF size [arcs],14.192259379479477,14.192259379479477,1.026706652111203,1.026706652111203,0.052802819899117066,0.052802819899117066,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,15.528437284632478,2.4513052924299807,2.4513052924299807,2.4513052924299807,2.4513052924299807,2.488876478592876,2.488876478592876,2.488876478592876,2.6519609530423187,3.98036867634397,3.98036867634397,3.98036867634397,4.339439761605704,0.05174479279247161,0.05174479279247161,0.05174479279247161,1.3968926428394057,1.3968926428394057,1.3968926428394057,7.700299890834023,7.700299890834023,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.43004950575276385,0.6790255353991008,0.6790255353991008,0.6790255353991008,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733,0.06455411908949733
Pixel size [arcs],2.838451875895895,2.838451875895895,0.20534133042224062,0.20534133042224062,0.010560563979823412,0.010560563979823412,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,3.1056874569264954,0.4902610584859961,0.4902610584859961,0.4902610584859961,0.4902610584859961,0.49777529571857515,0.49777529571857515,0.49777529571857515,0.5303921906084638,0.796073735268794,0.796073735268794,0.796073735268794,0.8678879523211408,0.01034895855849432,0.01034895855849432,0.01034895855849432,0.27937852856788115,0.27937852856788115,0.27937852856788115,1.5400599781668047,1.5400599781668047,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.08600990115055276,0.13580510707982016,0.13580510707982016,0.13580510707982016,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467,0.012910823817899467
Facet side length [pixels],11958.659389011576,19931.098981685962,23769.795323157185,35654.69298473578,113807.93784534889,113807.93784534889,53774.78924090123,19916.588607741196,19916.588607741196,19916.588607741196,35849.85949393415,19916.588607741196,19916.588607741196,19916.588607741196,35849.85949393415,19916.588607741196,19916.588607741196,19916.588607741196,18765.29451551956,28958.787832591905,28958.787832591905,28958.787832591905,8127.512427226125,18813.686174134542,18813.686174134542,16208.714242331302,7802.411930137077,10836.683236301496,10836.683236301496,9094.389641772457,87777.13421404213,65020.09941780899,108366.83236301498,36867.145045987396,36867.145045987396,36867.145045987396,6338.612086175249,15846.530215438122,36332.501872379624,47097.68761234395,35323.26570925797,54498.75280856944,47097.68761234395,35323.26570925797,40268.52290855408,74571.3387195446,29828.535487817837,61130.256091710966,113204.17794761292,113204.17794761292,73356.30731005316,113204.17794761292,113204.17794761292
