,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (FastImg) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (FastImg) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (FastImg) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (FastImg) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (FastImg) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Coalesce time pred2 [s],,1.8,3.6,1.8,6.3,6.3,3.6,,,1.8,3.6,3.6,6.3,6.3,3.6,,,1.8,3.6,3.6,6.3,6.3,3.6,,,1.8,3.6,,6.580000000000001,2.24,,6.44,2.24,,1.8,3.6,,6.44,2.24,,4.55621434425554,2.1989729505136504,4.55621434425554,2.8476339651597127,2.8476339651597127,1.562587293059796,,4.468866669484593,2.0705435556421645,4.021980002536134,2.681320001690756,2.681320001690756,1.5851539113947863,,4.561017945320055,2.348044074783006,1.520339315106685,3.04067863021337,3.04067863021337,1.821344324052052,,6.580000000000001,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,,3.5005006340046876,2.196287820014073,2.8441567651288087,2.8441567651288087,2.8441567651288087,,3.2664311651149114,2.1019771339653266,2.722025970929093,2.722025970929093,,6.300000000000001,2.24,5.460000000000001,7.280000000000001,9.8,,6.300000000000001,2.24,6.300000000000001,7.280000000000001,9.8,,4.48,2.24,4.48,2.9400000000000004,7.280000000000001,,4.62,2.24,5.460000000000001,2.9400000000000004,2.9400000000000004,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,,1.8,3.6,1.8,6.3,6.3,6.3,3.6,,,8.120000000000001,2.24,8.120000000000001,7.280000000000001,7.280000000000001,9.66,7.98,,,6.44,2.24,6.44,7.5600000000000005,7.5600000000000005,10.0,5.460000000000001,,,5.6000000000000005,2.24,5.6000000000000005,2.9400000000000004,5.040000000000001,5.040000000000001,1.54,,,4.760000000000001,2.3800000000000003,4.760000000000001,3.08,3.08,3.08,1.6800000000000002,,,4.48,2.24,4.48,2.9400000000000004,4.9,2.9400000000000004,1.54,,,3.7800000000000002,2.3800000000000003,3.7800000000000002,3.08,3.08,3.08,1.6800000000000002,
Coalesce time pred3 [s],,0.9,1.8,0.9,2.7,2.7,1.8,,,0.9,1.8,1.8,2.7,2.7,1.8,,,0.9,1.8,1.8,2.7,2.7,1.8,,,0.9,1.8,,4.340000000000001,1.54,,4.340000000000001,1.54,,0.9,1.8,,4.340000000000001,1.54,,3.132397361675684,1.5392810653595552,3.132397361675684,1.9933437756117989,1.9933437756117989,1.093811105141857,,2.681320001690756,1.3803623704281096,2.681320001690756,1.7875466677938372,1.7875466677938372,1.056769274263191,,3.04067863021337,1.174022037391503,0.7601696575533425,1.520339315106685,1.520339315106685,0.910672162026026,,4.340000000000001,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,,2.4065941858782227,1.520506952317435,1.9690316066276368,1.9690316066276368,1.9690316066276368,,2.1776207767432743,1.2611862803791958,1.6332155825574557,1.6332155825574557,,4.2,1.4000000000000001,3.6400000000000006,4.9,6.44,,4.2,1.4000000000000001,4.2,4.9,6.44,,2.9400000000000004,1.4000000000000001,2.9400000000000004,1.9600000000000002,4.9,,3.08,1.54,3.6400000000000006,1.9600000000000002,1.9600000000000002,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,,0.9,1.8,0.9,2.7,2.7,2.7,1.8,,,5.32,1.4000000000000001,5.32,4.760000000000001,4.760000000000001,6.44,5.32,,,4.340000000000001,1.54,4.340000000000001,5.040000000000001,5.040000000000001,6.720000000000001,3.6400000000000006,,,3.6400000000000006,1.54,3.6400000000000006,1.9600000000000002,3.3600000000000003,3.3600000000000003,0.9800000000000001,,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.12,,,2.9400000000000004,1.4000000000000001,2.9400000000000004,1.9600000000000002,3.22,1.9600000000000002,0.9800000000000001,,,2.5200000000000005,1.54,2.5200000000000005,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.12,
Coalesce time pred4 [s],,0.9,0.9,0.9,0.9,0.9,0.9,,,0.9,0.9,0.9,0.9,0.9,0.9,,,0.9,0.9,0.9,0.9,0.9,0.9,,,0.9,0.9,,2.5200000000000005,0.8400000000000001,,2.5200000000000005,0.8400000000000001,,0.9,0.9,,2.5200000000000005,0.8400000000000001,,1.7085803790958276,0.8795891802054602,1.7085803790958276,1.139053586063885,1.139053586063885,0.6250349172239184,,1.7875466677938372,0.6901811852140548,1.340660000845378,0.8937733338969186,0.8937733338969186,0.5283846371315954,,,,,,,,,2.5200000000000005,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,,1.3126877377517578,0.8447260846207972,1.0939064481264649,1.0939064481264649,1.0939064481264649,,1.6332155825574557,0.8407908535861306,1.0888103883716371,1.0888103883716371,,2.5200000000000005,0.8400000000000001,2.1,2.9400000000000004,3.9200000000000004,,2.5200000000000005,0.8400000000000001,2.5200000000000005,2.9400000000000004,3.9200000000000004,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,2.9400000000000004,,1.8200000000000003,0.8400000000000001,2.1,1.12,1.12,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,,3.22,0.8400000000000001,3.22,2.8000000000000003,2.8000000000000003,3.7800000000000002,3.22,,,2.5200000000000005,0.8400000000000001,2.5200000000000005,2.9400000000000004,2.9400000000000004,3.9200000000000004,2.1,,,2.24,0.8400000000000001,2.24,1.12,1.9600000000000002,1.9600000000000002,0.56,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.12,1.12,0.56,,,1.8200000000000003,0.8400000000000001,1.8200000000000003,1.12,1.9600000000000002,1.12,0.56,,,1.4000000000000001,0.8400000000000001,1.4000000000000001,1.12,1.12,1.12,0.56,
Coalesce time pred5 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8200000000000003,0.56,,1.8200000000000003,0.56,,,,,1.8200000000000003,0.56,,1.139053586063885,0.6596918851540952,1.139053586063885,0.8542901895479138,0.8542901895479138,0.46877618791793874,,,,,,,,,,,,,,,,1.8200000000000003,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,,0.8751251585011719,0.5068356507724784,0.6563438688758789,0.6563438688758789,0.6563438688758789,,,,,,,1.8200000000000003,0.56,1.54,2.1,2.8000000000000003,,1.8200000000000003,0.56,1.8200000000000003,2.1,2.8000000000000003,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,2.1,,1.2600000000000002,0.56,1.54,0.8400000000000001,0.8400000000000001,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,,,,,,,,,,,2.24,0.56,2.24,1.9600000000000002,1.9600000000000002,2.66,2.24,,,1.8200000000000003,0.56,1.8200000000000003,2.1,2.1,2.8000000000000003,1.54,,,1.54,0.56,1.54,0.8400000000000001,1.4000000000000001,1.4000000000000001,0.42000000000000004,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,,,1.2600000000000002,0.56,1.2600000000000002,0.8400000000000001,1.4000000000000001,0.8400000000000001,0.42000000000000004,,,0.9800000000000001,0.56,0.9800000000000001,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.42000000000000004,
Coalesce time pred6 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,0.42000000000000004,,1.12,0.42000000000000004,,,,,1.12,0.42000000000000004,,1.139053586063885,0.4397945901027301,1.139053586063885,0.5695267930319425,0.5695267930319425,0.3125174586119592,,,,,,,,,,,,,,,,1.12,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004,,0.6563438688758789,0.3378904338483189,0.43756257925058595,0.43756257925058595,0.43756257925058595,,,,,,,1.12,0.28,0.9800000000000001,1.2600000000000002,1.6800000000000002,,1.12,0.28,1.12,1.2600000000000002,1.6800000000000002,,0.7000000000000001,0.28,0.7000000000000001,0.42000000000000004,1.2600000000000002,,0.8400000000000001,0.42000000000000004,0.9800000000000001,0.42000000000000004,0.42000000000000004,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.42000000000000004,,,,,,,,,,,1.4000000000000001,0.28,1.4000000000000001,1.2600000000000002,1.2600000000000002,1.6800000000000002,1.4000000000000001,,,1.12,0.42000000000000004,1.12,1.2600000000000002,1.2600000000000002,1.8200000000000003,0.9800000000000001,,,0.9800000000000001,0.42000000000000004,0.9800000000000001,0.42000000000000004,0.8400000000000001,0.8400000000000001,0.28,,,0.8400000000000001,0.42000000000000004,0.8400000000000001,0.56,0.56,0.56,0.28,,,0.7000000000000001,0.28,0.7000000000000001,0.42000000000000004,0.8400000000000001,0.42000000000000004,0.28,,,0.56,0.42000000000000004,0.56,0.56,0.56,0.56,0.28,
Coalesce time pred7 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8400000000000001,0.28,,0.8400000000000001,0.28,,,,,0.8400000000000001,0.28,,,,,,,,,,,,,,,,,,,,,,,0.8400000000000001,,0.56,0.28,0.56,0.28,0.28,,,,,,,,,,,,,0.8400000000000001,0.28,0.7000000000000001,0.9800000000000001,1.2600000000000002,,0.8400000000000001,0.28,0.8400000000000001,0.9800000000000001,1.2600000000000002,,0.56,0.28,0.56,0.28,0.9800000000000001,,0.56,0.28,0.7000000000000001,0.28,0.28,,0.56,0.28,0.56,0.28,0.28,,,,,,,,,,,0.9800000000000001,0.28,0.9800000000000001,0.8400000000000001,0.8400000000000001,1.2600000000000002,0.9800000000000001,,,0.8400000000000001,0.28,0.8400000000000001,0.9800000000000001,0.9800000000000001,1.2600000000000002,0.7000000000000001,,,0.7000000000000001,0.28,0.7000000000000001,0.28,0.56,0.56,0.14,,,0.56,0.28,0.56,0.28,0.28,0.28,0.14,,,0.56,0.28,0.56,0.28,0.56,0.28,0.14,,,0.42000000000000004,0.28,0.42000000000000004,0.28,0.28,0.28,0.14,
Coalesce time pred8 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7000000000000001,0.14,,0.7000000000000001,0.14,,,,,0.7000000000000001,0.14,,,,,,,,,,,,,,,,,,,,,,,0.7000000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,,,,,,,,,,,,,0.7000000000000001,0.14,0.56,0.7000000000000001,0.9800000000000001,,0.7000000000000001,0.14,0.7000000000000001,0.7000000000000001,0.9800000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.7000000000000001,,0.42000000000000004,0.14,0.56,0.28,0.28,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,,,,,,,,,,,0.8400000000000001,0.14,0.8400000000000001,0.7000000000000001,0.7000000000000001,0.9800000000000001,0.8400000000000001,,,0.7000000000000001,0.14,0.7000000000000001,0.8400000000000001,0.8400000000000001,1.12,0.56,,,0.56,0.14,0.56,0.28,0.56,0.56,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.42000000000000004,0.28,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,
Coalesce time pred9 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.14,,0.56,0.14,,,,,0.56,0.14,,,,,,,,,,,,,,,,,,,,,,,0.56,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,,,,,,,,,,,,,0.56,0.14,0.42000000000000004,0.56,0.8400000000000001,,0.56,0.14,0.56,0.56,0.8400000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.7000000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.14,,,,,,,,,,,0.7000000000000001,0.14,0.7000000000000001,0.56,0.56,0.8400000000000001,0.7000000000000001,,,0.56,0.14,0.56,0.56,0.56,0.8400000000000001,0.42000000000000004,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.14,,,0.42000000000000004,0.14,0.42000000000000004,0.28,0.28,0.28,0.14,,,0.28,0.14,0.28,0.14,0.42000000000000004,0.14,0.14,,,0.28,0.14,0.28,0.28,0.28,0.28,0.14,
Coalesce time pred10 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,0.14,,0.42000000000000004,0.14,,,,,0.42000000000000004,0.14,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,,0.28,0.14,0.28,0.14,0.14,,,,,,,,,,,,,0.42000000000000004,0.14,0.42000000000000004,0.56,0.7000000000000001,,0.42000000000000004,0.14,0.42000000000000004,0.56,0.7000000000000001,,,,,,,,0.28,0.14,0.42000000000000004,0.14,0.14,,0.28,0.14,0.28,0.14,0.14,,,,,,,,,,,0.56,0.14,0.56,0.56,0.56,0.7000000000000001,0.56,,,0.42000000000000004,0.14,0.42000000000000004,0.56,0.56,0.7000000000000001,0.42000000000000004,,,0.42000000000000004,0.14,0.42000000000000004,0.14,0.28,0.28,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.28,0.14,0.28,0.14,0.28,0.14,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,
Coalesce time pred11 [s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,0.14,,0.42000000000000004,0.14,,,,,0.42000000000000004,0.14,,,,,,,,,,,,,,,,,,,,,,,0.42000000000000004,,0.28,0.14,0.28,0.14,0.14,,,,,,,,,,,,,0.42000000000000004,0.14,0.28,0.42000000000000004,0.56,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.56,,,,,,,,0.28,0.14,0.28,0.14,0.14,,0.28,0.14,0.28,0.14,0.14,,,,,,,,,,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.56,0.42000000000000004,,,0.42000000000000004,0.14,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.56,0.28,,,0.28,0.14,0.28,0.14,0.28,0.28,0.14,,,0.28,0.14,0.28,0.14,0.14,0.14,0.14,,,0.28,0.14,0.28,0.14,0.28,0.14,0.14,,,0.14,0.14,0.14,0.14,0.14,0.14,0.14,
Coalesce time bw0 [s],(undefined),9.9,10.0,9.9,10.0,10.0,10.0,(undefined),(undefined),9.9,10.0,10.0,10.0,10.0,10.0,(undefined),(undefined),9.9,10.0,10.0,10.0,10.0,10.0,(undefined),(undefined),9.9,10.0,(undefined),10.0,4.62,(undefined),10.0,4.62,(undefined),9.9,10.0,(undefined),10.0,4.62,(undefined),9.397192085027052,4.617843196078666,9.397192085027052,5.980031326835396,5.980031326835396,3.2814333154255713,(undefined),8.937733338969187,4.486177703891356,8.043960005072268,5.809526670329971,5.809526670329971,3.4345001413553704,(undefined),9.12203589064011,4.696088149566012,3.04067863021337,6.08135726042674,6.08135726042674,3.642688648104104,(undefined),10.0,(undefined),9.38,4.62,9.38,6.0200000000000005,6.0200000000000005,(undefined),7.219782557634668,4.561520856952305,5.907094819882911,5.907094819882911,5.907094819882911,(undefined),7.0772675244156416,4.203954267930653,5.444051941858186,5.444051941858186,(undefined),10.0,4.48,10.0,10.0,10.0,(undefined),10.0,4.48,10.0,10.0,10.0,(undefined),9.100000000000001,4.48,9.100000000000001,5.880000000000001,10.0,(undefined),9.24,4.62,10.0,6.0200000000000005,6.0200000000000005,(undefined),9.24,4.62,9.24,6.0200000000000005,6.0200000000000005,(undefined),9.9,10.0,9.9,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,4.48,10.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,4.62,10.0,10.0,10.0,10.0,10.0,(undefined),(undefined),10.0,4.62,10.0,6.0200000000000005,10.0,10.0,3.22,(undefined),(undefined),9.520000000000001,4.760000000000001,9.520000000000001,6.16,6.16,6.16,3.3600000000000003,(undefined),(undefined),9.100000000000001,4.48,9.100000000000001,5.880000000000001,9.8,5.880000000000001,3.22,(undefined),(undefined),7.5600000000000005,4.760000000000001,7.5600000000000005,6.16,6.16,6.16,3.3600000000000003,(undefined)
Coalesce time bw1 [s],,4.5,7.2,4.5,10.0,10.0,7.2,,,4.5,7.2,7.2,10.0,10.0,7.2,,,4.5,7.2,7.2,10.0,10.0,7.2,,,4.5,7.2,,8.82,3.08,,8.680000000000001,3.08,,4.5,7.2,,8.680000000000001,3.08,,6.264794723351368,3.0785621307191104,6.264794723351368,3.9866875512235977,3.9866875512235977,2.187622210283714,,5.809526670329971,3.1058153334632466,5.362640003381512,3.5750933355876744,3.5750933355876744,2.3777308670921795,,6.08135726042674,2.9350550934787574,2.2805089726600274,3.800848287766713,3.800848287766713,2.276680405065065,,8.82,,6.16,3.08,6.16,4.0600000000000005,4.0600000000000005,,4.813188371756445,3.04101390463487,3.9380632132552735,3.9380632132552735,3.9380632132552735,,4.3552415534865485,2.942767987551457,3.8108363593007297,3.8108363593007297,,8.4,2.9400000000000004,7.280000000000001,9.8,10.0,,8.4,2.9400000000000004,8.4,9.8,10.0,,6.0200000000000005,2.9400000000000004,6.0200000000000005,3.9200000000000004,9.8,,6.16,3.08,7.420000000000001,3.9200000000000004,3.9200000000000004,,6.16,3.08,6.16,3.9200000000000004,3.9200000000000004,,4.5,7.2,4.5,10.0,10.0,10.0,7.2,,,10.0,2.9400000000000004,10.0,9.66,9.66,10.0,10.0,,,8.680000000000001,3.08,8.680000000000001,10.0,10.0,10.0,7.420000000000001,,,7.420000000000001,3.08,7.420000000000001,3.9200000000000004,6.720000000000001,6.720000000000001,2.1,,,6.300000000000001,3.08,6.300000000000001,4.0600000000000005,4.0600000000000005,4.0600000000000005,2.24,,,6.0200000000000005,2.9400000000000004,6.0200000000000005,3.9200000000000004,6.44,3.9200000000000004,2.1,,,5.040000000000001,3.08,5.040000000000001,4.0600000000000005,4.0600000000000005,4.0600000000000005,2.24,
Coalesce time bw2 [s],,1.8,3.6,1.8,6.3,6.3,3.6,,,1.8,3.6,3.6,6.3,6.3,3.6,,,1.8,3.6,3.6,6.3,6.3,3.6,,,1.8,3.6,,6.580000000000001,2.24,,6.44,2.24,,1.8,3.6,,6.44,2.24,,4.55621434425554,2.1989729505136504,4.55621434425554,2.8476339651597127,2.8476339651597127,1.562587293059796,,4.468866669484593,2.0705435556421645,4.021980002536134,2.681320001690756,2.681320001690756,1.5851539113947863,,4.561017945320055,2.348044074783006,1.520339315106685,3.04067863021337,3.04067863021337,1.821344324052052,,6.580000000000001,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,,3.5005006340046876,2.196287820014073,2.8441567651288087,2.8441567651288087,2.8441567651288087,,3.2664311651149114,2.1019771339653266,2.722025970929093,2.722025970929093,,6.300000000000001,2.24,5.460000000000001,7.280000000000001,9.8,,6.300000000000001,2.24,6.300000000000001,7.280000000000001,9.8,,4.48,2.24,4.48,2.9400000000000004,7.280000000000001,,4.62,2.24,5.460000000000001,2.9400000000000004,2.9400000000000004,,4.62,2.24,4.62,2.9400000000000004,2.9400000000000004,,1.8,3.6,1.8,6.3,6.3,6.3,3.6,,,8.120000000000001,2.24,8.120000000000001,7.280000000000001,7.280000000000001,9.66,7.98,,,6.44,2.24,6.44,7.5600000000000005,7.5600000000000005,10.0,5.460000000000001,,,5.6000000000000005,2.24,5.6000000000000005,2.9400000000000004,5.040000000000001,5.040000000000001,1.54,,,4.760000000000001,2.3800000000000003,4.760000000000001,3.08,3.08,3.08,1.6800000000000002,,,4.48,2.24,4.48,2.9400000000000004,4.9,2.9400000000000004,1.54,,,3.7800000000000002,2.3800000000000003,3.7800000000000002,3.08,3.08,3.08,1.6800000000000002,
Coalesce time bw3 [s],,0.9,1.8,0.9,2.7,2.7,1.8,,,0.9,1.8,1.8,2.7,2.7,1.8,,,0.9,1.8,1.8,2.7,2.7,1.8,,,0.9,1.8,,4.340000000000001,1.54,,4.340000000000001,1.54,,0.9,1.8,,4.340000000000001,1.54,,3.132397361675684,1.5392810653595552,3.132397361675684,1.9933437756117989,1.9933437756117989,1.093811105141857,,2.681320001690756,1.3803623704281096,2.681320001690756,1.7875466677938372,1.7875466677938372,1.056769274263191,,3.04067863021337,1.174022037391503,0.7601696575533425,1.520339315106685,1.520339315106685,0.910672162026026,,4.340000000000001,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,,2.4065941858782227,1.520506952317435,1.9690316066276368,1.9690316066276368,1.9690316066276368,,2.1776207767432743,1.2611862803791958,1.6332155825574557,1.6332155825574557,,4.2,1.4000000000000001,3.6400000000000006,4.9,6.44,,4.2,1.4000000000000001,4.2,4.9,6.44,,2.9400000000000004,1.4000000000000001,2.9400000000000004,1.9600000000000002,4.9,,3.08,1.54,3.6400000000000006,1.9600000000000002,1.9600000000000002,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,,0.9,1.8,0.9,2.7,2.7,2.7,1.8,,,5.32,1.4000000000000001,5.32,4.760000000000001,4.760000000000001,6.44,5.32,,,4.340000000000001,1.54,4.340000000000001,5.040000000000001,5.040000000000001,6.720000000000001,3.6400000000000006,,,3.6400000000000006,1.54,3.6400000000000006,1.9600000000000002,3.3600000000000003,3.3600000000000003,0.9800000000000001,,,3.08,1.54,3.08,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.12,,,2.9400000000000004,1.4000000000000001,2.9400000000000004,1.9600000000000002,3.22,1.9600000000000002,0.9800000000000001,,,2.5200000000000005,1.54,2.5200000000000005,1.9600000000000002,1.9600000000000002,1.9600000000000002,1.12,
