,Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],Pulse (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],Pulse (Mid2) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],Pulse (Mid5b) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],Pulse (Mid1) [],Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],Pulse (Low) []
Max Baseline [per bin]0 [km],5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625
Max Baseline [per bin]1 [km],7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125,8.125
Max Baseline [per bin]2 [km],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Max Baseline [per bin]3 [km],15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Max Baseline [per bin]4 [km],25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Max Baseline [per bin]5 [km],35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,
Max Baseline [per bin]6 [km],55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,,,,,,,,,,,,
Max Baseline [per bin]7 [km],75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,,,,,,,,,,,,
Max Baseline [per bin]8 [km],90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,
Max Baseline [per bin]9 [km],110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,,,,,,,,,,,,
Max Baseline [per bin]10 [km],130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,,,,,,,,,,,,
Max Baseline [per bin]11 [km],150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,,,,,,,,,,,,
Baseline fraction [per bin]0 [%],61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,61.36469611761167,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759,46.30065759
Baseline fraction [per bin]1 [%],5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,5.165535461482508,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736,13.06774736
Baseline fraction [per bin]2 [%],2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,2.870317600823781,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002,14.783606060000002
Baseline fraction [per bin]3 [%],4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,4.989378791431951,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454,18.58770454
Baseline fraction [per bin]4 [%],6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,6.32609709181559,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445,7.26028445
Baseline fraction [per bin]5 [%],4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,4.637065441330837,,,,,,,,,,,,
Baseline fraction [per bin]6 [%],5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,5.735454121646075,,,,,,,,,,,,
Baseline fraction [per bin]7 [%],5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,5.5023055815791615,,,,,,,,,,,,
