,01c [bldta] [otf],01s [bldta] [otf],02A [bldta] [otf],02B [bldta] [otf],13c [bldta] [otf],13s [Bmax=40000] [bldta] [otf],14c [bldta] [otf],14s [bldta] [otf],15c [bldta] [otf],15s [Bmax=13000] [bldta] [otf],22 [bldta] [otf],27 [bldta] [otf],33 [bldta] [otf],37a [bldta] [otf],37b [bldta] [otf],37c [bldta] [otf],38a [bldta] [otf],38b [bldta] [otf],max_Band5_MID_continuum [bldta] [otf],max_Band5_MID_spectral [bldta] [otf],max_LOW_continuum [bldta] [otf],max_LOW_spectral [bldta] [otf],max_MID_continuum [bldta] [otf],max_MID_spectral [bldta] [otf]
Facets,4.0,1.0,3.0,3.0,16.0,1.0,15.0,1.0,14.0,1.0,1.0,17.0,17.0,16.0,16.0,15.0,1.0,1.0,1.0,1.0,4.0,1.0,20.0,5.0
Stations/antennas,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,512,512,197,197
Max Baseline [per bin]0 [m],4900,4900,4900,4900,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4900,4900,5000.0,5000.0
Max Baseline [per bin]1 [m],7100,7100,7100,7100,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7100,7100,7500.0,7500.0
Max Baseline [per bin]2 [m],10400,10400,10400,10400,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10400,10400,10000.0,10000.0
Max Baseline [per bin]3 [m],15100,15100,15100,15100,15000.0,15000.0,15000.0,15000.0,15000.0,13000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15100,15100,15000.0,15000.0
Max Baseline [per bin]4 [m],22100,22100,22100,22100,25000.0,25000.0,25000.0,25000.0,25000.0,,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,22100,22100,25000.0,25000.0
Max Baseline [per bin]5 [m],32200,32200,32200,32200,35000.0,35000.0,35000.0,35000.0,35000.0,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,32200,32200,35000.0,35000.0
Max Baseline [per bin]6 [m],47000,47000,47000,47000,55000.0,40000.0,55000.0,55000.0,55000.0,,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,47000,47000,55000.0,55000.0
Max Baseline [per bin]7 [m],80000,80000,80000,80000,75000.0,,75000.0,75000.0,75000.0,,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,80000,80000,75000.0,75000.0
Max Baseline [per bin]8 [m],,,,,90000.0,,90000.0,90000.0,90000.0,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,,90000.0,90000.0
Max Baseline [per bin]9 [m],,,,,110000.0,,110000.0,110000.0,110000.0,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,,,110000.0,110000.0
Max Baseline [per bin]10 [m],,,,,130000.0,,130000.0,130000.0,130000.0,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,,,130000.0,130000.0
Max Baseline [per bin]11 [m],,,,,150000.0,,150000.0,150000.0,150000.0,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,,,150000.0,150000.0
Baseline fraction [per bin]0,0.524239919747576,0.524239919747576,0.524239919747576,0.524239919747576,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.6148904201149844,0.524239919747576,0.524239919747576,0.6148904201149844,0.6148904201149844
Baseline fraction [per bin]1,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.079116159492088389,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.050619138909465761,0.079116159492088389,0.079116159492088389,0.050619138909465761,0.050619138909465761
Baseline fraction [per bin]2,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.059153457094084663,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.028392311305309354,0.059153457094084663,0.059153457094084663,0.028392311305309354,0.028392311305309354
Baseline fraction [per bin]3,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.091502783190849729,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.030526915685708523,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.050878192809514208,0.091502783190849729,0.091502783190849729,0.050878192809514208,0.050878192809514208
Baseline fraction [per bin]4,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.073959481192604051,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.071395264513350903,0.073959481192604051,0.073959481192604051,0.071395264513350903,0.071395264513350903
Baseline fraction [per bin]5,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.10568718038943128,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.03756282060702424,0.10568718038943128,0.10568718038943128,0.03756282060702424,0.03756282060702424
Baseline fraction [per bin]6,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.060915910793908408,0.057354541210725286,0.014338635302681322,0.057354541210725286,0.057354541210725286,0.057354541210725286,,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.057354541210725286,0.060915910793908408,0.060915910793908408,0.057354541210725286,0.057354541210725286
Baseline fraction [per bin]7,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.0054251080994574897,0.054815812710250551,,0.054815812710250551,0.054815812710250551,0.054815812710250551,,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.054815812710250551,0.0054251080994574897,0.0054251080994574897,0.054815812710250551,0.054815812710250551
Baseline fraction [per bin]8,,,,,0.017356613603245682,,0.017356613603245682,0.017356613603245682,0.017356613603245682,,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,0.017356613603245682,,,0.017356613603245682,0.017356613603245682
Baseline fraction [per bin]9,,,,,0.015180560602838761,,0.015180560602838761,0.015180560602838761,0.015180560602838761,,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,0.015180560602838761,,,0.015180560602838761,0.015180560602838761
Baseline fraction [per bin]10,,,,,0.0010880265302034607,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,0.0010880265302034607,,,0.0010880265302034607,0.0010880265302034607
Baseline fraction [per bin]11,,,,,0.00046629708308719751,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,0.00046629708308719751,,,0.00046629708308719751,0.00046629708308719751
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],9.278204913574044,17.181860951063044,12.370939884765392,12.370939884765392,0.532401224072921,3.943712770910526,0.37459952795545165,2.3880487372046404,0.369719952936311,2.192475334391248,0.5607419286200717,0.36352548478046853,0.36352548478046853,0.37976882399599854,0.37976882399599854,0.41199554941786437,0.7307795984658851,0.7307795984658851,0.6009380045137866,0.3338544469521037,8.486019793984992,15.714851470342577,0.7321382093282175,1.6269737985071502
PSF size [arcs],12.616855293763889,12.616855293763889,12.616855293763889,12.616855293763889,0.6536814113146615,2.4513052924299807,0.414812746432146,0.44199349217371975,0.398036867634397,5.007045878775813,0.05174479279247161,0.4656308809464686,0.4656308809464686,0.43004950575276385,0.43004950575276385,0.4656308809464686,0.06455411908949733,0.06455411908949733,0.052802819899117066,0.052802819899117066,11.531210745827075,11.531210745827075,1.026706652111203,1.026706652111203
Pixel size [arcs],2.523371058752778,2.523371058752778,2.523371058752778,2.523371058752778,0.1307362822629323,0.4902610584859961,0.0829625492864292,0.08839869843474395,0.07960737352687941,1.0014091757551624,0.01034895855849432,0.09312617618929371,0.09312617618929371,0.08600990115055276,0.08600990115055276,0.09312617618929371,0.012910823817899467,0.012910823817899467,0.010560563979823412,0.010560563979823412,2.3062421491654153,2.3062421491654153,0.20534133042224062,0.20534133042224062
Facet side length [pixels],13236.8711977603,24512.724440296854,17649.16159701373,17649.16159701373,14660.386340249652,28958.787832591905,16255.024854452247,97252.28545398785,16719.454136008022,7881.804356202797,195060.29825342697,14052.88822929402,14052.88822929402,15895.469569166085,15895.469569166085,15926.606659866557,203767.52030570322,203767.52030570322,204854.28812162802,113807.93784534889,13246.515015520514,24530.583362075024,12835.689474504881,28523.754387788627
Image side length [pixels],52947.4847910412,24512.724440296854,52947.4847910412,52947.4847910412,234566.1814439944,28958.787832591905,243825.37281678367,97252.28545398785,234072.35790411232,7881.804356202797,195060.29825342697,238899.09989799836,238899.09989799836,254327.5131066574,254327.5131066574,238899.09989799836,203767.52030570322,203767.52030570322,204854.28812162802,113807.93784534889,52986.060062082055,24530.583362075024,256713.7894900976,142618.77193894313
Epsilon (approx),0.6666666666666672,0.342997170285018,0.6666666666666672,0.6666666666666672,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.24373333911071637,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.4441757193189375,0.24373333911071637,0.6666666666666672,0.342997170285018,0.4441757193189375,0.24373333911071637
Qbw,2.2049999999999983,4.285749642711291,2.2049999999999983,2.2049999999999983,3.309501028678418,6.031181476294671,3.309501028678418,6.031181476294671,3.309501028678418,6.031181476294671,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,3.309501028678418,6.031181476294671,2.2049999999999983,4.285749642711291,3.309501028678418,6.031181476294671
Max subband ratio,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35
Number subbands,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,4.0,4.0
Station/antenna diameter,35,35,35,35,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,35,35,13.5,13.5
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,
Ionospheric timescale [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Coalesce time pred0 [s],1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Coalesce time pred1 [s],1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Coalesce time pred2 [s],1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Coalesce time pred3 [s],1.2,1.2,1.2,1.2,1.12,1.0500000000000003,0.9800000000000001,1.12,1.12,1.2,1.12,1.12,1.12,0.9800000000000001,0.9800000000000001,1.12,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,1.2,1.2,0.9800000000000001,0.9800000000000001
Coalesce time pred4 [s],1.2,1.2,1.2,1.2,0.56,0.5250000000000001,0.56,0.7000000000000001,0.56,1.2,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,1.2,1.2,0.56,0.56
Coalesce time pred5 [s],1.2,1.2,1.2,1.2,0.42000000000000004,0.5250000000000001,0.42000000000000004,0.42000000000000004,0.42000000000000004,1.2,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,1.2,1.2,0.42000000000000004,0.42000000000000004
Coalesce time pred6 [s],0.9,0.9,0.9,0.9,0.28,0.5250000000000001,0.28,0.28,0.28,1.2,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.9,0.9,0.28,0.28
Coalesce time pred7 [s],0.9,0.9,0.9,0.9,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.9,0.9,0.14,0.14
Coalesce time pred8 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred9 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred10 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time pred11 [s],,,,,0.14,0.5250000000000001,0.14,0.14,0.14,1.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,0.14,0.14
Coalesce time bw0 [s],10.0,10.0,10.0,10.0,10.0,3.150000000000001,10.0,3.5000000000000004,10.0,3.2307692307692313,3.3600000000000003,10.0,10.0,10.0,10.0,10.0,3.22,3.22,3.22,3.22,10.0,10.0,10.0,10.0
Coalesce time bw1 [s],10.0,8.1,10.0,10.0,10.0,2.1000000000000005,10.0,2.24,10.0,1.6153846153846156,2.24,10.0,10.0,10.0,10.0,10.0,2.1,2.1,2.1,2.1,10.0,8.1,10.0,8.75
Coalesce time bw2 [s],10.0,5.4,10.0,10.0,10.0,1.5750000000000004,10.0,1.6800000000000002,10.0,1.6153846153846156,1.6800000000000002,10.0,10.0,10.0,10.0,10.0,1.54,1.54,1.54,1.54,10.0,5.4,10.0,6.416666666666667
Coalesce time bw3 [s],10.0,3.6,9.000000000000002,9.000000000000002,10.0,1.0500000000000003,10.0,1.12,10.0,1.6153846153846156,1.12,10.0,10.0,10.0,10.0,10.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,10.0,3.6,10.0,4.083333333333334
Coalesce time bw4 [s],9.0,1.8,6.750000000000002,6.750000000000002,7.466666666666668,0.5250000000000001,7.000000000000001,0.7000000000000001,6.533333333333334,1.6153846153846156,0.56,7.9333333333333345,7.9333333333333345,7.466666666666668,7.466666666666668,7.000000000000001,0.56,0.56,0.56,0.56,9.0,1.8,9.333333333333334,2.3333333333333335
Coalesce time bw5 [s],6.0,1.8,4.500000000000001,4.500000000000001,5.6000000000000005,0.5250000000000001,5.250000000000001,0.42000000000000004,4.9,1.6153846153846156,0.42000000000000004,5.950000000000001,5.950000000000001,5.6000000000000005,5.6000000000000005,5.250000000000001,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,6.0,1.8,7.0,1.75
Coalesce time bw6 [s],3.0,0.9,2.2500000000000004,2.2500000000000004,3.733333333333334,0.5250000000000001,3.5000000000000004,0.28,3.266666666666667,1.6153846153846156,0.28,3.9666666666666672,3.9666666666666672,3.733333333333334,3.733333333333334,3.5000000000000004,0.28,0.28,0.28,0.28,3.0,0.9,4.666666666666667,1.1666666666666667
Coalesce time bw7 [s],3.0,0.9,2.2500000000000004,2.2500000000000004,1.866666666666667,0.5250000000000001,1.7500000000000002,0.14,1.6333333333333335,1.6153846153846156,0.14,1.9833333333333336,1.9833333333333336,1.866666666666667,1.866666666666667,1.7500000000000002,0.14,0.14,0.14,0.14,3.0,0.9,2.3333333333333335,0.5833333333333334
Coalesce time bw8 [s],,,,,1.866666666666667,0.5250000000000001,1.7500000000000002,0.14,1.6333333333333335,1.6153846153846156,0.14,1.9833333333333336,1.9833333333333336,1.866666666666667,1.866666666666667,1.7500000000000002,0.14,0.14,0.14,0.14,,,2.3333333333333335,0.5833333333333334
Coalesce time bw9 [s],,,,,1.866666666666667,0.5250000000000001,1.7500000000000002,0.14,1.6333333333333335,1.6153846153846156,0.14,1.9833333333333336,1.9833333333333336,1.866666666666667,1.866666666666667,1.7500000000000002,0.14,0.14,0.14,0.14,,,2.3333333333333335,0.5833333333333334
Coalesce time bw10 [s],,,,,1.866666666666667,0.5250000000000001,1.7500000000000002,0.14,1.6333333333333335,1.6153846153846156,0.14,1.9833333333333336,1.9833333333333336,1.866666666666667,1.866666666666667,1.7500000000000002,0.14,0.14,0.14,0.14,,,2.3333333333333335,0.5833333333333334
Coalesce time bw11 [s],,,,,1.866666666666667,0.5250000000000001,1.7500000000000002,0.14,1.6333333333333335,1.6153846153846156,0.14,1.9833333333333336,1.9833333333333336,1.866666666666667,1.866666666666667,1.7500000000000002,0.14,0.14,0.14,0.14,,,2.3333333333333335,0.5833333333333334
Combined Samples0,14.0,13.0,14.0,14.0,24.0,6.0,23.0,25.0,24.0,2.0,24.0,24.0,24.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0,14.0,13.0,23.0,23.0
Combined Samples1,9.0,9.0,9.0,9.0,16.0,4.0,15.0,16.0,16.0,1.0,16.0,16.0,16.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0,9.0,9.0,15.0,15.0
Combined Samples2,6.0,6.0,6.0,6.0,12.0,3.0,11.0,12.0,12.0,1.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,6.0,6.0,11.0,11.0
Combined Samples3,4.0,4.0,4.0,4.0,8.0,2.0,7.0,8.0,8.0,1.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,4.0,4.0,7.0,7.0
Combined Samples4,3.0,2.0,3.0,3.0,4.0,1.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
Combined Samples5,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
Combined Samples6,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
Combined Samples7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined Samples8,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples9,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples10,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Combined Samples11,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0
Number of frequencies predict ifft,25.0,25.0,25.0,25.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,35.0,20.0,20.0
Number of freqs for predict (de-gridding) convoution kernels gcf0,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf1,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf2,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf3,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf4,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf5,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
Number of freqs for predict (de-gridding) convoution kernels gcf6,23483.615124332395,25357.69099984863,23483.615124332395,23483.615124332395,21760.03326863552,5874.90211016006,26842.397673499825,5000.0,21488.724594920375,2500.0,21488.724594920375,48279.00153236485,48279.00153236485,65190.5312565323,65190.5312565323,48279.00153236485,54447.72758676212,54447.72758676212,55877.680875140846,65536.0,32975.4265816828,65536.0,65536.0,65536.0
