Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,1.7647,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
Pipeline,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img,Ingest,ICAL,RCAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Fast_Img
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max Baseline [m],65000,65000,65000,65000,65000,65000,65000,65000,65000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000,150000
Dump time [s],0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Observation Time [s],3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0
Snapshot Time [s],3600.0,31.74819981306483,31.748199817413408,33.07657470078996,27.380123796898282,17.46932440731193,54.46983196756668,3600.0,1.0,3600.0,86.03836229484196,86.03836690249852,74.74334800564358,80.86918237908603,65.10363348390939,202.15753637163505,3600.0,1.0,3600.0,154.39193073595538,154.391919445722,159.60641888273722,116.92562657436739,59.126937122648314,365.76801148275285,3600.0,1.0,3600.0,377.83341208796514,377.8334118691141,141.0903691742281,177.54614481920152,137.2487442216086,952.756538247347,3600.0,1.0,3600.0,832.7094208960802,832.7094479796538,310.8699939387102,391.16902933283563,302.41527229963845,1575.097215989943,3600.0,1.0,3600.0,314.64234148004596,314.6423414766722,122.14787913188971,154.24661468220415,119.0758543563372,1000.4748266312024,3600.0,1.0
Facets,1.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
Stations/antennas,512,512,512,512,512,512,512,512,512,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197
Max Baseline [per bin]0 [m],4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,4062.5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Max Baseline [per bin]1 [m],8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
Max Baseline [per bin]2 [m],16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,16250.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Max Baseline [per bin]3 [m],32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Max Baseline [per bin]4 [m],65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,65000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0,25000.0
Max Baseline [per bin]5 [m],,,,,,,,,,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0,35000.0
Max Baseline [per bin]6 [m],,,,,,,,,,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0,55000.0
Max Baseline [per bin]7 [m],,,,,,,,,,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0,75000.0
Max Baseline [per bin]8 [m],,,,,,,,,,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
Max Baseline [per bin]9 [m],,,,,,,,,,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0
Max Baseline [per bin]10 [m],,,,,,,,,,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0,130000.0
Max Baseline [per bin]11 [m],,,,,,,,,,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0,150000.0
Baseline fraction [per bin]0,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.493626883,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115,0.614890420115
Baseline fraction [per bin]1,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.1332914111,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095,0.0506191389095
Baseline fraction [per bin]2,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.1365062318,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053,0.0283923113053
Baseline fraction [per bin]3,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.1710107961,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095,0.0508781928095
Baseline fraction [per bin]4,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.065564678,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134,0.0713952645134
Baseline fraction [per bin]5,,,,,,,,,,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607,0.037562820607
Baseline fraction [per bin]6,,,,,,,,,,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107,0.0573545412107
Baseline fraction [per bin]7,,,,,,,,,,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103,0.0548158127103
Baseline fraction [per bin]8,,,,,,,,,,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032,0.0173566136032
Baseline fraction [per bin]9,,,,,,,,,,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028,0.0151805606028
Baseline fraction [per bin]10,,,,,,,,,,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302,0.0010880265302
Baseline fraction [per bin]11,,,,,,,,,,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087,0.000466297083087
-- Image --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facet FoV size [deg],15.714851470342577,10.183223752781991,10.183223752781991,9.428910882205546,9.428910882205546,15.714851470342577,15.714851470342577,15.714851470342577,14.14336632330832,6.779057493779791,3.137735182835218,3.137735182835218,2.711622997511917,2.711622997511917,2.711622997511917,6.779057493779791,6.779057493779791,6.101151744401812,2.786421469679102,1.5046675936267153,1.5046675936267153,1.114568587871641,1.6718528818074612,2.786421469679102,2.786421469679102,2.786421469679102,2.507779322711192,0.6193744393640873,0.40135463670792865,0.40135463670792865,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.6193744393640873,0.5574369954276787,0.2759147902299983,0.17879278406903895,0.17879278406903895,0.2759147902299983,0.2759147902299983,0.2759147902299983,0.2759147902299983,0.2759147902299983,0.2483233112069985,0.5638583048068884,0.36538018151486373,0.36538018151486373,0.5638583048068884,0.5638583048068884,0.5638583048068884,0.5638583048068884,0.5638583048068884,0.5074724743261995
