,max_LOW_continuum [],max_LOW_spectral [],max_MID_continuum [],max_MID_spectral [],max_Band5_MID_continuum [],max_Band5_MID_spectral [],01ICAL [],01DPrepA [],01DPrepB [],01DPrepC [],02AICAL [],02ADPrepA [],02ADPrepB [],02ADPrepC [],02BICAL [],02BDPrepA [],02BDPrepB [],02BDPrepC [],13ICAL [] [Bmax=40000],13DPrepA [] [Bmax=40000],13DPrepB [] [Bmax=40000],13DPrepC [] [Bmax=40000],14ICAL [] [Bmax=25000],14DPrepA [] [Bmax=25000],14DPrepB [] [Bmax=25000],14DPrepC [] [Bmax=25000],15ICAL [] [Bmax=15000],15DPrepA [] [Bmax=15000],15DPrepB [] [Bmax=15000],15DPrepC [] [Bmax=15000],22ICAL [],22DPrepA [],22DPrepB [],27ICAL [] [Bmax=50000],27DPrepA [] [Bmax=50000],27DPrepB [] [Bmax=50000],32ICAL [] [Bmax=20000],32DPrepB [] [Bmax=20000],37aICAL [],37aDPrepA [],37aDPrepB [],37bICAL [],37bDPrepA [],37bDPrepB [],37cICAL [] [Bmax=95000],37cDPrepA [] [Bmax=95000],37cDPrepB [] [Bmax=95000],38aICAL [],38aDPrepA [],38aDPrepB [],38bICAL [],38bDPrepA [],38bDPrepB []
Visibilities kernel pred2 [1],8.122385829202665,293.1070016425209,5.251461755438881,610.3549324016702,11.685445020952189,2124.024532974836,8.827984863797482,8.27767272705881,8.22654879283385,35.57814935106216,7.461447275650334,8.27767272705881,8.22654879283385,35.57814935106216,7.461447275650334,8.27767272705881,8.22654879283385,35.57814935106216,28.408874813769497,67.51604856905622,60.239369383833726,224.14608287155033,14.646722123071633,75.33829385287618,6.8945364533475235,594.9500183830414,20.693939044288005,63.70521898470934,58.30108316876415,343.1531269219461,27.912248800596966,67.68422361271908,67.68422361271908,69.01846800584637,70.10475439600386,65.66313637331197,11.453384980944362,68.69860618743095,6.937567079677167,12.13956601436571,6.700073754345022,16.080652669439555,12.13956601436571,6.700073754345022,21.69358756440617,73.50050952571617,11.9838752753113,38.39814761772958,73.54851312831137,71.02656594727617,30.401964591951145,73.54851312831137,71.02656594727617
Visibilities kernel pred3 [1],28.06849983294667,464.50343143410686,9.480590743630492,768.3022747184424,26.192808403084623,3011.716440877389,30.816753404255355,29.471715523119865,29.001208427730827,123.43212017263112,22.825710780415275,29.471715523119865,29.001208427730827,123.43212017263112,22.825710780415275,29.471715523119865,29.001208427730827,123.43212017263112,58.66437345647449,133.77552585582012,112.9070714497488,273.2246224300407,26.119761363440215,159.61184391027157,9.246802384147681,701.0903427556784,32.994883670357744,177.5979199192167,155.2404615047753,686.3062538438923,62.79886045768067,152.2836896733694,150.29723103029485,141.98093962792456,145.75022802096214,131.03333338320925,25.923138015382257,152.94480529392382,15.173986952695376,26.741564343243496,15.004226733583312,35.502628528217365,26.741564343243496,15.004226733583312,47.97641919254595,160.73372632467903,26.134074578540467,86.87130171593743,163.35972758260027,153.69921746660583,67.65145338341858,163.35972758260027,153.69921746660583
Visibilities kernel pred4 [1],96.0255482468391,647.0453677848498,25.545666410670968,972.1395123488755,70.46868027902813,4344.36867957694,106.90898460302047,103.09360378280584,103.09360378280584,348.71725610862956,97.16768140386232,103.09360378280584,103.09360378280584,348.71725610862956,97.16768140386232,103.09360378280584,103.09360378280584,348.71725610862956,159.42835975144806,333.6070463753533,260.60449269005,421.8688937004121,61.80951878261013,468.888645064596,15.053648887595084,997.4449752525992,,,,,177.11664350244195,444.14719650729256,401.6619492447445,381.0061613430121,399.01659527177566,334.0312630845334,42.72479917223095,274.05018949705203,38.897281259458175,72.22291054939788,39.2676940781573,94.2897881464144,72.22291054939788,39.2676940781573,133.02038080085066,439.0437550910435,68.98955308834701,242.97067643674967,461.80787937777814,410.93736918068834,185.74893673385594,461.80787937777814,410.93736918068834
Visibilities kernel pred5 [1],,,47.766839797955996,1027.854002787406,133.14968360086544,4904.1345711637805,,,,,,,,,,,,,298.5981905674998,539.7257387997186,402.4699261330783,642.0150707415295,,,,,,,,,346.4880472944043,815.0019219040092,685.1867020775832,796.4389994938219,847.8864901767901,672.7141591273111,,,71.16479968056194,137.03413324012152,73.17918585385809,173.8380735756106,137.03413324012152,73.17918585385809,242.47154411189135,763.8382446755414,127.8268392584304,452.3993215285651,831.6483200779206,701.2804534317195,364.103332328785,831.6483200779206,701.2804534317195
Visibilities kernel pred6 [1],,,106.4543607067984,1113.316352105322,321.9427603919797,5646.498157802659,,,,,,,,,,,,,323.2175735481857,866.7214764188958,635.912084527169,1009.5965426451878,,,,,,,,,747.784317543981,2370.7494952553407,1816.7592368598969,1466.8482709999992,1590.0886607955447,1194.1252043238474,,,150.78407214183554,334.0657565995038,172.43344859832425,399.582338023761,334.0657565995038,172.43344859832425,542.8066625619009,2087.5129154586457,298.12787956386086,1056.9956237772392,2416.4732091704727,1860.4843756481268,800.9574471472573,2416.4732091704727,1860.4843756481268
Visibilities kernel pred7 [1],,,176.43929828031324,1770.1369397263247,520.011473374085,9228.311496643102,,,,,,,,,,,,,,,,,,,,,,,,,1399.1452623074542,4477.504676252741,3200.3562394260057,,,,,,237.54386150447314,543.5382973623574,282.68752783345053,655.3404558294031,543.5382973623574,282.68752783345053,940.1189503508984,3752.9255170444508,467.53254092716344,2225.991718066582,4559.376744869029,3278.569838882639,1523.9973251971203,4559.376744869029,3278.569838882639
Visibilities kernel pred8 [1],,,238.80821111144587,1544.3628216320242,822.5064918519442,8149.469932254476,,,,,,,,,,,,,,,,,,,,,,,,,2098.2008764735006,5065.8776012710005,3478.245875912724,,,,,,332.9891082224368,863.7738017115605,405.21732051665776,876.9794119293273,863.7738017115605,405.21732051665776,1315.017072015695,4123.360644265722,726.3201815993378,2524.2928472294902,5155.254628428818,3563.920258705152,2310.1492359072763,5155.254628428818,3563.920258705152
Visibilities kernel pred9 [1],,,339.9887768298047,1327.603991959129,1163.1988400560165,7080.934650146663,,,,,,,,,,,,,,,,,,,,,,,,,2362.0428945934173,11481.13305711699,7560.830202161003,,,,,,423.5324985904859,1228.0691267468476,527.193087701867,1222.7695947282814,1228.0691267468476,527.193087701867,1357.143798810478,4233.104018250342,747.7567892299564,4301.886400024364,11675.414275274688,7748.460366769442,2632.2397271423197,11675.414275274688,7748.460366769442
Visibilities kernel pred10 [1],,,428.50017032049345,1169.714882238091,1277.9442665369427,6284.04410720993,,,,,,,,,,,,,,,,,,,,,,,,,3876.954883750237,12630.203001112723,8057.203730401193,,,,,,542.7908326257243,1355.1205356402984,687.120400999088,1771.1304610173615,1355.1205356402984,687.120400999088,,,,4742.555211783567,12836.48466196477,8258.208537988745,4363.298242451945,12836.48466196477,8258.208537988745
Visibilities kernel pred11 [1],,,546.6406430794448,1049.0103313496368,1835.7937474610517,5665.155142432872,,,,,,,,,,,,,,,,,,,,,,,,,4163.397505486729,13622.228296057432,8477.98493745301,,,,,,715.076840240561,1953.6713415625634,916.9235715279483,1891.0705494212064,1953.6713415625634,916.9235715279483,,,,10248.127228450392,13838.134700817425,8690.306230794517,4723.725001362259,13838.134700817425,8690.306230794517
Visibilities kernel bw0 [1],2.1090908786039333,124.49640248603976,2.6755236383677246,386.0971529945227,5.290309128116326,1118.7831840263193,2.2787395201583323,2.1136899788819825,2.6519810911049007,4.061174301969186,1.9030576914794044,2.1136899788819825,2.6519810911049007,4.061174301969186,1.9030576914794044,2.1136899788819825,2.6519810911049007,4.061174301969186,6.9491900867546,16.84999863873223,20.35878379472479,126.40555907080066,10.554062888289707,18.31195346935001,3.5421373015911612,363.9539812354492,12.443298184117234,16.362663504520185,16.362663504520185,171.57656346097306,6.875126632547234,16.529435631749745,20.7641196013289,18.03155013745418,18.13917902194913,17.678775963960387,4.328594585762162,19.211791332416237,4.562242081429114,4.460269199834148,6.439897677423353,5.143373047833446,4.460269199834148,6.439897677423353,6.004950111318351,18.80600343068099,6.431928722374439,9.526793515193836,18.145008749610156,17.913543537248398,7.667903495757219,18.145008749610156,17.913543537248398
Visibilities kernel bw1 [1],4.173373009454511,164.70901196899342,3.9782282732497505,510.9654063365655,6.579643832213093,1637.5877998119627,4.516571993455898,4.2015586025016205,4.192079124979369,9.460487097592678,3.7838269525269057,4.2015586025016205,4.192079124979369,9.460487097592678,3.7838269525269057,4.2015586025016205,4.192079124979369,9.460487097592678,15.633838121041267,37.52353393043835,34.562237160920894,174.25353494970108,11.40961819898566,43.558115649034654,5.464978046948938,460.544007823263,15.421827907477695,39.267394751741264,37.13089994731909,274.52250153755693,15.35264108883187,36.76093845005305,36.76093845005305,38.26986788724146,38.676110246209205,36.97598150389875,6.799982088366332,38.98833709239378,5.0321229203471285,6.797296919038527,6.395081637764263,9.119662982101765,6.797296919038527,6.395081637764263,12.29357956067361,41.860685301136094,6.739795962812941,21.523674267534354,41.60021963957415,40.64791253356193,17.182269007723697,41.60021963957415,40.64791253356193
Visibilities kernel bw2 [1],8.122385829202665,293.1070016425209,5.251461755438881,610.3549324016702,11.685445020952189,2124.024532974836,8.827984863797482,8.27767272705881,8.22654879283385,35.57814935106216,7.461447275650334,8.27767272705881,8.22654879283385,35.57814935106216,7.461447275650334,8.27767272705881,8.22654879283385,35.57814935106216,28.408874813769497,67.51604856905622,60.239369383833726,224.14608287155033,14.646722123071633,75.33829385287618,6.8945364533475235,594.9500183830414,20.693939044288005,63.70521898470934,58.30108316876415,343.1531269219461,27.912248800596966,67.68422361271908,67.68422361271908,69.01846800584637,70.10475439600386,65.66313637331197,11.453384980944362,68.69860618743095,6.937567079677167,12.13956601436571,6.700073754345022,16.080652669439555,12.13956601436571,6.700073754345022,21.69358756440617,73.50050952571617,11.9838752753113,38.39814761772958,73.54851312831137,71.02656594727617,30.401964591951145,73.54851312831137,71.02656594727617
Visibilities kernel bw3 [1],28.06849983294667,464.50343143410686,9.480590743630492,768.3022747184424,26.192808403084623,3011.716440877389,30.816753404255355,29.471715523119865,29.001208427730827,123.43212017263112,22.825710780415275,29.471715523119865,29.001208427730827,123.43212017263112,22.825710780415275,29.471715523119865,29.001208427730827,123.43212017263112,58.66437345647449,133.77552585582012,112.9070714497488,273.2246224300407,26.119761363440215,159.61184391027157,9.246802384147681,701.0903427556784,32.994883670357744,177.5979199192167,155.2404615047753,686.3062538438923,62.79886045768067,152.2836896733694,150.29723103029485,141.98093962792456,145.75022802096214,131.03333338320925,25.923138015382257,152.94480529392382,15.173986952695376,26.741564343243496,15.004226733583312,35.502628528217365,26.741564343243496,15.004226733583312,47.97641919254595,160.73372632467903,26.134074578540467,86.87130171593743,163.35972758260027,153.69921746660583,67.65145338341858,163.35972758260027,153.69921746660583
Visibilities kernel bw4 [1],96.0255482468391,647.0453677848498,25.545666410670968,972.1395123488755,70.46868027902813,4344.36867957694,106.90898460302047,103.09360378280584,103.09360378280584,348.71725610862956,97.16768140386232,103.09360378280584,103.09360378280584,348.71725610862956,97.16768140386232,103.09360378280584,103.09360378280584,348.71725610862956,159.42835975144806,333.6070463753533,260.60449269005,421.8688937004121,61.80951878261013,468.888645064596,15.053648887595084,997.4449752525992,,,,,177.11664350244195,444.14719650729256,401.6619492447445,381.0061613430121,399.01659527177566,334.0312630845334,42.72479917223095,274.05018949705203,38.897281259458175,72.22291054939788,39.2676940781573,94.2897881464144,72.22291054939788,39.2676940781573,133.02038080085066,439.0437550910435,68.98955308834701,242.97067643674967,461.80787937777814,410.93736918068834,185.74893673385594,461.80787937777814,410.93736918068834
Visibilities kernel bw5 [1],,,47.766839797955996,1027.854002787406,133.14968360086544,4904.1345711637805,,,,,,,,,,,,,298.5981905674998,539.7257387997186,402.4699261330783,642.0150707415295,,,,,,,,,346.4880472944043,815.0019219040092,685.1867020775832,796.4389994938219,847.8864901767901,672.7141591273111,,,71.16479968056194,137.03413324012152,73.17918585385809,173.8380735756106,137.03413324012152,73.17918585385809,242.47154411189135,763.8382446755414,127.8268392584304,452.3993215285651,831.6483200779206,701.2804534317195,364.103332328785,831.6483200779206,701.2804534317195
Visibilities kernel bw6 [1],,,106.4543607067984,1113.316352105322,321.9427603919797,5646.498157802659,,,,,,,,,,,,,323.2175735481857,866.7214764188958,635.912084527169,1009.5965426451878,,,,,,,,,747.784317543981,2370.7494952553407,1816.7592368598969,1466.8482709999992,1590.0886607955447,1194.1252043238474,,,150.78407214183554,334.0657565995038,172.43344859832425,399.582338023761,334.0657565995038,172.43344859832425,542.8066625619009,2087.5129154586457,298.12787956386086,1056.9956237772392,2416.4732091704727,1860.4843756481268,800.9574471472573,2416.4732091704727,1860.4843756481268
Visibilities kernel bw7 [1],,,176.43929828031324,1770.1369397263247,520.011473374085,9228.311496643102,,,,,,,,,,,,,,,,,,,,,,,,,1399.1452623074542,4477.504676252741,3200.3562394260057,,,,,,237.54386150447314,543.5382973623574,282.68752783345053,655.3404558294031,543.5382973623574,282.68752783345053,940.1189503508984,3752.9255170444508,467.53254092716344,2225.991718066582,4559.376744869029,3278.569838882639,1523.9973251971203,4559.376744869029,3278.569838882639
Visibilities kernel bw8 [1],,,238.80821111144587,1544.3628216320242,822.5064918519442,8149.469932254476,,,,,,,,,,,,,,,,,,,,,,,,,2098.2008764735006,5065.8776012710005,3478.245875912724,,,,,,332.9891082224368,863.7738017115605,405.21732051665776,876.9794119293273,863.7738017115605,405.21732051665776,1315.017072015695,4123.360644265722,726.3201815993378,2524.2928472294902,5155.254628428818,3563.920258705152,2310.1492359072763,5155.254628428818,3563.920258705152
Visibilities kernel bw9 [1],,,339.9887768298047,1327.603991959129,1163.1988400560165,7080.934650146663,,,,,,,,,,,,,,,,,,,,,,,,,2362.0428945934173,11481.13305711699,7560.830202161003,,,,,,423.5324985904859,1228.0691267468476,527.193087701867,1222.7695947282814,1228.0691267468476,527.193087701867,1357.143798810478,4233.104018250342,747.7567892299564,4301.886400024364,11675.414275274688,7748.460366769442,2632.2397271423197,11675.414275274688,7748.460366769442
Visibilities kernel bw10 [1],,,428.50017032049345,1169.714882238091,1277.9442665369427,6284.04410720993,,,,,,,,,,,,,,,,,,,,,,,,,3876.954883750237,12630.203001112723,8057.203730401193,,,,,,542.7908326257243,1355.1205356402984,687.120400999088,1771.1304610173615,1355.1205356402984,687.120400999088,,,,4742.555211783567,12836.48466196477,8258.208537988745,4363.298242451945,12836.48466196477,8258.208537988745
Visibilities kernel bw11 [1],,,546.6406430794448,1049.0103313496368,1835.7937474610517,5665.155142432872,,,,,,,,,,,,,,,,,,,,,,,,,4163.397505486729,13622.228296057432,8477.98493745301,,,,,,715.076840240561,1953.6713415625634,916.9235715279483,1891.0705494212064,1953.6713415625634,916.9235715279483,,,,10248.127228450392,13838.134700817425,8690.306230794517,4723.725001362259,13838.134700817425,8690.306230794517
Oversampling used pred0 [1],2.090826505734576,54.990592621007025,2.640624336850898,63.853614643502276,5.116000009272803,63.999998573253485,2.2560077079013254,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,6.634403631341023,14.916482308305824,17.555145285134564,55.25743857148125,9.80037803906945,16.033641368752733,3.472352706924113,63.7925353122085,11.38919159102906,14.538330427379577,14.538330427379577,59.707651089820196,6.567454641805533,14.668065471154378,17.850675871033275,15.8213587570824,15.902951330198626,15.552951950027172,4.217389123405717,16.708577551985357,4.43695886795048,4.3412294164590435,6.172451724484148,4.979584552786278,4.3412294164590435,6.172451724484148,5.774990121524773,16.405394347405654,6.165194030389642,8.916416132942707,15.90736685175684,15.731739836737226,7.280038587319083,15.90736685175684,15.731739836737226
Oversampling used pred1 [1],4.07107267893884,59.21738835281166,3.8866152692553726,63.97951336453555,6.299577054408466,63.999999999596334,4.394104001102768,4.097667835343927,4.088724576514075,8.858866869150866,3.702296055315138,4.097667835343927,4.088724576514075,8.858866869150866,3.702296055315138,4.097667835343927,4.088724576514075,8.858866869150866,13.967348622551285,28.556174024934506,26.864082241297375,59.88484618713839,10.525743932426465,31.76946390003326,5.277752510821365,63.954676442628156,13.800019795170385,29.51632120824862,28.336333820699004,63.151593391234094,13.745293156042628,28.127940621937014,28.127940621937014,28.970325583474263,29.193717814387384,28.249218559059734,6.499448557876029,29.364442311054425,4.876089752962571,6.497016980352569,6.1316238498087685,8.56210554866498,6.497016980352569,6.1316238498087685,11.26499829700822,30.89626657539965,6.444921824265535,18.39941352513246,30.760199288645325,30.25793607276271,15.172651424851573,30.760199288645325,30.25793607276271
Oversampling used pred2 [1],7.684553848908941,63.366864366189176,5.079964799056825,63.99571743979448,10.757522668594454,63.99999999999981,8.30686852932741,7.822105771630262,7.776857727144169,27.453490324798075,7.095322227637638,7.822105771630262,7.776857727144169,27.453490324798075,7.095322227637638,7.822105771630262,7.776857727144169,27.453490324798075,23.085276676527094,41.8991460197822,39.215660281080005,62.12435883190046,13.183491363456618,44.460682094725556,6.585007525133555,63.99454161425663,17.79964212761037,40.532169837503744,38.44745771651312,63.712120950519974,22.764026216594388,41.957602258972315,41.957602258972315,42.4159285062463,42.782031658704916,41.244734433115724,10.56258862659432,42.30692880247077,6.623902284240685,11.136936401942982,6.40890643356304,14.318172377519858,11.136936401942982,6.40890643356304,18.52127098480856,43.88691050021931,11.007163837954607,29.041020922915806,43.90210980487408,43.08782827582672,24.349558123979378,43.90210980487408,43.08782827582672
Oversampling used pred3 [1],22.8653707147907,63.95741625910916,8.87632175524466,63.99964401266313,21.632168356739847,64.0,24.607720309965345,23.764407606076198,23.465166108332454,54.838316101117115,19.324929373562895,23.764407606076198,23.465166108332454,54.838316101117115,19.324929373562895,23.764407606076198,23.465166108332454,54.838316101117115,38.59323216182183,56.21547064121594,53.1866420407563,63.134073981587335,21.583401593440954,58.81764913056257,8.672994285054614,63.99897405167733,25.93604097069533,60.09597667305399,58.44831836209884,63.9987050883261,40.1947960132889,58.18369501418402,57.998864881377116,57.15911873377063,57.553376764761744,55.87193104435988,21.45185526125769,58.243937235408985,13.603701989914363,21.996733788682356,13.468790023213984,27.40999864767207,21.996733788682356,13.468790023213984,33.935853732533985,58.90840579746916,21.592961625299672,47.705904325233675,59.114675167592395,58.31191895411972,41.94622374270071,59.114675167592395,58.31191895411972
Oversampling used pred4 [1],49.893460678925074,63.99759695439272,21.198172095047617,63.99998563501601,42.90328900638923,64.0,52.11541442370077,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,58.80265268783877,63.6654201689518,62.94368070214279,63.91666268312149,39.82099444599237,63.960257839498674,13.508104058139693,63.99999035659642,,,,,60.06627443996631,63.94132288627663,63.88543726176508,63.84139492198272,63.88056377059446,63.66764795195974,31.343703203425115,63.145259297546716,29.314739994773113,43.478134925349714,29.51648376045307,49.502534498046685,43.478134925349714,29.51648376045307,56.12234207170877,63.93641226648167,42.40609769261037,62.60555827499578,63.955569639659984,63.90100691680899,60.56628583856474,63.955569639659984,63.90100691680899
Oversampling used pred5 [1],,,33.83646214992815,63.99999402620804,56.13836707749698,64.0,,,,,,,,,,,,,63.41931556553248,63.986975336363784,63.88688575828255,63.9973988442919,,,,,,,,,63.72685005093856,63.99982937768229,63.99868205515435,63.99977144246477,63.99989834603705,63.99839600779953,,,43.133303598601714,56.60487768486073,43.78487388221242,59.857833144188525,56.60487768486073,43.78487388221242,62.59455405349933,63.99961808567694,55.45094809403437,63.94847370011144,63.99986872438757,63.99897711870208,63.79302270287227,63.99986872438757,63.99897711870208
Oversampling used pred6 [1],,,52.03002046193046,63.99999844497704,63.59795305983545,64.0,,,,,,,,,,,,,63.60594415582887,63.99992443792992,63.99713643356029,63.99999203619505,,,,,,,,,63.99950822599405,63.99999999999999,63.99999999997598,63.99999999406006,63.99999999914712,63.999999564437225,,,58.044699340222394,63.667828441944984,59.765185262451546,63.881623163578304,63.667828441944984,59.765185262451546,63.98759220039058,63.99999999999966,63.41499868633196,63.99999622481554,64.0,63.999999999987935,63.9997871410271,64.0,63.999999999987935
Oversampling used pred7 [1],,,60.0240884966681,63.99999999994994,63.98223354636123,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.999999982748314,64.0,64.0,,,,,,62.48114379208817,63.987734343168185,63.25396369623811,63.99789123402953,63.987734343168185,63.25396369623811,63.99997621476955,64.0,63.95939996155211,63.999999999999964,64.0,64.0,63.99999999758501,64.0,64.0
Oversampling used pred8 [1],,,62.51108729132886,63.999999998247624,63.99984839661537,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.999999999999716,64.0,64.0,,,,,,63.66214830751782,63.999920847571175,63.891675500292806,63.99993570969717,63.999920847571175,63.891675500292806,63.999999935103695,64.0,63.999310446595395,64.0,64.0,64.0,63.99999999999999,64.0,64.0
Oversampling used pred9 [1],,,63.69741151724797,63.99999994677292,63.9999992911256,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999999,64.0,64.0,,,,,,63.91881768832436,63.99999974479225,63.98413344513728,63.99999972257882,63.99999974479225,63.98413344513728,63.999999966573,64.0,63.99950801275115,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred10 [1],,,63.92492671879566,63.99999936026028,63.99999988364726,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.987589106796555,63.999999965490765,63.9987215850282,63.999999999950724,63.999999965490765,63.9987215850282,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred11 [1],,,63.98831920100889,63.99999571892357,63.9999999999822,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99917687481145,63.99999999999722,63.999965727135304,63.999999999992546,63.99999999999722,63.999965727135304,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw0 [1],2.090826505734576,54.990592621007025,2.640624336850898,63.853614643502276,5.116000009272803,63.999998573253485,2.2560077079013254,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,1.8896245481337388,2.0953103178687655,2.6178707355163056,3.9650879356167223,6.634403631341023,14.916482308305824,17.555145285134564,55.25743857148125,9.80037803906945,16.033641368752733,3.472352706924113,63.7925353122085,11.38919159102906,14.538330427379577,14.538330427379577,59.707651089820196,6.567454641805533,14.668065471154378,17.850675871033275,15.8213587570824,15.902951330198626,15.552951950027172,4.217389123405717,16.708577551985357,4.43695886795048,4.3412294164590435,6.172451724484148,4.979584552786278,4.3412294164590435,6.172451724484148,5.774990121524773,16.405394347405654,6.165194030389642,8.916416132942707,15.90736685175684,15.731739836737226,7.280038587319083,15.90736685175684,15.731739836737226
Oversampling used bw1 [1],4.07107267893884,59.21738835281166,3.8866152692553726,63.97951336453555,6.299577054408466,63.999999999596334,4.394104001102768,4.097667835343927,4.088724576514075,8.858866869150866,3.702296055315138,4.097667835343927,4.088724576514075,8.858866869150866,3.702296055315138,4.097667835343927,4.088724576514075,8.858866869150866,13.967348622551285,28.556174024934506,26.864082241297375,59.88484618713839,10.525743932426465,31.76946390003326,5.277752510821365,63.954676442628156,13.800019795170385,29.51632120824862,28.336333820699004,63.151593391234094,13.745293156042628,28.127940621937014,28.127940621937014,28.970325583474263,29.193717814387384,28.249218559059734,6.499448557876029,29.364442311054425,4.876089752962571,6.497016980352569,6.1316238498087685,8.56210554866498,6.497016980352569,6.1316238498087685,11.26499829700822,30.89626657539965,6.444921824265535,18.39941352513246,30.760199288645325,30.25793607276271,15.172651424851573,30.760199288645325,30.25793607276271
Oversampling used bw2 [1],7.684553848908941,63.366864366189176,5.079964799056825,63.99571743979448,10.757522668594454,63.99999999999981,8.30686852932741,7.822105771630262,7.776857727144169,27.453490324798075,7.095322227637638,7.822105771630262,7.776857727144169,27.453490324798075,7.095322227637638,7.822105771630262,7.776857727144169,27.453490324798075,23.085276676527094,41.8991460197822,39.215660281080005,62.12435883190046,13.183491363456618,44.460682094725556,6.585007525133555,63.99454161425663,17.79964212761037,40.532169837503744,38.44745771651312,63.712120950519974,22.764026216594388,41.957602258972315,41.957602258972315,42.4159285062463,42.782031658704916,41.244734433115724,10.56258862659432,42.30692880247077,6.623902284240685,11.136936401942982,6.40890643356304,14.318172377519858,11.136936401942982,6.40890643356304,18.52127098480856,43.88691050021931,11.007163837954607,29.041020922915806,43.90210980487408,43.08782827582672,24.349558123979378,43.90210980487408,43.08782827582672
Oversampling used bw3 [1],22.8653707147907,63.95741625910916,8.87632175524466,63.99964401266313,21.632168356739847,64.0,24.607720309965345,23.764407606076198,23.465166108332454,54.838316101117115,19.324929373562895,23.764407606076198,23.465166108332454,54.838316101117115,19.324929373562895,23.764407606076198,23.465166108332454,54.838316101117115,38.59323216182183,56.21547064121594,53.1866420407563,63.134073981587335,21.583401593440954,58.81764913056257,8.672994285054614,63.99897405167733,25.93604097069533,60.09597667305399,58.44831836209884,63.9987050883261,40.1947960132889,58.18369501418402,57.998864881377116,57.15911873377063,57.553376764761744,55.87193104435988,21.45185526125769,58.243937235408985,13.603701989914363,21.996733788682356,13.468790023213984,27.40999864767207,21.996733788682356,13.468790023213984,33.935853732533985,58.90840579746916,21.592961625299672,47.705904325233675,59.114675167592395,58.31191895411972,41.94622374270071,59.114675167592395,58.31191895411972
Oversampling used bw4 [1],49.893460678925074,63.99759695439272,21.198172095047617,63.99998563501601,42.90328900638923,64.0,52.11541442370077,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,50.144922792377734,51.37942763540333,51.37942763540333,63.736272985495866,58.80265268783877,63.6654201689518,62.94368070214279,63.91666268312149,39.82099444599237,63.960257839498674,13.508104058139693,63.99999035659642,,,,,60.06627443996631,63.94132288627663,63.88543726176508,63.84139492198272,63.88056377059446,63.66764795195974,31.343703203425115,63.145259297546716,29.314739994773113,43.478134925349714,29.51648376045307,49.502534498046685,43.478134925349714,29.51648376045307,56.12234207170877,63.93641226648167,42.40609769261037,62.60555827499578,63.955569639659984,63.90100691680899,60.56628583856474,63.955569639659984,63.90100691680899
Oversampling used bw5 [1],,,33.83646214992815,63.99999402620804,56.13836707749698,64.0,,,,,,,,,,,,,63.41931556553248,63.986975336363784,63.88688575828255,63.9973988442919,,,,,,,,,63.72685005093856,63.99982937768229,63.99868205515435,63.99977144246477,63.99989834603705,63.99839600779953,,,43.133303598601714,56.60487768486073,43.78487388221242,59.857833144188525,56.60487768486073,43.78487388221242,62.59455405349933,63.99961808567694,55.45094809403437,63.94847370011144,63.99986872438757,63.99897711870208,63.79302270287227,63.99986872438757,63.99897711870208
Oversampling used bw6 [1],,,52.03002046193046,63.99999844497704,63.59795305983545,64.0,,,,,,,,,,,,,63.60594415582887,63.99992443792992,63.99713643356029,63.99999203619505,,,,,,,,,63.99950822599405,63.99999999999999,63.99999999997598,63.99999999406006,63.99999999914712,63.999999564437225,,,58.044699340222394,63.667828441944984,59.765185262451546,63.881623163578304,63.667828441944984,59.765185262451546,63.98759220039058,63.99999999999966,63.41499868633196,63.99999622481554,64.0,63.999999999987935,63.9997871410271,64.0,63.999999999987935
Oversampling used bw7 [1],,,60.0240884966681,63.99999999994994,63.98223354636123,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.999999982748314,64.0,64.0,,,,,,62.48114379208817,63.987734343168185,63.25396369623811,63.99789123402953,63.987734343168185,63.25396369623811,63.99997621476955,64.0,63.95939996155211,63.999999999999964,64.0,64.0,63.99999999758501,64.0,64.0
Oversampling used bw8 [1],,,62.51108729132886,63.999999998247624,63.99984839661537,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.999999999999716,64.0,64.0,,,,,,63.66214830751782,63.999920847571175,63.891675500292806,63.99993570969717,63.999920847571175,63.891675500292806,63.999999935103695,64.0,63.999310446595395,64.0,64.0,64.0,63.99999999999999,64.0,64.0
