,max_LOW_continuum [!otf] [blcoal] [spbf],max_LOW_spectral [!otf] [blcoal] [spbf],max_MID_continuum [!otf] [blcoal] [spbf],max_MID_spectral [!otf] [blcoal] [spbf],max_Band5_MID_continuum [!otf] [blcoal] [spbf],max_Band5_MID_spectral [!otf] [blcoal] [spbf],01ICAL [!otf] [blcoal] [spbf],01DPrepA [!otf] [blcoal] [spbf],01DPrepB [!otf] [blcoal] [spbf],01DPrepC [!otf] [blcoal] [spbf],02AICAL [!otf] [blcoal] [spbf],02ADPrepA [!otf] [blcoal] [spbf],02ADPrepB [!otf] [blcoal] [spbf],02ADPrepC [!otf] [blcoal] [spbf],02BICAL [!otf] [blcoal] [spbf],02BDPrepA [!otf] [blcoal] [spbf],02BDPrepB [!otf] [blcoal] [spbf],02BDPrepC [!otf] [blcoal] [spbf],13ICAL [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepA [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepB [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepC [!otf] [blcoal] [spbf] [Bmax=40000],14ICAL [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepA [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepB [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepC [!otf] [blcoal] [spbf] [Bmax=25000],15ICAL [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepA [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepB [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepC [!otf] [blcoal] [spbf] [Bmax=15000],22ICAL [!otf] [blcoal] [spbf],22DPrepA [!otf] [blcoal] [spbf],22DPrepB [!otf] [blcoal] [spbf],27ICAL [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepA [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepB [!otf] [blcoal] [spbf] [Bmax=50000],32ICAL [!otf] [blcoal] [spbf] [Bmax=20000],32DPrepB [!otf] [blcoal] [spbf] [Bmax=20000],37aICAL [!otf] [blcoal] [spbf],37aDPrepA [!otf] [blcoal] [spbf],37aDPrepB [!otf] [blcoal] [spbf],37bICAL [!otf] [blcoal] [spbf],37bDPrepA [!otf] [blcoal] [spbf],37bDPrepB [!otf] [blcoal] [spbf],37cICAL [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepA [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepB [!otf] [blcoal] [spbf] [Bmax=95000],38aICAL [!otf] [blcoal] [spbf],38aDPrepA [!otf] [blcoal] [spbf],38aDPrepB [!otf] [blcoal] [spbf],38bICAL [!otf] [blcoal] [spbf],38bDPrepA [!otf] [blcoal] [spbf],38bDPrepB [!otf] [blcoal] [spbf]
Kernel time backward0 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward1 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward2 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward3 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward4 [s],10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward5 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward6 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward7 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward8 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward9 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward10 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward11 [s],,,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0 [1],1.9009290153299452,112.69683143043659,2.4133983197906455,361.8194402439818,4.767783248940592,1018.35073541656,2.0535388502151215,1.904162267724604,3.1440230757203507,3.6659096238183873,1.7142582487181852,1.904162267724604,3.1440230757203507,3.6659096238183873,1.7142582487181852,1.904162267724604,3.1440230757203507,3.6659096238183873,6.535079033681797,15.651786984958852,18.640621850294142,116.31722792466894,9.583459373608164,16.588906581626187,3.230387302438948,359.5283170725837,11.37616646888409,15.426585664190451,14.962754176434094,171.57656346097306,6.649859239047229,16.000250216195848,19.887784880939776,15.710165249445623,15.786061214350898,15.45897973114567,16.709187765831047,17.544701089228546,4.120613055066783,4.019376762897361,16.545126404223318,4.638014823776097,4.019376762897361,16.545126404223318,5.414117112394893,16.972109484125436,16.668487857963516,8.5849447280572,16.352269211499877,16.18280621082037,6.9094014705904545,16.352269211499877,16.18280621082037
Visibilities kernel pred1 [1],3.76870920823377,150.4357652969856,3.5943165009085014,486.50499441765965,5.935234821749268,1502.115491941859,4.077031319447302,3.789160074977987,6.16336985617543,8.58049145554742,3.411586895271359,3.789160074977987,6.16336985617543,8.58049145554742,3.411586895271359,3.789160074977987,6.16336985617543,8.58049145554742,14.44471641640574,34.27445723804949,31.985179176569194,162.39245588054146,10.425793766364036,39.64897931799321,5.0277919219517,444.19729984743475,14.24166368400991,36.124211034950385,34.281537820653575,274.52250153755693,14.784916747263905,35.451711003501835,34.77897342909851,34.76047488830244,35.061088279445784,33.7889763949663,33.195175636109035,35.94738607932213,4.556953771272219,6.1306112294564645,36.18256598797343,8.234980885033616,6.1306112294564645,36.18256598797343,11.097979871442112,37.85488639505891,36.655771398971694,19.41203882698618,37.5236152539311,36.82254423328945,15.494818211623882,37.5236152539311,36.82254423328945
Visibilities kernel pred2 [1],7.372323357050855,272.7696264162619,4.7535388513804495,587.6175558153941,10.552277066868296,1963.288203042046,8.004723979763927,7.487309543084011,18.57858405885562,32.64483894074989,6.744452516543306,7.487309543084011,18.57858405885562,32.64483894074989,6.744452516543306,7.487309543084011,18.57858405885562,32.64483894074989,25.951412359428836,62.0675318324237,56.301651344896975,211.1978302096504,13.471732865027604,68.93273073947417,6.397299385914454,580.1152163242352,19.293241420604012,58.56492597438804,54.34927632426026,343.1531269219461,26.742638294898686,64.98833488944285,63.13163921582131,62.957249367106336,63.770423572758865,60.39666929474185,57.36503560041313,63.92886036137764,6.301047130110022,10.959785921562386,62.31514253733151,14.543852358051119,10.959785921562386,62.31514253733151,19.61237045422062,66.61967030140714,63.5054053725688,34.66484540090659,66.41019224048338,64.54195592870366,27.441442878887244,66.41019224048338,64.54195592870366
Visibilities kernel pred3 [1],25.78811152724102,444.4376805889489,8.61784783103377,749.6814900485927,23.71148796174532,2822.494731025157,28.25167499542608,26.861502442931815,76.67421025777138,115.85191090910749,20.767764236311727,26.861502442931815,76.67421025777138,115.85191090910749,20.767764236311727,26.861502442931815,76.67421025777138,115.85191090910749,54.11407138510008,124.52124309715988,107.2519778090353,261.76325173432633,24.329340468992093,147.59118607409962,8.709256342923092,692.0373536037894,31.26123168174342,165.3725433497082,147.14028140221686,686.3062538438923,59.446614677441474,144.71632522783676,137.50603110510633,130.66941816542558,133.56078971789924,122.04100885454564,123.76931963912355,144.62954249264385,13.870771322772395,24.19843734346336,130.90592401532618,32.22647581686602,24.19843734346336,130.90592401532618,43.51864379265397,146.43086288783914,134.99385742889186,78.60304910237691,147.8600762820062,140.60451535680681,61.19426256721987,147.8600762820062,140.60451535680681
Visibilities kernel pred4 [1],90.25759571754618,635.0350442710396,23.437246154885234,959.8064483653875,64.16279233566314,4153.875204137512,99.88993628062082,95.81092401827544,336.47566016065014,336.7884281076634,89.7135580417565,95.81092401827544,336.47566016065014,336.7884281076634,89.7135580417565,95.81092401827544,336.47566016065014,336.7884281076634,149.732243729088,316.9327345274183,252.6728941611594,411.8748026056119,58.76125982786026,441.8906716137175,14.47729099309182,994.4465101258066,,,,,162.82295756540955,411.55962197760124,372.47731122170114,356.55420456889425,371.0354553221831,317.4196400769802,216.82329787226064,262.4090674187237,36.02899124066015,65.71087991040896,331.6322691905138,86.29287077563403,65.71087991040896,331.6322691905138,121.58175632816398,404.3484814270455,349.0442292749534,221.02014918807114,420.34904219717544,381.01860392328007,168.87095141638338,420.34904219717544,381.01860392328007
Visibilities kernel pred5 [1],,,44.2326976844872,1019.7626393124507,121.99736793456832,4747.749238384897,,,,,,,,,,,,,284.5043862333742,520.1310031597046,394.6050495105793,632.7388530129676,,,,,,,,,318.3141871025121,746.0017081508062,643.044233271397,755.5309637954116,798.5693955380827,648.1195407064806,,,66.71253096174969,125.42750267206289,542.4269722889121,160.4478650912617,125.42750267206289,542.4269722889121,223.3957114439157,710.8366222532267,579.6111716627767,413.9435854491965,761.6315057330896,658.0223973565988,332.875160639819,761.6315057330896,658.0223973565988
Visibilities kernel pred6 [1],,,100.1993071832516,1108.9560994502745,298.66307679592666,5539.402914555617,,,,,,,,,,,,,309.7777531312789,839.7705589023858,625.7986118609494,997.9967803241088,,,,,,,,,696.5077555610367,2195.899113042684,1735.9659970232544,1412.3392977158176,1520.1557260649054,1165.4714788895697,,,144.00887292711093,309.5094976169867,1359.9958667385404,374.60623063871714,309.5094976169867,1359.9958667385404,507.66462038881883,1976.4788239149216,1480.9337625946987,978.6312645862724,2240.102224807839,1777.3772581076503,740.6700684735656,2240.102224807839,1777.3772581076503
Visibilities kernel pred7 [1],,,168.1868405376661,1766.0360356635813,487.79165038058034,9111.796577738629,,,,,,,,,,,,,,,,,,,,,,,,,1318.8872589702048,4191.7913609783745,3094.3859213826026,,,,,,229.75691881694712,509.25564821282234,2318.207549847407,622.2803794218744,509.25564821282234,2318.207549847407,890.3980631045363,3598.14618795077,2550.915218701349,2083.339346051162,4272.999657746905,3169.385113164198,1424.322011072109,4272.999657746905,3169.385113164198
Visibilities kernel pred8 [1],,,229.33028479969062,1541.8020950371686,777.1215328203859,8069.761947555665,,,,,,,,,,,,,,,,,,,,,,,,,1992.928480697739,4775.8256010964205,3384.0180530459525,,,,,,324.263162200643,815.3440382378151,2478.807994042933,839.2333300853925,815.3440382378151,2478.807994042933,1255.2166217370657,3981.1550359209596,2741.3383330397087,2379.4601475321283,4865.946283492453,3466.7318701291224,2174.4557565909427,4865.946283492453,3466.7318701291224
Visibilities kernel pred9 [1],,,329.02882286926564,1326.1316929138618,1108.0302502398265,7029.307079258727,,,,,,,,,,,,,,,,,,,,,,,,,2262.600126073064,10910.245734784428,7400.27472334965,,,,,,415.181437136179,1169.2568917616547,5307.084821449737,1179.9572017935707,1169.2568917616547,5307.084821449737,1298.4290403503235,4095.239070507933,2797.3084390101717,4088.5776462206118,11109.772969984271,7582.648226351785,2498.2236456034275,11109.772969984271,7582.648226351785
Visibilities kernel pred10 [1],,,417.1418085951901,1168.825323568389,1225.5664582851844,6248.529937298805,,,,,,,,,,,,,,,,,,,,,,,,,3739.303001047441,12081.66785364926,7919.956961669528,,,,,,534.6459287198229,1299.6289288956875,5596.048167615155,1720.3554702584977,1299.6289288956875,5596.048167615155,,,,4538.588504501769,12296.699404778663,8116.294988212523,4170.285135913913,12296.699404778663,8116.294988212523
Visibilities kernel pred11 [1],,,534.5936191455273,1048.4612754042548,1770.3744781542296,5639.615672031206,,,,,,,,,,,,,,,,,,,,,,,,,4038.058642601192,13102.121476748354,8359.949121787553,,,,,,706.8649321196433,1885.1296986982366,5843.2006909857755,1846.4211643532412,1885.1296986982366,5843.2006909857755,,,,9864.093123458217,13329.927788344436,8568.107523429051,4541.554461806757,13329.927788344436,8568.107523429051
Visibilities kernel bw0 [1],1.9009290153299452,112.69683143043659,2.4133983197906455,361.8194402439818,4.767783248940592,1018.35073541656,2.0535388502151215,1.904162267724604,3.1440230757203507,3.6659096238183873,1.7142582487181852,1.904162267724604,3.1440230757203507,3.6659096238183873,1.7142582487181852,1.904162267724604,3.1440230757203507,3.6659096238183873,6.535079033681797,15.651786984958852,18.640621850294142,116.31722792466894,9.583459373608164,16.588906581626187,3.230387302438948,359.5283170725837,11.37616646888409,15.426585664190451,14.962754176434094,171.57656346097306,6.649859239047229,16.000250216195848,19.887784880939776,15.710165249445623,15.786061214350898,15.45897973114567,16.709187765831047,17.544701089228546,4.120613055066783,4.019376762897361,16.545126404223318,4.638014823776097,4.019376762897361,16.545126404223318,5.414117112394893,16.972109484125436,16.668487857963516,8.5849447280572,16.352269211499877,16.18280621082037,6.9094014705904545,16.352269211499877,16.18280621082037
Visibilities kernel bw1 [1],3.76870920823377,150.4357652969856,3.5943165009085014,486.50499441765965,5.935234821749268,1502.115491941859,4.077031319447302,3.789160074977987,6.16336985617543,8.58049145554742,3.411586895271359,3.789160074977987,6.16336985617543,8.58049145554742,3.411586895271359,3.789160074977987,6.16336985617543,8.58049145554742,14.44471641640574,34.27445723804949,31.985179176569194,162.39245588054146,10.425793766364036,39.64897931799321,5.0277919219517,444.19729984743475,14.24166368400991,36.124211034950385,34.281537820653575,274.52250153755693,14.784916747263905,35.451711003501835,34.77897342909851,34.76047488830244,35.061088279445784,33.7889763949663,33.195175636109035,35.94738607932213,4.556953771272219,6.1306112294564645,36.18256598797343,8.234980885033616,6.1306112294564645,36.18256598797343,11.097979871442112,37.85488639505891,36.655771398971694,19.41203882698618,37.5236152539311,36.82254423328945,15.494818211623882,37.5236152539311,36.82254423328945
Visibilities kernel bw2 [1],7.372323357050855,272.7696264162619,4.7535388513804495,587.6175558153941,10.552277066868296,1963.288203042046,8.004723979763927,7.487309543084011,18.57858405885562,32.64483894074989,6.744452516543306,7.487309543084011,18.57858405885562,32.64483894074989,6.744452516543306,7.487309543084011,18.57858405885562,32.64483894074989,25.951412359428836,62.0675318324237,56.301651344896975,211.1978302096504,13.471732865027604,68.93273073947417,6.397299385914454,580.1152163242352,19.293241420604012,58.56492597438804,54.34927632426026,343.1531269219461,26.742638294898686,64.98833488944285,63.13163921582131,62.957249367106336,63.770423572758865,60.39666929474185,57.36503560041313,63.92886036137764,6.301047130110022,10.959785921562386,62.31514253733151,14.543852358051119,10.959785921562386,62.31514253733151,19.61237045422062,66.61967030140714,63.5054053725688,34.66484540090659,66.41019224048338,64.54195592870366,27.441442878887244,66.41019224048338,64.54195592870366
Visibilities kernel bw3 [1],25.78811152724102,444.4376805889489,8.61784783103377,749.6814900485927,23.71148796174532,2822.494731025157,28.25167499542608,26.861502442931815,76.67421025777138,115.85191090910749,20.767764236311727,26.861502442931815,76.67421025777138,115.85191090910749,20.767764236311727,26.861502442931815,76.67421025777138,115.85191090910749,54.11407138510008,124.52124309715988,107.2519778090353,261.76325173432633,24.329340468992093,147.59118607409962,8.709256342923092,692.0373536037894,31.26123168174342,165.3725433497082,147.14028140221686,686.3062538438923,59.446614677441474,144.71632522783676,137.50603110510633,130.66941816542558,133.56078971789924,122.04100885454564,123.76931963912355,144.62954249264385,13.870771322772395,24.19843734346336,130.90592401532618,32.22647581686602,24.19843734346336,130.90592401532618,43.51864379265397,146.43086288783914,134.99385742889186,78.60304910237691,147.8600762820062,140.60451535680681,61.19426256721987,147.8600762820062,140.60451535680681
Visibilities kernel bw4 [1],90.25759571754618,635.0350442710396,23.437246154885234,959.8064483653875,64.16279233566314,4153.875204137512,99.88993628062082,95.81092401827544,336.47566016065014,336.7884281076634,89.7135580417565,95.81092401827544,336.47566016065014,336.7884281076634,89.7135580417565,95.81092401827544,336.47566016065014,336.7884281076634,149.732243729088,316.9327345274183,252.6728941611594,411.8748026056119,58.76125982786026,441.8906716137175,14.47729099309182,994.4465101258066,,,,,162.82295756540955,411.55962197760124,372.47731122170114,356.55420456889425,371.0354553221831,317.4196400769802,216.82329787226064,262.4090674187237,36.02899124066015,65.71087991040896,331.6322691905138,86.29287077563403,65.71087991040896,331.6322691905138,121.58175632816398,404.3484814270455,349.0442292749534,221.02014918807114,420.34904219717544,381.01860392328007,168.87095141638338,420.34904219717544,381.01860392328007
Visibilities kernel bw5 [1],,,44.2326976844872,1019.7626393124507,121.99736793456832,4747.749238384897,,,,,,,,,,,,,284.5043862333742,520.1310031597046,394.6050495105793,632.7388530129676,,,,,,,,,318.3141871025121,746.0017081508062,643.044233271397,755.5309637954116,798.5693955380827,648.1195407064806,,,66.71253096174969,125.42750267206289,542.4269722889121,160.4478650912617,125.42750267206289,542.4269722889121,223.3957114439157,710.8366222532267,579.6111716627767,413.9435854491965,761.6315057330896,658.0223973565988,332.875160639819,761.6315057330896,658.0223973565988
Visibilities kernel bw6 [1],,,100.1993071832516,1108.9560994502745,298.66307679592666,5539.402914555617,,,,,,,,,,,,,309.7777531312789,839.7705589023858,625.7986118609494,997.9967803241088,,,,,,,,,696.5077555610367,2195.899113042684,1735.9659970232544,1412.3392977158176,1520.1557260649054,1165.4714788895697,,,144.00887292711093,309.5094976169867,1359.9958667385404,374.60623063871714,309.5094976169867,1359.9958667385404,507.66462038881883,1976.4788239149216,1480.9337625946987,978.6312645862724,2240.102224807839,1777.3772581076503,740.6700684735656,2240.102224807839,1777.3772581076503
Visibilities kernel bw7 [1],,,168.1868405376661,1766.0360356635813,487.79165038058034,9111.796577738629,,,,,,,,,,,,,,,,,,,,,,,,,1318.8872589702048,4191.7913609783745,3094.3859213826026,,,,,,229.75691881694712,509.25564821282234,2318.207549847407,622.2803794218744,509.25564821282234,2318.207549847407,890.3980631045363,3598.14618795077,2550.915218701349,2083.339346051162,4272.999657746905,3169.385113164198,1424.322011072109,4272.999657746905,3169.385113164198
Visibilities kernel bw8 [1],,,229.33028479969062,1541.8020950371686,777.1215328203859,8069.761947555665,,,,,,,,,,,,,,,,,,,,,,,,,1992.928480697739,4775.8256010964205,3384.0180530459525,,,,,,324.263162200643,815.3440382378151,2478.807994042933,839.2333300853925,815.3440382378151,2478.807994042933,1255.2166217370657,3981.1550359209596,2741.3383330397087,2379.4601475321283,4865.946283492453,3466.7318701291224,2174.4557565909427,4865.946283492453,3466.7318701291224
Visibilities kernel bw9 [1],,,329.02882286926564,1326.1316929138618,1108.0302502398265,7029.307079258727,,,,,,,,,,,,,,,,,,,,,,,,,2262.600126073064,10910.245734784428,7400.27472334965,,,,,,415.181437136179,1169.2568917616547,5307.084821449737,1179.9572017935707,1169.2568917616547,5307.084821449737,1298.4290403503235,4095.239070507933,2797.3084390101717,4088.5776462206118,11109.772969984271,7582.648226351785,2498.2236456034275,11109.772969984271,7582.648226351785
Visibilities kernel bw10 [1],,,417.1418085951901,1168.825323568389,1225.5664582851844,6248.529937298805,,,,,,,,,,,,,,,,,,,,,,,,,3739.303001047441,12081.66785364926,7919.956961669528,,,,,,534.6459287198229,1299.6289288956875,5596.048167615155,1720.3554702584977,1299.6289288956875,5596.048167615155,,,,4538.588504501769,12296.699404778663,8116.294988212523,4170.285135913913,12296.699404778663,8116.294988212523
Visibilities kernel bw11 [1],,,534.5936191455273,1048.4612754042548,1770.3744781542296,5639.615672031206,,,,,,,,,,,,,,,,,,,,,,,,,4038.058642601192,13102.121476748354,8359.949121787553,,,,,,706.8649321196433,1885.1296986982366,5843.2006909857755,1846.4211643532412,1885.1296986982366,5843.2006909857755,,,,9864.093123458217,13329.927788344436,8568.107523429051,4541.554461806757,13329.927788344436,8568.107523429051
Oversampling used pred0 [1],1.8875423776844258,53.15078038174531,2.386806665596204,63.78544273780377,4.629448893870169,63.99999306179746,2.0366413702794404,1.8907049649289291,3.0916737351505006,3.590218935097198,1.704678135078467,1.8907049649289291,3.0916737351505006,3.590218935097198,1.704678135078467,1.8907049649289291,3.0916737351505006,3.590218935097198,6.259067394034503,13.981489109158723,16.2812731944449,53.75204824887289,8.965550474979032,14.714246639320692,3.1744585148314073,63.77755984816039,10.497565749366387,13.803780980702761,13.435776065232702,59.707651089820196,6.363345608403733,14.255225078993469,17.209361645713948,14.027453082782522,14.087146426292293,13.829382218158393,14.807516876869613,15.450549924198462,4.021258084097461,3.92555739215247,14.680254077893252,4.507992827586143,3.92555739215247,14.680254077893252,5.230698548891631,15.010781430767011,14.775976519399187,8.093295562998499,14.530233233767312,14.398033783570447,6.598446778660865,14.530233233767312,14.398033783570447
Oversampling used pred1 [1],3.687938691017955,58.011943208759305,3.5220700633917588,63.96988618479191,5.71102970476403,63.99999999659141,3.980078100463338,3.7073601211527887,5.920071773976048,8.089374591877672,3.3477826127487162,3.7073601211527887,5.920071773976048,8.089374591877672,3.3477826127487162,3.7073601211527887,5.920071773976048,8.089374591877672,13.021573525282449,26.695398043637695,25.325941046517315,59.03968761688634,9.690782633828718,29.722923619675164,4.872057003582455,63.94136916691544,12.858296499217452,27.766427260291685,26.699557556208916,63.151593391234094,13.293965018469173,27.380646553392246,26.990619970977832,26.979836767676346,27.154682202230674,26.409091666986065,26.055915792803326,27.665386920547604,4.4319981205099666,5.89010092545945,27.799710423237343,7.78432319236186,5.89010092545945,27.799710423237343,10.262658369736755,28.740647281193986,28.068479794665507,16.85747940749267,28.556219418217204,28.162726453248645,13.857690384266235,28.556219418217204,28.162726453248645
Oversampling used pred2 [1],7.015397290023763,63.12784695792816,4.616129050141865,63.99387347728162,9.79885372084182,63.99999999999761,7.58010566772996,7.118494113393304,16.234629537223107,25.725629044088954,6.449142360110216,7.118494113393304,16.234629537223107,25.725629044088954,6.449142360110216,7.118494113393304,16.234629537223107,25.725629044088954,21.470796646191054,39.91904122389695,37.63006382272413,61.70010317709663,12.234421263871866,42.38676555421737,6.1336449190277165,63.993105135542145,16.769199610614173,38.55341057266953,36.80668206831682,63.712120950519974,21.99744418282561,41.00162441362196,40.31922605416508,40.25410088821131,40.55625576532455,39.2769804398946,38.06799227429579,40.61467778417794,6.045863723534609,10.145580953920572,40.01276115462912,13.101100386211748,10.145580953920572,40.01276115462912,17.005974695190105,41.584947173476834,40.458206458767165,26.924042128424496,41.51087925944079,40.83938233152266,22.45714914764058,41.51087925944079,40.83938233152266
Oversampling used pred3 [1],21.361282692668993,63.941590700315174,8.122257225294625,63.999522701575266,19.943799336261584,64.0,22.98386111538673,22.075995854558514,44.867465747663175,53.676675652040586,17.85332462836159,22.075995854558514,44.867465747663175,53.676675652040586,17.85332462836159,22.075995854558514,44.867465747663175,53.676675652040586,36.705768754103715,54.99411640116929,52.17943688998902,62.96278218155555,20.370394512933252,57.737594354480926,8.202637260114074,63.998816842061906,24.88249568229618,59.267104186215256,57.69296670044308,63.9987050883261,38.90429854065373,57.44755190647844,56.659631687043536,55.8252147994871,56.189100813524824,54.63538980747981,54.88683878536605,57.43859064851294,12.55870651383372,20.280358909327248,55.8556057971278,25.472624584512246,20.280358909327248,55.8556057971278,31.749422626245995,57.62210833029352,56.36340649021745,45.43989829178966,57.76405693729598,57.00921408450155,39.58557876205746,57.76405693729598,57.00921408450155
Oversampling used pred4 [1],48.552081846569074,63.99709660774092,19.753115395276993,63.999982555593164,40.70067184550118,64.0,50.72635209396711,49.845700203512656,63.680198799263316,63.68177013302729,48.419160121982436,49.845700203512656,63.680198799263316,63.68177013302729,48.419160121982436,49.845700203512656,63.680198799263316,63.68177013302729,57.94523079725437,63.564946712269695,62.80314156876452,63.90245762053682,38.631968278389365,63.93920021061654,13.047718550576725,63.99998989030349,,,,,59.07320327668434,63.90197225785071,63.81859489079546,63.766893490764524,63.81442862775381,63.5682699270976,61.89509067655533,62.973277779250445,27.712052254881606,41.26183728326309,63.654851415172125,47.55679781813831,41.26183728326309,63.654851415172125,54.567415003037866,63.890183132521074,63.73762750201968,62.02971367112586,63.9146439275271,63.84142599763405,59.5208062715357,63.9146439275271,63.84142599763405
Oversampling used pred5 [1],,,32.110054546566815,63.99999321436706,54.628951553576,64.0,,,,,,,,,,,,,63.275007196254386,63.98226695843599,63.87197095128998,63.99698969609891,,,,,,,,,63.57430934699471,63.99949422472882,63.997440663025834,63.999564705713524,63.99977898341663,63.997637263509276,,,41.617703053122824,55.121736397205105,63.9875177857187,58.8854325586755,55.121736397205105,63.9875177857187,62.102062681930036,63.99912003268208,63.99305018717003,63.90558433388256,63.999604579873576,63.99797844552865,63.661541492679994,63.999604579873576,63.99797844552865
Oversampling used pred6 [1],,,50.79086512966408,63.99999833444713,63.419908635719224,64.0,,,,,,,,,,,,,63.51305668244928,63.999884486534405,63.99664202392924,63.99999044003475,,,,,,,,,63.99889727366841,63.999999999999936,63.99999999991426,63.999999985985035,63.999999997434394,63.9999993160478,,,57.374141516289086,63.51099519830684,63.999999968041166,63.82457603173878,63.51099519830684,63.999999968041166,63.978420264557656,63.99999999999806,63.99999999524177,63.99998703103564,63.99999999999997,63.999999999955335,63.99944992369367,63.99999999999997,63.999999999955335
Oversampling used pred7 [1],,,59.47228824181946,63.9999999999466,63.9704902320328,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999993894094,64.0,64.0,,,,,,62.28298192330261,63.97895425027909,63.99999999999999,63.99645071983346,63.97895425027909,63.99999999999999,63.99994795612568,64.0,64.0,63.99999999999964,64.0,64.0,63.99999998839522,64.0,64.0
