Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Kernel time backward9 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward10 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Kernel time backward11 [s],,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Visibilities kernel pred0,(undefined),6.713131333718384,3.5355519066189713,6.713131333699654,3.2929438887733875,3.2406192438549772,3.369903437189965,83.48856594728511,(undefined),(undefined),7.480417441416208,23.552913890876493,7.480417441416208,17.77102960108353,17.77102960108353,17.77102960108353,875.9416334983714,(undefined),(undefined),7.427657770298827,23.536651598753153,7.427657770298827,17.361310855338523,17.361310855338523,17.361310855338523,862.0315558195357,(undefined),(undefined),4.830637901336409,23.544081575264908,4.830637901336409,4.2349380228828695,4.2349380228828695,13.192236178285835,338.7225928338752,(undefined),(undefined),3.7603639784512515,25.123690333033164,3.7603639784512515,4.073325943470025,4.073325943470025,4.073325943470025,154.26468154070787,(undefined)
Visibilities kernel pred1,,29.532060237718554,9.802205689105074,29.532060237636156,6.582449128076817,6.47785447813627,6.736287860069481,115.95634159345154,,,17.019714862150252,52.990339147654,17.019714862150252,40.38776152637757,40.38776152637757,40.38776152637757,1325.1764115718897,,,16.811713935803706,52.95285285197703,16.811713935803706,38.78267448479159,38.78267448479159,38.78267448479159,1281.834915277811,,,8.081993233303752,52.954826837625184,8.081993233303752,6.215577687752758,6.215577687752758,27.208665309350767,501.4719242088947,,,5.335347753182275,57.35192568054093,5.335347753182275,5.889193080522007,5.889193080522007,5.889193080522007,208.67500305927905,
Visibilities kernel pred2,,147.6460057285059,38.69721167101899,147.64600572809397,20.891204299595838,20.55924454449005,21.37945363000707,231.91268318690308,,,30.12178220264661,97.14387592508056,30.12178220264661,70.69554687832931,70.69554687832931,70.69554687832931,1779.2881124455635,,,29.575075375902877,97.07195112079185,29.575075375902877,66.63366024288744,66.63366024288744,66.63366024288744,1689.3142562426058,,,14.013629488675157,97.02297355083472,14.013629488675157,10.696398237467545,10.696398237467545,48.36913547051445,658.085349829932,,,8.26062368975612,100.12409794544777,8.26062368975612,9.68319745066633,9.68319745066633,10.174841937153658,269.5290584758852,
Visibilities kernel pred3,,590.555430608948,140.91435310878978,590.5554306073003,97.47954600261959,95.93060292807031,99.75774511369193,463.82536637380616,,,67.06645230780389,211.92393683200993,67.06645230780389,153.55990744394302,153.55990744394302,153.55990744394302,2699.259594722925,,,64.9525367096882,211.73832899405855,64.9525367096882,139.3296283964131,139.3296283964131,139.3296283964131,2466.9372293422184,,,28.896117185504245,211.16183743942264,28.896117185504245,22.797583923678285,22.797583923678285,108.82644827675375,951.508646586353,,,17.213676557312674,237.97340091936158,17.213676674217137,22.10600469938172,20.63759058369712,23.34015781917853,377.6635604293891,
Visibilities kernel pred4,,1181.0822682213523,440.8511095023253,1181.082268218057,584.8390513315481,575.5460002717737,598.5073526470684,927.6507327476123,,,184.39173499733866,647.2125294326522,184.39173499733866,413.6602909025949,413.6602909025949,413.6602909025949,4362.55635115482,,,173.14062614155054,646.1941853852023,173.14062614155054,384.85955665146344,350.29102905209277,389.66986346653755,3720.93685922784,,,72.19965269505039,637.1934529355107,72.19965312802482,59.981817830767625,58.0228704547078,317.40089201510557,1463.991475674563,,,47.39613988288582,630.4394104608878,47.39614020477058,62.6291142670441,58.46891088822533,66.12562654114785,535.5798896114953,
Visibilities kernel pred5,,,,,,,,,,,361.9799824109419,1357.6505583248352,361.9799824109419,759.4720559143096,710.5961815720902,764.9549388629763,5352.6017645084285,,,329.1860472152093,1353.4181765915757,329.1860472152093,718.3952066656828,625.6993558542074,727.3743298258493,4323.624198681196,,,139.952337895662,1302.7286174190374,139.9523387349428,117.56056059472317,109.16833556575669,592.4739992855694,1797.4164657467334,,,95.381420211906,1207.5831286371324,95.3814208596766,125.25431492859155,116.93416813622738,132.24712098465184,694.005863106662,
Visibilities kernel pred6,,,,,,,,,,,798.6768216379428,2830.6058040128064,798.6768216379428,2386.8841067145286,2123.512265782401,2404.1158219135737,6843.558067909071,,,684.5311920976096,2802.410168148784,684.5311920976096,2257.7869376386348,1966.4605490525757,2286.006706916559,5140.60808032068,,,357.3692099529508,2453.6984671808673,357.3692120960599,307.8876529104796,285.90866222011834,1862.039238112132,2349.4358537325234,,,239.80857338874654,2855.3335139747255,239.8085750173755,306.16851719623645,285.83095830474883,323.2615575633122,907.5681789560384,
Visibilities kernel pred7,,,,,,,,,,,1523.8338997764972,5731.9408172859585,1523.8338997764972,4882.23615225013,4343.523979477976,4917.482649000178,11866.42515835947,,,1391.2095083821266,5598.242462820242,1391.2095012492214,4618.175192765407,4022.2835794614557,4675.8971311167625,8538.817347143437,,,649.7544943376466,4243.124257177047,649.7544982341624,539.7956203896564,501.2615551126326,3808.6957163675524,3306.867954547757,,,467.15267766298984,2820.745344723284,467.1526808355969,626.2454833052682,584.6464824874089,661.208056935838,899.744917496644,
Visibilities kernel pred8,,,,,,,,,,,2314.0995994005375,13594.699977467879,2314.0995994005375,5858.668646317396,5212.215665022108,5900.9643360305745,10784.81359634665,,,2225.9265673405116,13076.898798118815,2225.9265559279074,5541.796282468154,4826.728146349149,5611.062434145013,7596.730038616788,,,935.6413861350226,8782.577931359487,935.6413917459745,755.7091154052994,701.7617633270282,4570.423360754498,2965.600417801387,,,654.0093334607548,5393.690824261097,654.0093379023747,901.7880166926891,841.8858194809151,952.1338168194658,998.1453197567375,
Visibilities kernel pred9,,,,,,,,,,,2642.2659106045126,16246.629914545885,2642.2659106045126,14321.157276875403,12740.942491549707,14424.546504203881,9622.721330386279,,,2720.567308883046,15214.59693161114,2720.5672949343566,13546.582137395933,11798.641804328234,13715.899009616649,6644.41319263157,,,1429.445054194562,8751.056662846335,1429.4450627668077,1385.4587896439634,1286.5558763520244,11172.120439788458,3919.1899969773735,,,959.2078020284198,4602.769679923362,959.2078085427556,1377.7240820432862,1286.207341813535,1454.6408518167257,1161.4693150913417,
Visibilities kernel pred10,,,,,,,,,,,4387.610945670529,18620.097040003657,4387.610945670529,16924.977261085285,15057.453653027862,17047.164336315665,8697.603239455446,,,4822.812075579542,16875.410956167067,4822.812050852381,16009.571709849375,13943.827315952787,16209.673150937011,5922.877600183004,,,2252.451167607065,8486.727093152927,2252.4511811148,1637.3539061650988,1520.4691076996894,13203.394157924422,3511.0172604510944,,,1417.0055048614631,3629.730180116793,1417.005514484873,1628.213143206446,1520.0574092626089,1719.1144325940577,1550.7107940607202,
Visibilities kernel pred11,,,,,,,,,,,4757.025520666681,20662.65562148832,4757.025520666681,19528.79724504074,17373.964814279665,19669.782168171187,7945.577843743436,,,5564.773187828905,18059.35605794079,5564.773159297616,18472.561282106944,16089.01282740674,18703.447292059052,5356.4564887897095,,,2598.975596281057,8141.384287899028,2598.975611866866,2518.9986968806015,2339.1764520312163,15234.667876322064,6373.226838737504,,,2180.0016762304845,2945.3123641027178,2180.001691035684,2504.93627246949,2338.5433022604752,2644.7840178039005,1400.9289322884977,
Visibilities kernel bw0,(undefined),6.713131333718384,3.5355519066189713,6.713131333699654,3.2929438887733875,3.2406192438549772,3.369903437189965,83.48856594728511,(undefined),(undefined),7.480417441416208,23.552913890876493,7.480417441416208,17.77102960108353,17.77102960108353,17.77102960108353,875.9416334983714,(undefined),(undefined),7.427657770298827,23.536651598753153,7.427657770298827,17.361310855338523,17.361310855338523,17.361310855338523,862.0315558195357,(undefined),(undefined),4.830637901336409,23.544081575264908,4.830637901336409,4.2349380228828695,4.2349380228828695,13.192236178285835,338.7225928338752,(undefined),(undefined),3.7603639784512515,25.123690333033164,3.7603639784512515,4.073325943470025,4.073325943470025,4.073325943470025,154.26468154070787,(undefined)
Visibilities kernel bw1,,29.532060237718554,9.802205689105074,29.532060237636156,6.582449128076817,6.47785447813627,6.736287860069481,115.95634159345154,,,17.019714862150252,52.990339147654,17.019714862150252,40.38776152637757,40.38776152637757,40.38776152637757,1325.1764115718897,,,16.811713935803706,52.95285285197703,16.811713935803706,38.78267448479159,38.78267448479159,38.78267448479159,1281.834915277811,,,8.081993233303752,52.954826837625184,8.081993233303752,6.215577687752758,6.215577687752758,27.208665309350767,501.4719242088947,,,5.335347753182275,57.35192568054093,5.335347753182275,5.889193080522007,5.889193080522007,5.889193080522007,208.67500305927905,
Visibilities kernel bw2,,147.6460057285059,38.69721167101899,147.64600572809397,20.891204299595838,20.55924454449005,21.37945363000707,231.91268318690308,,,30.12178220264661,97.14387592508056,30.12178220264661,70.69554687832931,70.69554687832931,70.69554687832931,1779.2881124455635,,,29.575075375902877,97.07195112079185,29.575075375902877,66.63366024288744,66.63366024288744,66.63366024288744,1689.3142562426058,,,14.013629488675157,97.02297355083472,14.013629488675157,10.696398237467545,10.696398237467545,48.36913547051445,658.085349829932,,,8.26062368975612,100.12409794544777,8.26062368975612,9.68319745066633,9.68319745066633,10.174841937153658,269.5290584758852,
Visibilities kernel bw3,,590.555430608948,140.91435310878978,590.5554306073003,97.47954600261959,95.93060292807031,99.75774511369193,463.82536637380616,,,67.06645230780389,211.92393683200993,67.06645230780389,153.55990744394302,153.55990744394302,153.55990744394302,2699.259594722925,,,64.9525367096882,211.73832899405855,64.9525367096882,139.3296283964131,139.3296283964131,139.3296283964131,2466.9372293422184,,,28.896117185504245,211.16183743942264,28.896117185504245,22.797583923678285,22.797583923678285,108.82644827675375,951.508646586353,,,17.213676557312674,237.97340091936158,17.213676674217137,22.10600469938172,20.63759058369712,23.34015781917853,377.6635604293891,
Visibilities kernel bw4,,1181.0822682213523,440.8511095023253,1181.082268218057,584.8390513315481,575.5460002717737,598.5073526470684,927.6507327476123,,,184.39173499733866,647.2125294326522,184.39173499733866,413.6602909025949,413.6602909025949,413.6602909025949,4362.55635115482,,,173.14062614155054,646.1941853852023,173.14062614155054,384.85955665146344,350.29102905209277,389.66986346653755,3720.93685922784,,,72.19965269505039,637.1934529355107,72.19965312802482,59.981817830767625,58.0228704547078,317.40089201510557,1463.991475674563,,,47.39613988288582,630.4394104608878,47.39614020477058,62.6291142670441,58.46891088822533,66.12562654114785,535.5798896114953,
Visibilities kernel bw5,,,,,,,,,,,361.9799824109419,1357.6505583248352,361.9799824109419,759.4720559143096,710.5961815720902,764.9549388629763,5352.6017645084285,,,329.1860472152093,1353.4181765915757,329.1860472152093,718.3952066656828,625.6993558542074,727.3743298258493,4323.624198681196,,,139.952337895662,1302.7286174190374,139.9523387349428,117.56056059472317,109.16833556575669,592.4739992855694,1797.4164657467334,,,95.381420211906,1207.5831286371324,95.3814208596766,125.25431492859155,116.93416813622738,132.24712098465184,694.005863106662,
Visibilities kernel bw6,,,,,,,,,,,798.6768216379428,2830.6058040128064,798.6768216379428,2386.8841067145286,2123.512265782401,2404.1158219135737,6843.558067909071,,,684.5311920976096,2802.410168148784,684.5311920976096,2257.7869376386348,1966.4605490525757,2286.006706916559,5140.60808032068,,,357.3692099529508,2453.6984671808673,357.3692120960599,307.8876529104796,285.90866222011834,1862.039238112132,2349.4358537325234,,,239.80857338874654,2855.3335139747255,239.8085750173755,306.16851719623645,285.83095830474883,323.2615575633122,907.5681789560384,
Visibilities kernel bw7,,,,,,,,,,,1523.8338997764972,5731.9408172859585,1523.8338997764972,4882.23615225013,4343.523979477976,4917.482649000178,11866.42515835947,,,1391.2095083821266,5598.242462820242,1391.2095012492214,4618.175192765407,4022.2835794614557,4675.8971311167625,8538.817347143437,,,649.7544943376466,4243.124257177047,649.7544982341624,539.7956203896564,501.2615551126326,3808.6957163675524,3306.867954547757,,,467.15267766298984,2820.745344723284,467.1526808355969,626.2454833052682,584.6464824874089,661.208056935838,899.744917496644,
Visibilities kernel bw8,,,,,,,,,,,2314.0995994005375,13594.699977467879,2314.0995994005375,5858.668646317396,5212.215665022108,5900.9643360305745,10784.81359634665,,,2225.9265673405116,13076.898798118815,2225.9265559279074,5541.796282468154,4826.728146349149,5611.062434145013,7596.730038616788,,,935.6413861350226,8782.577931359487,935.6413917459745,755.7091154052994,701.7617633270282,4570.423360754498,2965.600417801387,,,654.0093334607548,5393.690824261097,654.0093379023747,901.7880166926891,841.8858194809151,952.1338168194658,998.1453197567375,
Visibilities kernel bw9,,,,,,,,,,,2642.2659106045126,16246.629914545885,2642.2659106045126,14321.157276875403,12740.942491549707,14424.546504203881,9622.721330386279,,,2720.567308883046,15214.59693161114,2720.5672949343566,13546.582137395933,11798.641804328234,13715.899009616649,6644.41319263157,,,1429.445054194562,8751.056662846335,1429.4450627668077,1385.4587896439634,1286.5558763520244,11172.120439788458,3919.1899969773735,,,959.2078020284198,4602.769679923362,959.2078085427556,1377.7240820432862,1286.207341813535,1454.6408518167257,1161.4693150913417,
Visibilities kernel bw10,,,,,,,,,,,4387.610945670529,18620.097040003657,4387.610945670529,16924.977261085285,15057.453653027862,17047.164336315665,8697.603239455446,,,4822.812075579542,16875.410956167067,4822.812050852381,16009.571709849375,13943.827315952787,16209.673150937011,5922.877600183004,,,2252.451167607065,8486.727093152927,2252.4511811148,1637.3539061650988,1520.4691076996894,13203.394157924422,3511.0172604510944,,,1417.0055048614631,3629.730180116793,1417.005514484873,1628.213143206446,1520.0574092626089,1719.1144325940577,1550.7107940607202,
Visibilities kernel bw11,,,,,,,,,,,4757.025520666681,20662.65562148832,4757.025520666681,19528.79724504074,17373.964814279665,19669.782168171187,7945.577843743436,,,5564.773187828905,18059.35605794079,5564.773159297616,18472.561282106944,16089.01282740674,18703.447292059052,5356.4564887897095,,,2598.975596281057,8141.384287899028,2598.975611866866,2518.9986968806015,2339.1764520312163,15234.667876322064,6373.226838737504,,,2180.0016762304845,2945.3123641027178,2180.001691035684,2504.93627246949,2338.5433022604752,2644.7840178039005,1400.9289322884977,
Oversampling used pred0,(undefined),6.4207479847779325,3.466075110507063,6.4207479847609505,3.2343521079355284,3.184258925835451,3.3079546375896243,46.814339503107405,(undefined),(undefined),7.112319900784975,19.833641129401386,7.112319900784975,15.623286809650644,15.623286809650644,15.623286809650644,63.999934650348074,(undefined),(undefined),7.065033529395087,19.822328482833335,7.065033529395087,15.310131833821714,15.310131833821714,15.310131833821714,63.99991864575758,(undefined),(undefined),4.688188202773077,19.827497406334565,4.688188202773077,4.1291484808892065,4.1291484808892065,12.006066993846254,63.69131724791079,(undefined),(undefined),3.6800117384404203,20.912788349414015,3.6800117384404203,3.9765756207435032,3.9765756207435032,3.9765756207435032,58.362347187563614,(undefined)
Oversampling used pred1,,23.802626537709592,9.154812197826722,23.80262653765743,6.3021261335839185,6.207008231311669,6.441741999411356,53.693639558656244,,,15.04749520171287,36.21844513007123,15.04749520171287,30.119412925175546,30.119412925175546,30.119412925175546,63.99999994469863,,,14.88687989341831,36.20203951475038,14.88687989341831,29.252081136611864,29.252081136611864,29.252081136611864,63.999999890562336,,,7.648719238880517,36.202903657367756,7.648719238880517,5.967804743510143,5.967804743510143,22.304579216004406,63.976209662986435,,,5.157750700324776,38.062637807091136,5.157750700324776,5.668750108414677,5.668750108414677,5.668750108414677,61.60688791899871,
Oversampling used pred2,,57.7429984782285,29.205282464802302,57.74299847818791,17.942945619549803,17.701537125891058,18.29572603165233,62.34029585082976,,,24.174217474083505,50.1397275892638,24.174217474083505,42.97852834641787,42.97852834641787,42.97852834641787,63.999999999956664,,,23.829847730942255,50.12401919870679,23.829847730942255,41.5898850823875,41.5898850823875,41.5898850823875,63.99999999982125,,,12.674308090824113,50.113312300487564,12.674308090824113,9.921733024889598,9.921733024889598,34.12121574868878,63.99798044870062,,,7.807020300725647,50.77521067181199,7.807020300725647,9.051925828356723,9.051925828356723,9.47572363184397,63.08218253022994,
Oversampling used pred3,,63.99415047400398,57.04324208737636,63.99415047400383,50.21280316671391,49.87235234202085,50.698690314512966,63.95695909589417,,,41.742107789034996,61.72625267123266,41.742107789034996,58.29942615155981,58.29942615155981,58.29942615155981,64.0,,,40.98865513614025,61.719596742791396,40.98865513614025,56.86743898099279,56.86743898099279,56.86743898099279,64.0,,,23.39802483010382,61.6987991639544,23.39802483010382,19.305136088082634,19.305136088082634,52.468927728843106,63.999980120365485,,,15.19679630455834,62.4913834832709,15.196796394407635,18.81569327443855,17.75862593388519,19.685410969192176,63.832822219705946,
Oversampling used pred4,,63.99999946511929,63.93819664073044,63.99999946511929,63.99359944815094,63.992590710887455,63.99483899708076,63.99997105438396,,,60.49210473280351,63.99760327214201,60.49210473280351,63.905162164559236,63.905162164559236,63.905162164559236,64.0,,,59.81208625437612,63.99756452536342,59.81208625437612,63.850733592146845,63.74272895110379,63.861623497001894,64.0,,,43.470616943682785,63.9971936396133,43.47061708366517,39.11493051470374,38.335256363566785,63.568142439468566,63.99999999378672,,,33.65985498501959,63.996878687833416,33.659855138818514,40.13107424677237,38.514904192490164,41.40986939852148,63.98609657690308,
Oversampling used pred5,,,,,,,,,,,63.78598451247537,63.99999996683871,63.78598451247537,63.99959090123854,63.99911669432922,63.99962474334711,64.0,,,63.64129548131008,63.99999996455308,63.64129548131008,63.999218785716764,63.99663677090848,63.99932179944654,64.0,,,56.93704366879515,63.999999921247216,56.93704376214831,53.950755980460386,52.53084606353823,63.99432457002367,63.99999999996742,,,49.74963629232595,63.999999647624016,49.749636437698506,55.097488570120156,53.851133120400796,56.02582484816547,63.99885295818649,
Oversampling used pred6,,,,,,,,,,,63.99977935701297,64.0,63.99977935701297,64.0,63.99999999999981,64.0,64.0,,,63.998668379271294,64.0,63.998668379271294,63.99999999999998,63.999999999997726,63.999999999999986,64.0,,,63.76986629304955,64.0,63.76986630081667,63.49834446533855,63.290864452559745,63.999999999988226,63.99999999999999,,,62.53435991430142,64.0,62.53435995189249,63.48457734101741,63.28999614584119,63.60621701433123,63.999960286706276,
Oversampling used pred7,,,,,,,,,,,63.99999999757879,64.0,63.99999999757879,64.0,64.0,64.0,64.0,,,63.99999998045177,64.0,63.99999998045176,64.0,64.0,64.0,64.0,,,63.99769732234442,64.0,63.99769732248572,63.98698966238504,63.97613071566742,64.0,64.0,,,63.95915635517013,64.0,63.959156357210816,63.996665572696394,63.99358000810036,63.99807736267263,63.999955079713835,
Oversampling used pred8,,,,,,,,,,,63.99999999999999,64.0,63.99999999999999,64.0,64.0,64.0,64.0,,,63.999999999999964,64.0,63.999999999999964,64.0,64.0,64.0,64.0,,,63.99997447702318,64.0,63.99997447702543,63.99956592526148,63.998984842668506,64.0,64.0,,,63.99784656138896,64.0,63.99784656153959,63.99995650203981,63.999888271119175,63.999980315128184,63.999990462371784,
Oversampling used pred9,,,,,,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,63.99999998929471,64.0,63.999999989294714,63.99999997859875,63.99999989840364,64.0,64.0,,,63.99998239035491,64.0,63.99998239035672,63.99999997582647,63.99999989784446,63.99999999280097,63.99999927155251,
Oversampling used pred10,,,,,,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,63.99999999999997,64.0,63.99999999999997,63.99999999959484,63.99999999744703,64.0,64.0,,,63.999999986978,64.0,63.999999986978,63.999999999532115,63.99999999743042,63.9999999998882,63.99999999841434,
Oversampling used pred11,,,,,,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,64.0,63.99999998322617,
Oversampling used bw0,(undefined),6.4207479847779325,3.466075110507063,6.4207479847609505,3.2343521079355284,3.184258925835451,3.3079546375896243,46.814339503107405,(undefined),(undefined),7.112319900784975,19.833641129401386,7.112319900784975,15.623286809650644,15.623286809650644,15.623286809650644,63.999934650348074,(undefined),(undefined),7.065033529395087,19.822328482833335,7.065033529395087,15.310131833821714,15.310131833821714,15.310131833821714,63.99991864575758,(undefined),(undefined),4.688188202773077,19.827497406334565,4.688188202773077,4.1291484808892065,4.1291484808892065,12.006066993846254,63.69131724791079,(undefined),(undefined),3.6800117384404203,20.912788349414015,3.6800117384404203,3.9765756207435032,3.9765756207435032,3.9765756207435032,58.362347187563614,(undefined)
Oversampling used bw1,,23.802626537709592,9.154812197826722,23.80262653765743,6.3021261335839185,6.207008231311669,6.441741999411356,53.693639558656244,,,15.04749520171287,36.21844513007123,15.04749520171287,30.119412925175546,30.119412925175546,30.119412925175546,63.99999994469863,,,14.88687989341831,36.20203951475038,14.88687989341831,29.252081136611864,29.252081136611864,29.252081136611864,63.999999890562336,,,7.648719238880517,36.202903657367756,7.648719238880517,5.967804743510143,5.967804743510143,22.304579216004406,63.976209662986435,,,5.157750700324776,38.062637807091136,5.157750700324776,5.668750108414677,5.668750108414677,5.668750108414677,61.60688791899871,
Oversampling used bw2,,57.7429984782285,29.205282464802302,57.74299847818791,17.942945619549803,17.701537125891058,18.29572603165233,62.34029585082976,,,24.174217474083505,50.1397275892638,24.174217474083505,42.97852834641787,42.97852834641787,42.97852834641787,63.999999999956664,,,23.829847730942255,50.12401919870679,23.829847730942255,41.5898850823875,41.5898850823875,41.5898850823875,63.99999999982125,,,12.674308090824113,50.113312300487564,12.674308090824113,9.921733024889598,9.921733024889598,34.12121574868878,63.99798044870062,,,7.807020300725647,50.77521067181199,7.807020300725647,9.051925828356723,9.051925828356723,9.47572363184397,63.08218253022994,
Oversampling used bw3,,63.99415047400398,57.04324208737636,63.99415047400383,50.21280316671391,49.87235234202085,50.698690314512966,63.95695909589417,,,41.742107789034996,61.72625267123266,41.742107789034996,58.29942615155981,58.29942615155981,58.29942615155981,64.0,,,40.98865513614025,61.719596742791396,40.98865513614025,56.86743898099279,56.86743898099279,56.86743898099279,64.0,,,23.39802483010382,61.6987991639544,23.39802483010382,19.305136088082634,19.305136088082634,52.468927728843106,63.999980120365485,,,15.19679630455834,62.4913834832709,15.196796394407635,18.81569327443855,17.75862593388519,19.685410969192176,63.832822219705946,
Oversampling used bw4,,63.99999946511929,63.93819664073044,63.99999946511929,63.99359944815094,63.992590710887455,63.99483899708076,63.99997105438396,,,60.49210473280351,63.99760327214201,60.49210473280351,63.905162164559236,63.905162164559236,63.905162164559236,64.0,,,59.81208625437612,63.99756452536342,59.81208625437612,63.850733592146845,63.74272895110379,63.861623497001894,64.0,,,43.470616943682785,63.9971936396133,43.47061708366517,39.11493051470374,38.335256363566785,63.568142439468566,63.99999999378672,,,33.65985498501959,63.996878687833416,33.659855138818514,40.13107424677237,38.514904192490164,41.40986939852148,63.98609657690308,
Oversampling used bw5,,,,,,,,,,,63.78598451247537,63.99999996683871,63.78598451247537,63.99959090123854,63.99911669432922,63.99962474334711,64.0,,,63.64129548131008,63.99999996455308,63.64129548131008,63.999218785716764,63.99663677090848,63.99932179944654,64.0,,,56.93704366879515,63.999999921247216,56.93704376214831,53.950755980460386,52.53084606353823,63.99432457002367,63.99999999996742,,,49.74963629232595,63.999999647624016,49.749636437698506,55.097488570120156,53.851133120400796,56.02582484816547,63.99885295818649,
Oversampling used bw6,,,,,,,,,,,63.99977935701297,64.0,63.99977935701297,64.0,63.99999999999981,64.0,64.0,,,63.998668379271294,64.0,63.998668379271294,63.99999999999998,63.999999999997726,63.999999999999986,64.0,,,63.76986629304955,64.0,63.76986630081667,63.49834446533855,63.290864452559745,63.999999999988226,63.99999999999999,,,62.53435991430142,64.0,62.53435995189249,63.48457734101741,63.28999614584119,63.60621701433123,63.999960286706276,
Oversampling used bw7,,,,,,,,,,,63.99999999757879,64.0,63.99999999757879,64.0,64.0,64.0,64.0,,,63.99999998045177,64.0,63.99999998045176,64.0,64.0,64.0,64.0,,,63.99769732234442,64.0,63.99769732248572,63.98698966238504,63.97613071566742,64.0,64.0,,,63.95915635517013,64.0,63.959156357210816,63.996665572696394,63.99358000810036,63.99807736267263,63.999955079713835,
Oversampling used bw8,,,,,,,,,,,63.99999999999999,64.0,63.99999999999999,64.0,64.0,64.0,64.0,,,63.999999999999964,64.0,63.999999999999964,64.0,64.0,64.0,64.0,,,63.99997447702318,64.0,63.99997447702543,63.99956592526148,63.998984842668506,64.0,64.0,,,63.99784656138896,64.0,63.99784656153959,63.99995650203981,63.999888271119175,63.999980315128184,63.999990462371784,
Oversampling used bw9,,,,,,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,63.99999998929471,64.0,63.999999989294714,63.99999997859875,63.99999989840364,64.0,64.0,,,63.99998239035491,64.0,63.99998239035672,63.99999997582647,63.99999989784446,63.99999999280097,63.99999927155251,
Oversampling used bw10,,,,,,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,63.99999999999997,64.0,63.99999999999997,63.99999999959484,63.99999999744703,64.0,64.0,,,63.999999986978,64.0,63.999999986978,63.999999999532115,63.99999999743042,63.9999999998882,63.99999999841434,
Oversampling used bw11,,,,,,,,,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,64.0,64.0,64.0,,,64.0,64.0,64.0,64.0,63.99999999999999,64.0,64.0,,,63.99999999999992,64.0,63.99999999999992,64.0,63.99999999999999,64.0,63.99999998322617,
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
